"its","яго"
"[C:7:0:1]Drink[C:7:0:0]","[C:7:0:1]Выпіўка[C:7:0:0]"
"There are two ways to make drinks for your residents.","Ёсць два спосабу прыгатавання напояў для жыхароў."
"The main way is by brewing alcohol. ","Асноўны спосаб - варэнне алкаголю. "
"This is done by building a [C:6:0:0]Still[C:7:0:0] from the [C:5:0:1]Build[C:7:0:0] menu using [C:5:0:1]Workshops[C:7:0:0] -> [C:5:0:1]Farming[C:7:0:0] -> [C:5:0:1]Still[C:7:0:0]. ","Гэта робіцца шляхам стварэння [C:6:0:0]Бровару[C:7:0:0] з меню [C:5:0:1]Будовы[C:7:0:0] з дапамогай [C:5:0:1]Майстэрні[C:7:0:0] -> [C:5: 0:1]Гаспадарка[C:7:0:0] -> [C:5:0:1]Бровар[C:7:0:0]. "
"Once the [C:6:0:0]Still[C:7:0:0] is constructed, click on it and add the task [C:3:0:1]Brew Drink from Plant (or fruit)[C:7:0:0].  If you have no suitable [C:6:0:1]Plants[C:7:0:0], you ","Калі [C:6:0:0]Бровар[C:7:0:0] будзе пабудаваны, націсніце на яго і дадайце загад [C:3:0:1]Варыць напой з расліны (або садавіны)[C:7:0:0]. Калі ў вас няма патрэбных [C:6:0:1]Раслін[C:7:0:0], вы "
"may try [C:5:0:1]Planting[C:7:0:0] or [C:5:0:1]Gathering[C:7:0:0]. ","можна паспрабаваць заняцца [C:5:0:1]Пасадкамі[C:7:0:0] або [C:5:0:1]Зборам[C:7:0:0]. "
"The task also requires a [C:6:0:1]Barrel[C:7:0:0] from the [C:6:0:0]Carpenter's Workshop[C:7:0:0]. ","Для выканання задання яшчэ патрабуецца [C:6:0:1]Бочка[C:7:0:0] з [C:6:0:0]Цеслярскай майстэрні[C:7:0:0]. "
"If you survive until the caravan comes you may also trade for [C:6:0:1]Drinks[C:7:0:0] ","Калі вы дажывеце да прыходу каравана, вы можаце набыць [C:6:0:1]Напоі[C:7:0:0] "
"or [C:6:0:1]Plants[C:7:0:0] there.  The number of [C:6:0:1]Drink[C:7:0:0] rations can be seen at the top of the screen.","або [C:6:0:1]Расліны[C:7:0:0]. Колькасць [C:6:0:1]Напіткаў[C:7:0:0] можна ўбачыць у верхняй частцы экрана."
"Absent alcohol and in warmer weather, you can designate a [C:3:0:0]Water Source[C:7:0:0] from the [C:5:0:1]Zones[C:7:0:0] menu at a river or pond, ","Пры адсутнасці алкаголю і ў больш цёплае надвор'е вы можаце пазначыць [C:3:0:0]Крыніцу вады[C:7:0:0] з меню [C:5:0:1]Зоны[C:7:0:0] на рэчцы або сажалцы, "
"so that your residents have water to drink.  You'll want one of these anyway for other purposes, like cleaning ","каб вашы жыхары мелі ваду для піцця. Вам у любым выпадку спатрэбіцца штосьці з гэтага для іншых мэтаў, напрыклад для уборкі "
"and certain [C:6:0:0]Workshop[C:7:0:0] tasks.  You may find water underground.","і пэўныя загады [C:6:0:0]Майстэрняў[C:7:0:0]. Вы можаце паспрабаваць знайсці ваду пад зямлёй."
"There's some food on the embark [C:6:0:0]Wagon[C:7:0:0], and you can trade for food, but you can also grow your own. ","У [C:6:0:0]Калёсах[C:7:0:0] ёсць ежа, ці вы можаце яе купіць. Але можна выгадаваць і сваю. "
"The [C:6:0:0]Wagon[C:7:0:0] comes with some [C:6:0:1]Seeds[C:7:0:0], but as you might expect, these crops must be grown underground!","[C:6:0:0]Калёсы[C:7:0:0] маюць [C:6:0:1]Насенні[C:7:0:0], але, як і варта было чакаць, гэтыя культуры павінны вырошчвацца пад зямлёй!"
"Using [C:5:0:1]Mining[C:7:0:0] orders, you'll need to carve out a rectangular area underground for your [C:6:0:0]Farmplot[C:7:0:0]. ","Выкарыстоўваючы загады [C:5:0:1]Здабычы[C:7:0:0], вам трэба будзе выразаць прастакутную вобласць пад зямлёй для вашай [C:6:0:0]Ляхі[C:7:0:0]. "
"The underground rectangle must be near the surface, where there is soil (loam, clay, or sand.) One level down should suffice, before you hit rock. ","Падземны прамавугольнік павінен быць побач з паверхняй, дзе ёсць глеба (суглінак, гліна або пясок). Аднаго ўзроўню ўніз павінна быць дастаткова, перш чым вы натрапіце на камень. "
"The highest mountain elevations do not have soil. ","Самыя высокія горныя ўзвышшы не маюць глебы. "
"Make sure to leave the ceiling above intact so the underground soil doesn't receive any sunlight.","Не забудзьцеся пакінуць столь уверсе цэлым, каб падземная глеба не атрымлівала сонечнага святла."
"With a subterranean soil floor exposed, you can place an underground [C:6:0:0]Farmplot[C:7:0:0]. ","Адкрыўшы падземную глебу, вы можаце размясціць на ёй [C:6:0:0]Ляху[C:7:0:0]. "
"This isn't rich soil, but will suffice for now.  Dig deeper to find better soil. ","Гэта ня багатая глеба, але пакуль хопіць. Капайце глыбей, каб знайсці лепшую глебу. "
"Select [C:5:0:1]Farmplot[C:7:0:0] from the [C:5:0:1]Build[C:7:0:0] menu.  It's in [C:5:0:1]Workshops[C:7:0:0] -> [C:5:0:1]Farming[C:7:0:0] -> [C:5:0:1]Farmplot[C:7:0:0].  Place the [C:6:0:0]Farmplot[C:7:0:0] on the subterranean soil.","Выберыце [C:5:0:1]Ляху[C:7:0:0] з меню [C:5:0:1]Будавання[C:7:0:0]. [C:5:0:1]Майстэрні[C:7:0:0] -> [C:5:0:1]Гаспадарка[C:7:0:0] -> [C:5:0:1]Ляха[C:7:0:0]. Размесціце [C:6:0:0]Ляху[C:7:0:0] на падземнай глебе."
"You need to select the crops to be grown each season. ","Вам трэба выбраць культуры, якія будуць гадавацца кожны сезон. "
"Click on the [C:6:0:0]Farmplot[C:7:0:0] you placed to pull up the [C:5:0:1]Farming[C:7:0:0] menu.","Націсніце на [C:6:0:0]Ляху[C:7:0:0], якую вы размясцілі, каб адкрыць меню [C:5:0:1]Земляробства[C:7:0:0]."
"[C:6:0:1]Plump Helmets[C:7:0:0] are edible and the default [C:6:0:0]Wagon[C:7:0:0] comes with [C:6:0:1]Plump Helmet Spawn[C:7:0:0], which are their ""seeds"".","[C:6:0:1]Шлемнікі[C:7:0:0] ядомыя, і пачатачныя [C:6:0:0]Калёсы[C:7:0:0] маюць [C:6:0:1]Споры шлемнікаў[C:7:0:0], якія з'яўляюцца іх ""насеннем""."
"Note that you can obtain aboveground [C:6:0:1]Seeds[C:7:0:0] from trade or by eating gathered [C:6:0:1]Plants[C:7:0:0], but aboveground farming exposes your [C:2:0:0]Planters[C:7:0:0] to dangers and the elements.","Звярніце ўвагу, што вы можаце атрымаць надземныя [C:6:0:1]Насенні[C:7:0:0] з гандлю або з'еўшы сабраныя [C:6:0:1]Расліны[C:7:0:0], але надземнае земляробства робіць вашых [C:2:0:0]Фермераў[C:7: 0:0] уразлівымі да небяспекі."
"Now your [C:2:0:0]Planters[C:7:0:0], those that can access both the [C:6:0:0]Farmplot[C:7:0:0] and the [C:6:0:1]Spawn[C:7:0:0], will plant the field, and after a period of growth, they'll be harvested. ","Цяпер вашы [C:2:0:0]Фермеры[C:7:0:0], якія  маюць доступ як да [C:6:0:0]Лехаў[C:7:0:0], так і да [C:6:0:1]Спораў[C:7:0:0], будуць саджаць поле, і пасля патрэбнага часу збяруць ураджай. "
"If you'd like to focus a few of your citizens on farming, which gives skill benefits, you can assign them to the [C:2:0:0]Planters[C:7:0:0] work detail from the [C:5:0:1]Labor[C:7:0:0] menu. ","Калі вы жадаеце прызначыць некалькіх сваіх жыхароў на земляробства, вы можаце прызначыць іх як [C:2:0:0]Фермераў[C:7:0:0] у меню [C:5:0:1]Працы[C:7:0:0]. "
"[C:6:0:1]Fertilizer[C:7:0:0] and skilled [C:2:0:0]Planters[C:7:0:0] have a direct impact on crop yield. ","[C:6:0:1]Угнаенне[C:7:0:0] і кваліфікаваныя [C:2:0:0]Фермеры[C:7:0:0] непасрэдна ўплываюць на ўраджайнасць. "
