"more presumptious","domìçlivØjç¡"
"The form guides poets during improvised performances.  ","Forma vede b sn¡ky bØhem improvizovanìch vystoupen¡.  "
"values hard work","v §¡ si tvrd‚ pr ce"
"caught in dust","zasti§en prachem"
"Crutch-walker","Chodec o berl¡ch"
"a poor bedroom","chud  lo§nice"
"In Vegetation","V porostu"
"conical bore","ku§elov‚ho vrt n¡"
"Artifact/","Artefakt/"
"Put ","Dej "
" sacred sites were desecrated"," posv tn  m¡sta byla znesvØcena"
"You settle in this location...","Usazujete se na tomto m¡stØ..."
"Author: ","Autor: "
"wooden furniture shop (255,0,0)","d¡lna na dýevØnì n bytek (255,0,0)"
"Evening","VeŸer"
"bored","znudØnì"
"I adopted a new pet.","Adoptoval jsem nov‚ho mazl¡Ÿka."
"d slightly favored","m¡rnØ zvìhodnØn"
"is very tall yet somewhat weak","je velmi vysokì, ale ponØkud slabì"
"being unable to reach a room for tax collection","neschopnost dostat se do m¡stnosti pro vìbØr dan¡"
" with "," s "
"Parley with ","Jednat s "
"sheep","ovce"
"rumored quarreler","pochybnì h davec"
"Dismount to ","Sesednout na "
" missing plural string"," chyb¡ ýetØzec mno§n‚ho Ÿ¡sla"
"Pit/Pond","J ma/rybn¡k"
" to grant an important position"," aby udØlil(a) d…le§itou pozici"
"I'm not sure exactly where to look.","Nev¡m pýesnØ, kde hledat."
"sparse","ý¡dk‚"
"master of beasts","p n zv¡ýat"
"Historical figures ","Historick‚ postavy "
"the criminals","zloŸinc¡ch"
"the Festival","Festival"
"mathematics:geometry:basic objects","matematika:geometrie:z kladn¡ objekty"
"I consider laws to be more of a suggestion than anything.","Z kony beru sp¡ç jako doporuŸen¡."
"Downward stair (remembered)","Schody dol… (zapamatovan‚)"
"I'm feeling great!","C¡t¡m se skvØle!"
"Fail the struggle against great misery","Selhat v boji proti velk‚ b¡dØ"
"HATCH TAKEN BY INVADERS","POKLOP OBSazen VETüELCI"
" break"," l me"
"Duplicate Object: ","Duplikovat Objekt: "
" into"," do"
"""This place is dangerous.  Steel yourself against ancient enemies.  Try not to let yourself be surrounded, and remain standing.  Enter and vanquish!  Or slip in unseen.  Securing the treasure is all that matters.""","""Tohle m¡sto je nebezpeŸn‚. Pýiprav se na odvØk‚ nepý tele. Sna§ se nenechat se obkl¡Ÿit a z…stat na nohou. Vstup a por §ka! Nebo se nen padnØ propl¡§. ZajiçtØn¡ pokladu je to jedin‚, na Ÿem z le§¡."""
"chanting","popØvovat"
"dozens of","des¡tky"
"the construction and use of the force pump","stavba a pou§it¡ tlakov‚ pumpy"
"the Flask","Baåka"
"siege engineer","obl‚hac¡ in§enìr"
" with many others"," s mnoha dalç¡mi"
"axe","sekera"
"has a small build yet is strapped with massive amounts of muscle and lard","m  drobnou postavu, ale je obalen masivn¡m mno§stv¡m sval… a tuku"
"Sloppy      <->       Orderly","Lajd k   <->   Poý dnì"
"Specify a new image","Zadat novì obraz"
"(no other folders will be deleted)","(§ dn‚ jin‚ slo§ky nebudou smaz ny)"
"flattery","lichotce"
" made a journey to "," podnikl cestu do "
"was ","byl "
"propositional logic","vìrokov  logika"
"temple","chr m"
" often drums "," Ÿasto bubnuje "
"as a citizen of","jako obŸan"
"Ask how listener is feeling","Zeptat se, jak se posluchaŸ c¡t¡"
"drinking goo","pije hmotu"
"Forbid toppled building items","Zak zat pýedmØty z pýevr§enìch budov"
"Shop Specific","Specifickì obchod"
"likes to stretch ","r d protahuje "
"I feel despair.","C¡t¡m zoufalstv¡."
"is skinny and incredibly long","je hubenì a neuvØýitelnØ dlouhì"
"wind instrument consisting of ","dechovì n stroj slo§enì z "
"Ceremony","Ceremonie"
"Stringed Instrumentalist","Hr Ÿ na strunnì n stroj"
"is incredibly short","je neuvØýitelnØ malì"
"Freedom","Svoboda"
"tends to stretch out when ","m  tendenci se protahovat, kdy§ "
"the Lie","Le§"
"Move keyboard cursor down (z), aux","Posunout kurzor dol… (z), pomocn‚"
"Cruel","Krutì"
"military surveying","vojenskì pr…zkum"
"Temperate Shrubland","Kýoviny m¡rn‚ho p sma"
"Only members can visit (if guild established)","Navçt¡vit ho mohou jen Ÿlenov‚ (pokud je cech zalo§en)"
" less dizzy."," m‚nØ z vrat¡."
"How have your sturdy charges fared in your absence? ","Jak si vedli tvoji svØýenci bØhem tv‚ nepý¡tomnosti? "
"Reliability","Spolehlivost"
"engineering:machine:trip hammer","in§enìrstv¡:stroje:buchar"
"No positions available","¦ dn‚ pozice nejsou k dispozici"
"maceman","palc tn¡k"
"population of nearly one hundred thousand","populac¡ t‚mØý sta tis¡c"
"Wallowing in misery!","Top¡ se v b¡dØ!"
" toppled"," vyvr cenì"
"The work has ","D¡lo m  "
"glides from note to note","klou§e z t¢nu na t¢n"
"worry","obava"
"in order to be with the master","aby byl se svìm mistrem"
"doesn't cling tightly to ideas and is open to changing ","neulp¡v  pevnØ na myçlenk ch a je otevýen zmØnØ "
" Creature Seed: "," Zdroj tvor…: "
"Balancing and Completion","Vyva§ov n¡ a doplåov n¡"
"Ashamed","Zahanbenì"
"Door","Dveýe"
"It has come to pass.","Stalo se."
"excited","vzruçenì"
"wrathful","rozhnØvanì"
"Set conditions for ","Nastavit podm¡nky pro "
"Masterwork food","Mistrovsk‚ j¡dlo"
"inclusion","vlo§ka"
"Linguistic Ability","Jazykov  schopnost"
"Low Light","Slab‚ svØtlo"
"the Angles","éhly"
"engineering:machine:water-powered piston bellows","in§enìrstv¡:stroje:voda poh nØn‚ p¡stov‚ mØchy"
"(Wrestle) Adjust grip","(Z pas) Upravuje £chop"
" indiv choice, ranged"," indiv. volba, stýelba"
" joined with "," se spojil(a) s "
"Badlands","Pustiny"
"Custom uniform","Vlastn¡ uniforma"
"Subterranean Chasm","Podzemn¡ propadlina"
"Accepting","Sm¡ýenì"
"the construction and use of the hourglass","stavba a pou§it¡ pýesìpac¡ch hodin"
"is very skinny and even more tall","je velmi hubenì a jeçtØ vyçç¡"
"This is such a hardship for me!","Tohle je pro mØ takov  z tØ§!"
"have slightly thin irises","m  lehce tenk‚ duhovky"
"has an extremely thin body with very litte fat on it","m  extr‚mnØ huben‚ tØlo s velmi m lo tukem"
"liquid container","n doba na tekutiny"
"the fiery bowels of the earth","ohniv  £troba zemØ"
"Orderly","ü dnì"
"whim","rozmar"
"as a symbol of everlasting peace","jako symbol vØŸn‚ho m¡ru"
"known brawler","znalì bojovn¡k"
"Allow floor/wall cleaning","Povolit ŸiçtØn¡ podlah/stØn"
" has forgotten a demand."," zapomnØl po§adavek."
"Make sure your parameters and presets can support mid-elevation, low-to-mid rainfall, low-to-mid drainage, non-freezing areas.  ","Ujisti se, §e parametry a pýedvolby podporuj¡ stýedn¡ vìçku, n¡zk‚ a§ stýedn¡ sr §ky, n¡zk‚ a§ stýedn¡ odvodnØn¡ a nezamrzaj¡c¡ oblasti. "
"Must span multiple elevations","Mus¡ pokrìvat v¡ce £rovn¡"
"geography:cartography:distance scale","geografie:kartografie:mØý¡tko vzd lenost¡"
"a tendon"," çlacha"
"is very weak despite being very large overall","je velmi slabì, pýesto§e je celkovØ velmi velkì"
" Upward Track (E)"," Stoupaj¡c¡ cesta (V)"
"Make sugar, flour, and various useful slurries here.  Powered version of the quern.  Must be hooked to a windmill or water wheel to function.","Zde vyr bØj cukr, mouku a r…zn‚ u§iteŸn‚ kaçe.  Poh nØn  verze ruŸn¡ho mlìnku.  Pro funkci mus¡ bìt pýipojena k vØtrn‚mu nebo vodn¡mu kolu."
"begin","zaŸal"
"State minor feeling of aversion","Vyj dýit m¡rnì odpor"
"Loading entities...","NaŸ¡t n¡ entit..."
"Maceman","Palc tn¡k"
"the Savanna","Savana"
"destruction","zniŸen¡"
"I will not lose hope.","Neztrat¡m nadØji."
"There was no thrill in it.","Nebyl v tom § dnì vzruch."
" by fooling "," oklam n¡m "
"is incredibly muscular and fat, with a large build overall","je neuvØýitelnØ svalnatì a tlustì, s celkovØ velkou postavou"
"candles","sv¡Ÿky"
"You are winded.","Jsi zadìchanì."
"Collect sand","Sb¡rat p¡sek"
"Finalizing items...","DokonŸuji pýedmØty..."
"likes to take it easy","m  r d klidnì pý¡stup"
"production order violation","poruçen¡ vìrobn¡ho pý¡kazu"
"I cannot lay a quest on you.  I merely ask that you serve ","Nemohu ti ulo§it £kol. Jen tØ § d m, abys slou§il(a) "
"slaying ","zab¡jej¡c¡ "
"the tormentor ","muŸitel "
"A troublesome poltergeist.","Problematickì poltergeist."
"optimistic","optimistickì"
"State feelings of hope","Vyj dýit nadØji"
"being unafraid","nebyl vystraçen"
"is very tall with a hanging apron of lard","je velmi vysokì s vis¡c¡ z stØrou tuku"
"'s sitting down"," sed¡"
"Drink ","Vypij "
"has great respect for fairness","m  velkì respekt k f‚rovosti"
"Loathing","Odpornost"
" cannot climb."," nem…§e l‚zt."
".  The musician uses a ",". Hudebn¡k pou§¡v  "
"outcast ","vyvr§en  "
"There aren't any crafted artifacts here.","Nejsou zde § dn‚ vytvoýen‚ artefakty."
"noted bard","zn mì bard"
"Vertical bars","Svisl‚ mý¡§e"
"Worker","DØln¡k"
"is incurious and never seeks out knowledge or information to satisfy ","je nezvØdavì a nikdy nehled  pozn n¡ Ÿi informace, aby uspokojil "
"The poet!  It's such an honor to have you here.","B sn¡k! Je ct¡ tØ tu m¡t."
"the Point","Bod"
" values friendship"," si cen¡ pý telstv¡"
" constantly"," neust le"
"Command Tent (Bld)","Velitelskì stan (stavba)"
"[C:1:0:1]Guildhalls[C:7:0:0] are where the workers of specific professions gather to socialize and share their knowledge. ","[C:1:0:1]Cechovn¡ s¡nØ[C:7:0:0] jsou m¡sta, kde se pracovn¡ci jednotlivìch profes¡ sch zej¡, aby se dru§ili a sd¡leli sv‚ znalosti. "
"the Attack","étok"
"Seek Chain for Animal","Hledat ýetØz pro zv¡ýe"
"for diplomacy","pro diplomacii"
"social","spoleŸenskì"
" housing "," kde s¡dl¡ "
", it is important that ",", je d…le§it‚, aby "
" will not go unanswered."," nez…stane bez odezvy."
"having an intellectual discussion with a lover","m¡t intelektu ln¡ diskusi s milencem/milenkou"
" has shared a few rumors."," se podØlil o p r drb…"
"rhinoceros","nosoro§ec"
"Be creative","Bìt kreativn¡"
"the tooth","zubu"
"Unusable ","Nepou§iteln  "
"Servant's Burial Chamber","Pohýebn¡ komora slu§ebnictva"
"Color","Barva"
"less greedy","m‚nØ chamtivì/ "
"Nobles and certain administrators require rooms, and some may also make demands.","ælechtici a nØkteý¡ administr toýi vy§aduj¡ vlastn¡ m¡stnosti a nØkteý¡ mohou m¡t i po§adavky."
"Not enough partial edge oceans","Nedostatek Ÿ steŸnìch okrajovìch oce n…"
"Biographies","Biografie"
"Undyed","Neobarvenì"
"State feelings of great repentance","Vyj dýit velkou pok n¡"
"extend","prodlou§it"
"Trapping","Pasti"
"eating without table","nejedl u stolu"
", depicted as a ",", zobrazen‚ jako "
"Sites","Strany"
"the Triangle","Troj£heln¡k"
"loathed abuses of power and refused","nen vidØl zneu§¡v n¡ moci a odm¡tl"
" laid a series of oppressive edicts upon "," uvalil s‚rii represivn¡ch edikt… na "
"use the same placement of allusions","pou§¡vaj¡ stejn‚ um¡stØn¡ nar §ek"
"Write","Piç"
"caring","peŸuj¡c¡"
"migratory patterns","migraŸn¡ vzorce"
"Assassination Plot","Vra§edn‚ spiknut¡"
"WARNING:  If successful, your soldiers will join the","VAROVµNÖ: Pokud £spØj¡, vaçi voj ci se pýipoj¡ k"
"Unnamed recenter location","Nepojmenovan  pozice pro zamØýen¡"
"In site finder","V hled n¡ lokace"
"a lumber agreement","dohoda o tØ§bØ dýeva"
"monitor","varan"
"the positive","pozitivn¡"
"more industrious","pracovitØjç¡"
"Underground Fortress","Podzemn¡ pevnost"
"Prophet","Prorok"
"lye/milk-free ","louh/bez ml‚ka "
"Repentant","L¡tostivì"
"a work","d¡lo"
"Furnaces","Pece"
"Do not tempt me!  My beasts of burden cannot possibly haul such a load.","Nepokouçej mØ! Moje ta§n  zv¡ýata takovì n klad neut hnou."
"the meaning of individual happiness","vìznam osobn¡ho çtØst¡"
"aborted ","pýeruçenìmi "
"Despite some minor reservations...  ","Navzdory jistìm drobnìm vìhrad m...  "
"You can always rely on your family when everything else falls away.","Na rodinu se m…§ete v§dy spolehnout, kdy§ vçechno ostatn¡ sel§e."
"Vertical axles transfer power between two adjacent elevations.","Vertik ln¡ hý¡dele pýen çej¡ s¡lu mezi dvØma sousedn¡mi £rovnØmi."
"Lava/Magma at this location","L va/Magma na tomto m¡stØ"
", one loss",", jedna ztr ta"
"having an intellectual discussion with father","m¡t intelektu ln¡ diskusi s otcem"
"We have arrived at our destination.","Dorazili jsme do c¡le."
"* Output restricted","* Vìstup omezen"
"Prisoner","VØzeå"
"Heirloom of ","Rodinn‚ dØdictv¡ "
"It is cool.","Je chladno."
"ripping","trh n¡"
"spearman","kopin¡k"
"the Survival of Animals","Pýe§it¡ zv¡ýat"
" to save a macro to a file."," k ulo§en¡ makra do souboru."
" near burning cap"," u hoý¡c¡ Ÿepice"
"Very Small Profile","Velmi malì profil"
"Wilderness sensitivity (less = sooner)","Citlivost divoŸiny (m‚nØ = dý¡ve)"
"Do not alter actions","NemØnit akce"
"is very muscular with a broad body","je velmi svalnatì se çirokìm tØlem"
"has a square chin","m  Ÿtvercovou bradu"
" is a great treasure.  We respect that this is no mere trade."," je velkì poklad. Respektujeme, §e toto nen¡ obyŸejnì obchod."
"Number of Regional Interaction Types","PoŸet typ… region ln¡ch interakc¡"
" adjacent "," soused¡c¡ch "
"Add stockpile links for this workshop.","Pýi§aÔte t‚to d¡lnØ sklad."
"does not easily hate or develop negative feelings","snadno nen vid¡ jen zý¡dka a negativn¡ pocity si vytv ý¡ obt¡§nØ"
"is gigantic with incredible muscles","je gigantickì s neuvØýitelnìmi svaly"
"medicine:theory:comparative anatomy","medic¡na:teorie:srovn vac¡ anatomie"
" for war"," k boji"
" was the place for prayer."," bylo m¡stem modlitby."
"Everywhere","Vçude"
"sheet roller","v lcovaŸ list…"
"metal furniture shop (255,0,64)","d¡lna na kovovì n bytek (255,0,64)"
" here.  "," zde.  "
"Independence","Nez vislost"
"leather clothing shop (255,128,64)","obchod s ko§enìm obleŸen¡m (255,128,64)"
"bowmen","lukostýelci"
"Need crutch","Potýeba berle"
"the spouse","man§elem/man§elkou"
", though the rhyming doesn't have to be perfect",", i kdy§ rìm nemus¡ bìt dokonalì"
"contains a deft use throughout of what might be considered immature material","obsahuje zruŸn‚ vyu§it¡ toho, co by mohlo bìt pova§ov no za nezralì materi l"
"the computation of the area of a triangle from its three side lengths alone","vìpoŸet obsahu troj£heln¡ka pouze z d‚lek jeho tý¡ stran"
"bookbinder","knihaý"
"invoke","vyvolat"
"Container","Kontejner"
"your ","vaçe "
"engineering:fluid:archimedes principle","in§enìrstv¡:tekutiny:Archim‚d…v z kon"
"population of a thousand","populac¡ tis¡ce"
"Dismiss minor feeling of sadness","Ignorovat m¡rnì pocit smutku"
"Despairing","V zoufalstv¡"
" is really quite good!"," je opravdu dobrì!"
"How will you respond to the request for information?","Jak odpov¡ç na § dost o informace?"
"[C:4:0:1].Broken open","[C:4:0:1].Otevýeno n razem"
"Go to Individual Combat Drill","Jde na Osobn¡ Bojov‚ CviŸen¡"
"tax collector failed","vìbØrŸ¡ dan¡ selhal"
", but that hardly matters now.",", ale teÔ to sotva nØco znamen ."
"I do not resent this.","Nezlob¡m se kv…li tomu."
"Attachment to item","Pýipout n¡ k pýedmØtu"
"Ore of ","Ruda "
"Add magma to the arena.","Pýidejte do ar‚ny magma."
"Valid Pond Dump","Platnì vìsyp rybn¡ka"
"Know","VØd¡"
"more resilient","odolnØjç¡"
"Recenter on this burrow.","Vycentrovat na tuto noru."
"Use History Seed","Pou§¡t seed historie"
"constable","konst bl"
"Object of worship","PýedmØt uct¡v n¡"
"zeal","horlivost"
"to offer a different perspective","k nab¡dnut¡ jin‚ perspektivy"
"Offloading art...","Ukl d n¡ umØn¡..."
"Shearing","Stý¡h n¡"
"confrontation of","konfrontace "
"Getting married","¦en¡ se / vd v  se"
"have","m¡t"
"Values commerce","Cen¡ si obchodu"
"cruelty","krutost"
"""You are close.  Follow your senses to the entrance.","\"
"crime of treason","zloŸin zrady"
