"more presumptious","mais presunáoso"
"soldiering.","guardando."
"No automatic weaving","N∆o tecer automaticamente"
" is brawling under the influence!"," est† brigando sob a influància!"
"profession","categoria profissional"
"to reflect on previous ideas","para refletir sobre idÇias anteriores"
"drinking without goblet","Bebendo sem copo"
"an astonishing memory","uma mem¢ria surpreendente"
"the leap of ","o salto de "
"visitor","visitante"
"learned poetic form","forma poÇtica aprendida"
" is sitting down"," Ç sentar-se"
" the perfect phrasing."," o fraseado perfeito."
"Add a condition to the work order that checks the amount of some item.","Adiciona uma condiá∆o Ö ordem de serviáo que verifica a quantidade de certo item."
"after being unable to practice a skill","depois de ser incapaz de praticar uma habilidade"
"dining in ","jantar no "
"Hang from ","Pendurados "
"An acquaintance shared a personal insight with me.","Um conhecido compartilhou uma percepá∆o pessoal comigo."
"If you right click in the play area, you'll open a context-sensitive menu of actions.  This lets you select a destination more carefully.","Se vocà clicar com o bot∆o direito na †rea de jogo, abrir† um menu de aá‰es sens°vel ao contexto. Isso permite selecionar um destino com mais cuidado."
"I'm so miserable.","Eu sou tao miser†vel."
"saved","salvo"
"Monarch arrived early","Monarca chegou cedo"
"an infamous villain","um vilao infame"
"I'm leaving "," estou saindo "
"Performance occur over a period of time related to the specific art form or piece.  You can interrupt the performance as it unfolds, commit to finishing it and wait for its completion, or continue in steps.  ","Performances acontecem por um per°odo relacionado Ö arte espec°fica ou peáa. Vocà pode interromper a apresentaá∆o enquanto ela ocorre, comprometer-se a termin†-la e esperar a conclus∆o, ou continuar em etapas. "
"The Past","O passado"
" other strings vibrate in sympathy and are rarely played themselves"," Outras cordas vibram solid†rias e raramente s∆o tocadas sozinhas"
" knocked over"," derrubado"
" refusal to identify to "," recusa em identificar "
" in search of adventure"," em busca de aventura"
" (improper building)"," (edif°cio impr¢prio)"
"a room"," um quarto "
"Acknowledge lack of loneliness","Reconhecer a falta de solidao"
"loathing","Eu sinto tanto ¢dio..."
"Storage path decrease (bucket combine)","Diminuiá∆o do caminho de armazenamento (combinaá∆o de baldes)"
"Carpentry Pit","Poáo de carpintaria"
" religious opposition to the adversary's inherent association with "," oposiá∆o religiosa Ö associaá∆o de inerente do advers†rio com "
"community bonds","laáos comunit†rios "
"Imported clothing market","Mercado de vestu†rio importado"
" stinks!"," fede!"
"gaiety","Alegria"
"Each line has ","Cada linha tem "
" gouges"," goivas"
"work pits (50,30,20)","poáos de trabalho (50,30,20)"
"greeting ","Cumprimento "
"realized","realizado"
"faraway","distante"
"Catch live land animal","Pegar animal terrestre vivo"
"underworld","submundo"
"The dancers perform ","Os danáarinos performam "
" must pay homage to "," deve prestar homenagem "
"Loading active historical figures...","Carregar figuras hist¢ricas ativas..."
"Default high traffic path cost","Custo de rota de tr†fego alto padr∆o"
"Gleeful","Alegre "
"condensed.","Condensado"
"Hide an item or building from your view.  Citizens will still use it.","Oculte um item ou construá∆o da sua vis∆o. Os cidad∆os ainda o usar∆o."
"being tormented in nightmares by a dead friend","sendo atormentado em pesadelos por um amigo morto"
"philosophy:metaphysics:time","filosofia:metaf°sica:tempo"
"Well, let's see...","Bem, vamos ver..."
"Rough ","Bruto "
"Move selector right","Mova o seletor de bem"
" considers tranquility preferable to tumult, conceptually"," considera a tranquilidade prefer°vel tumulto, conceitualmente"
".  You are a stranger here.",".  Vocà Ç um estranho aqui."
"Tropical Saltwater Lake","Lago de †gua salgada tropical"
"zealous","Zelota"
"no sphere","nenhuma esfera"
"work if suited","trabalhar se adequado"
" all of the time"," o tempo todo"
"Ask about listener's family","Pergunte sobre a fam°lia do ouvinte"
"slower and slower ","lento e mais lento "
" has revealed the presence of "," revelou a presenáa de "
"current events","evento atual"
"Seek Food Item","Busque Alimento"
"Arena: Create creature","Arena: Criar criatura"
"I was considering the demands I've made.","Eu estava considerando as demandas que fiz."
"is tiny yet incredibly muscular and lardy","Ç min£sculo, mas incrivelmente muscular e gorduroso"
"vessel","recipiente"
" strings"," cordas"
"A foolish builder defaced a ","Um Construtor tolo arruinou um "
"Affection","Afeiá∆o"
"is very long and frail","Ç muito longo e fr†gil"
"was willing to accept eventual death and refused","estava disposto a aceitar a morte eventual e recusou"
"To the southeast","Para o sudeste "
"Highly Loyal","Altamente leal "
"inspiringly led","conduzido de forma inspiradora"
"members of ","Membros de "
"All of the pipes are single reed.  ","Todos os tubos s∆o de palheta simples. "
"Ask about somebody (new menu)","Perguntar sobre alguÇm (novo menu)"
"Armor ","Armadura "
"stammers when ","gagueja quando "
"Constant training","Treino constante"
"be stately","ser imponente"
"a series of ","uma sÇrie de "
"food storage ","conservaá∆o de alimentos "
"is fat and very tall","Ç gordo e muito alto"
" stanza"," estrofe"
"was crushed under a collapsing ceiling","foi esmagado sob o teto desabando."
"The beats are named ","As batidas s∆o nomeadas "
"Soil","Solo"
"boiling filth","sujeira de ebuliá∆o"
"Change the frequency that the conditions are checked.","Muda a frequància com que as condiá‰es s∆o verificadas."
"broke even","empataram"
"I had a bath with soap!","Tomei um banho com sabao!"
"rumored flatterer","suposto bajulador"
"stopped being the father of","deixou de ser o pai da"
"Collect clay","Coletar argila"
"discourse on the nature of time","discurso sobre a natureza do tempo"
"[C:7:0:1]Crutch required","[C:7:0:1]Muleta necess†ria"
"Chain Drives","o espelho ardente"
"You no longer assume a submissive posture.","Vocà j† nao assume uma postura submissa."
"is selected","Ç selecionado"
"geography:theory:origin of rainfall from evap condense","geografia:teoria:origem da chuva a partir da condensaá∆o"
"SMALL ISLAND","ILHA PEQUENA"
"[C:6:0:1]Placed in traction","[C:6:0:1]Colocado em traá∆o"
"Refuse ","Restos "
" corrupted "," corrompido "
"most high priests","sumo sacerdotes"
"slightly sunken","ligeiramente afundado"
"Strike","Golpe "
" grotesque"," grotesco"
"Ice Upward Track (NEW)","Pista de gelo para cima (novo)"
":strings:strings",":cordas:cordas"
"the water cycle","o ciclo da †gua"
"been found dead, badly crushed.","foi encontrado morto, mal esmagado."
" with a shameworthy performance."," com uma apresentaá∆o vergonhosa."
"very long ","muito longo(a) "
"Attribute cap perc less than 100, set to 100","Limite de percentagem de atributo menor que 100, definido para 100"
"Bled to death","sangrou atÇ a morte."
"No charge attack: target is on the ground","Sem investida: alvo est† no ch∆o"
"State feelings of frustration","Sentimentos de frustraáao do estado"
"The written portion consists of ","A parte escrita consiste de "
"started working at","comeáou a trabalhar em"
"is long with a frail body","Ç longo, com um corpo fr†gil"
" (to "," (para "
"finely-crafted","finamente-feito"
"Resentful","Ressentido "
" is conflicted by this for more than one reason"," est† em conflito por isso por mais de uma razao"
"the concealment of ","a ocultaá∆o de "
"could afford to learn a lesson or two, though open conflict would be unwise.","podia aprender uma liá∆o ou dois, embora o conflito aberto seria imprudente."
"punished somebody with tool","Castigue alguÇm com uma ferramenta"
"at ","no "
"I am consumed by hatred.","Estou consumido pelo ¢dio."
"more fearless","mais destemido"
"passage","passagem"
", but now this stands between us.",", mas agora isto fica entre n¢s."
"Land's status elevated","Status do terreno elevado"
"State minor feeling of repentance","Estado a menor sensaáao de arrependimento"
"Mouse-context scrollbar up","Barra de rolagem do contexto do mouse para cima"
"Pet loses dead owner","Animal de estimaá∆o perde dono morto"
"known preserver of knowledge","preservador do conhecimento conhecido"
"medicine:method:autopsy","medicina:mÇtodo:aut¢psia"
"Forest region count fails by ","Contagem de regiao de floresta falha por "
"Humorless","Sem humor"
" was"," foi"
"How may I serve you?","Como posso servi-lo? "
"Site Cap After Civ Creation","Limite do local ap¢s a criaá∆o da civilizaá∆o"
"Enjoyment","Apreciaá∆o "
"is consumed by overpowering feelings of jealousy","Ç consumido por sentimentos avassaladores de ci£me"
"the end of the former membership of","o fim dos antigos membros do"
"a storyteller, or at least tells stories","um contador de hist¢rias, ou pelo menos conta hist¢rias"
"No relationships","Sem relacionamento"
"considering demand","considerando a demanda"
"[C:6:0:0].Moderate bruising","[C:6:0:0].Contus∆o moderada"
"No witnesses","Sem testemunhas"
"I was unable to request weapon production.","Eu era incapaz de solicitar a produá∆o de armas."
"Finish setting tree chopping orders.","Termine de definir as ordens de corte de †rvores."
"near favorite animal","pr¢ximo animal favorito"
"Terrarium","Terr†rio"
"Must be inside","Deve estar l† dentro"
"statue","Est†tua"
"Foiled Bribery Conspiracy","Conspiraá∆o de Suborno Frustada"
"Subterranean Magma","Magma subterrÉneo"
"Number of beasts","N£mero de feras"
"is short and very skinny","Ç curto e muito magro"
"Toggle cloud view.","Alternar vis∆o de nuvens. "
"There is a long-ranging patrol ","H† uma patrulha de longo alcance "
"Fail the struggle against great horror","Falhar a luta contra o terror grande"
"on the floor ","no chao "
"Ah, wonderful.  Thank you for your business.","Ah, maravilhoso.  Agradeáo pelos seus serviáos."
"Change standard selections to blueprints.","Mudar as seleá‰es padr∆o para diagramas."
"Dismiss minor feeling of anguish","Descartar o menor sentimento de ang£stia"
"sharing a personal insight with an acquaintance","compartilhar uma vis∆o pessoal com um conhecido"
"entertaining citizens and visitors.","entretendo cidad∆os e visitantes."
"unmet needs","Necessidade insatisfeita"
"State minor feeling of gaiety","Expressar leve sensaá∆o de alegria "
"You can also demand your opponent yield using a conversation option. ","Vocà tambÇm pode exigir que seu oponente se renda usando uma opá∆o de conversa. "
", moving ",", movendo "
"Evil cloud","Nuvem Maligna"
" yoke.]"," jugo.]"
" to the living world"," ao mundo dos vivos"
"Unknown convict.","Culpado desconhecido."
"Deceased","Falecido"
"ABORT NOW and I'll look over my parameters.","ABORTE AGORA e eu vou examinar meus parÉmetros."
"I was cried on by an unhappy citizen.","Chorei por um cidadao infeliz."
"ethics as applied to war","Çtica aplicada para guerra"
"Types of Muscles","Tipos de M£sculos"
"deeply sunken","profundamente afundado"
"Acknowledge lack of aggravation","Reconhecer a falta de agravamento"
" Winter"," Inverno"
"Monster slayer","Caáador de monstros"
"Assume Control","Assumir o controle"
"Major River: ","Grande rio: "
"Affects response to jokes.","Afeta a resposta a piadas. "
"[C:3:0:1]Stunned","[C:3:0:1]Atordoado"
"number","numero"
"is impervious to the effects of stress","Ç imune aos efeitos do estresse"
"raucous","estridente"
"handler","manipulador"
"It's such a pleasure to serve you.","ê um prazer te servir."
"There's nothing to be indignant about.","N∆o h† nada para ser indignado sobre."
"situation","situaá∆o"
"was killed by spikes","foi morto por espinhos"
"Outdoor access","Acesso ao ar livre"
"due to a shared scholarly interest","devido a um interesse acadàmico compartilhado"
"This is truly horrifying.","Isso Ç realmente horr°vel."
"You can recognize a high priest when this is a temple complex.","Vocà pode reconhecer um alto sacerdote quando isso for um complexo de templo."
"Types of Nerves","Tipos de Nervos"
"in order to pursue scholarship","a fim de buscar erudiá∆o "
"fathom you ending up with the items you desire."," imagine vocà terminando com os itens que deseja."
"There is a great keep there","H† uma grande torre de menagem l†"
"treachery","traiá∆o"
" numerous series of"," numerosas sÇries de"
"I am so grateful!","Estou muito grato!"
