"its","それの"
"A medium-sized, flat fish.  It lives near the beach and will defend itself with sharp barbs.","A medium-sized, flat fish.  It lives near the beach and will defend itsエルフ with sharp barbs."
"stingray","アカエイ"
"stingrays","アカエイ"
"stingray pup","アカエイの稚魚"
"stingray pups","アカエイの稚魚の"
"tail spines","尾棘"
"An elusive medium-sized fish found in coastal waters.","沿岸海域で見られるとらえどころのない中型の魚. "
"coelacanth","シーラカンス"
"coelacanths","シーラカンス"
"coelacanth fry","シーラカンスの稚魚"
"A large oceanic fish covered with bony plates.","鱗甲で覆われた大きな海の魚. "
"sturgeon","チョウザメ"
"sturgeons","チョウザメ"
"sturgeon fry","チョウザメの稚魚"
"bony scutes","鱗甲"
"conger eel","アナゴ"
"conger eels","アナゴ"
"conger eel fry","アナゴの稚魚"
"long bodies","長い胴"
"A medium-sized fish found around coasts and islands.  It is easy prey for predators.","海岸や島々で見られる中型の魚. 捕食者の餌食になりやすい. "
"milkfish","サバヒー"
"milkfish fry","サバヒーの稚魚"
"silvery bodies","銀色の体"
"A medium-sized oceanic fish, often hunted for its meat.","中型の肉食海水魚. "
"cod","タラ"
"cod fry","タラの稚魚"
"fins","ひれ"
"A large oceanic fish.  It is flat, round and red.","平べったくて丸っぽい, 赤色の大型海水魚. "
"opah","アカマンボウ"
"opah fry","アカマンボウの稚魚"
"A large, big-mouthed fish, found around coral reefs.","サンゴ礁に棲息する, 口の大きな大型魚. "
"giant grouper","タマカイ"
"giant groupers","タマカイ"
"grouper fry","タマカイの稚魚"
"A medium-sized oceanic fish.  It is fork-tailed and sought after for its meat.","中型の海水魚. よく食用として漁の獲物にされる. "
"bluefish","オキスズキ"
"bluefish fry","オキスズキの稚魚"
"A giant oceanic creature resembling a huge fish's head connected to a wide tail.","体全体がまるで大きな魚の頭のような形をした, 大型海水魚だ. "
"ocean sunfish","マンボウ"
"ocean sunfish fry","マンボウの稚魚"
"strange fins","strange ひれ"
"A huge predatory fish found in open ocean.  It has a long pointed bill which it uses to slash and ram.","大きな外洋海水魚. 大きな角をもち, それで突き刺したり斬ったりする. "
"swordfish","メカジキ"
"swordfish fry","メカジキの稚魚"
"sharp snout","鋭い角"
"A huge oceanic fish capable of great speed.  It has a long, sharp snout used for slashing its prey.","スピードが速い巨大な海の魚. 獲物を斬るのに使われる長くて鋭い鼻があります. "
"marlin","マカジキ"
"marlins","マカジキ"
"marlin fry","マカジキの稚魚"
"A large, flat, oceanic fish.  It dwells on the sea floor, both its eyes on the top side.","大きくて平らな海の魚. 海底に張り付いたまま上が見えるよう, 両目が同じ面に偏ってついている. "
"halibut","オヒョウ"
"halibut fry","オヒョウの稚魚"
"A large, long fish with many sharp fangs.  It hunts by ambushing its prey.","鋭い牙がたくさんある大きくて長い魚. 獲物を待ち伏せして狩りをします. "
"great barracuda","オニカマス"
"great barracudas","オニカマス"
"great barracuda fry","オニカマスの稚魚"
"A large oceanic fish capable of great speed.","スピードが速い大型の海洋魚. "
"bluefin tuna","クロマグロ"
"bluefin fry","クロマグロの稚魚"
"finlets","尾びれ"
"A medium-sized sea mammal with a long thin horn on its nose.  It uses this horn to communicate and break up ice.","鼻に長く細い角を持つ中型海生哺乳類. この角を使って通信し, 氷を砕きます. "
"narwhal","イッカク"
"narwhals","イッカク"
"narwhal calf","イッカクの仔"
"narwhal calves","イッカクの仔の"
"horns","角"
"are tusking","串刺しにした"
"narwhal man","イッカク男"
"narwhal men","イッカク男"
"narwhal woman","イッカク女"
"narwhal women","イッカク女"
"A medium-sized creature with the arms and torso on a man, but with the head and tail of a narwhal.","イッカクの頭と尾を持った人間だ. 腕はついている. "
"giant narwhal","巨大イッカク"
"giant narwhals","巨大イッカク"
"giant narwhal calf","巨大イッカクの仔"
"giant narwhal calves","巨大イッカクの仔の"
"A huge sea monster with an enormous horn on its nose.","鼻に巨大な角がある, 馬鹿でかい海の怪物だ"
"A huge, round, hairless river creature.  It is a plant-eating animal but has long tusks and can be aggressive and deadly if disturbed.","丸っこくて毛が生えていない, 川辺に棲む大型哺乳類だ. 草食だが牙が長く, 邪魔するものにはその牙で襲い掛かる. "
"hippo","カバ"
"hippos","カバ"
"hippo calf","カバの仔"
"hippo calves","カバの仔の"
"hippo man","カバ男"
"hippo men","カバ男"
"hippo woman","カバ女"
"hippo women","カバ女"
"A large person with the head of a hippo.","カバの頭を持った人間だ. "
"giant hippo","巨大カバ"
"giant hippos","巨大カバ"
"giant hippo calf","巨大カバの仔"
"giant hippo calves","巨大カバの仔の"
"A huge hippo-shaped monster.","カバのような姿をした巨大な怪物だ. "
"A medium-sized fish with a long snout.  It is found in lakes and streams.","湖や小川に棲む, 鼻の長い中型魚. "
"longnose gar","ロングノーズガー"
"longnose gars","ロングノーズガー"
"longnose gar fry","ロングノーズガーの稚魚"
"long noses","鼻が長い"
"A medium-sized fish found in lakes and streams.  They are bottom-feeders and tend to gather in groups.","中型の淡水魚. 水底に潜み, 群れていることが多い. "
"carp","鯉"
"carp fry","鯉の稚魚"
"protruding mouths","突き出た口"
"A medium-sized predatory fish found in lakes and streams.  It is known for its ferocious attacks and interlocking teeth.","中型淡水魚. 獰猛な性格で, 鋭い歯で嚙みつく. "
"tigerfish","タイガーフィッシュ"
"tigerfish fry","タイガーフィッシュの稚魚"
"spirit","獰猛"
"A medium-sized, green fish found in temperate lakes.","温帯の湖に棲む, 緑色の中型魚. "
"pike","カワカマス"
"pike fry","カワカマスの稚魚"
"distinct markings","明瞭な模様"
"A small semi-aquatic, egg laying mammal with a bill, flat tail and poison spurs.","くちばし, 平らな尾, 毒の蹴爪を持つ小さな半水生の産卵哺乳類. "
"platypus","カモノハシ"
"platypuses","カモノハシ"
"baby platypus","カモノハシの子供"
"baby platypuses","カモノハシの子供の"
"bizarre appearance","奇妙な外観"
"venomous spurs","毒の蹴爪"
"flat tails","平たい尾"
"large bills","大きなくちばし"
"frozen platypus venom","凍ったカモノハシの毒液"
"platypus venom","カモノハシの毒液"
"boiling platypus venom","蒸気化したカモノハシの毒液"
"platypus sting","カモノハシの棘"
"platypus man","カモノハシ男"
"platypus men","カモノハシ男"
"platypus woman","カモノハシ女"
"platypus women","カモノハシ女"
"giant platypus","巨大カモノハシ"
"giant platypuses","巨大カモノハシ"
"baby giant platypus","巨大カモノハシ"
"baby giant platypuses","巨大カモノハシの子供の子供の"
"A huge monster, the shape of a platypus.","カモノハシのような姿をした巨大な怪物だ. "
"A huge brown creature found in temperate woodland.  It is known for its ferocious attack, usually when it or its young are threatened.","温帯の森に棲む, 大型哺乳類. 危害を加えると猛烈な反撃をしてくる. "
"grizzly bear","ヒグマ"
"grizzly bears","ヒグマ"
"grizzly bear cub","ヒグマの子供"
"grizzly bear cubs","ヒグマの子供の"
"grizzly bear man","ヒグマ男"
"grizzly bear men","ヒグマ男"
"grizzly bear woman","ヒグマ女"
"grizzly bear women","ヒグマ女"
"A large person with the head of a grizzly bear.","ヒグマの頭を持った人間だ. "
"giant grizzly bear","巨大ヒグマ"
"giant grizzly bears","巨大ヒグマ"
"giant grizzly bear cub","巨大ヒグマの子供"
"giant grizzly bear cubs","巨大ヒグマの子供の"
"A huge monster in the shape of a grizzly bear.","ヒグマのような姿をした巨大な怪物だ. "
"A large omnivorous predator found in temperate woodlands.  Mainly living on berries, it will also steal carcasses from other hunters.  Though normally a docile animal, it has been known to kill in a predatory attack.","温帯の森に棲む大型雑食哺乳類. 主に果実を食べるが, 他の肉食獣の獲物を横取りもする. 普段は温厚だが, 時々動物を狩り殺す. "
"black bear","ツキノワグマ"
"black bears","ツキノワグマ"
"black bear cub","ツキノワグマの子供"
"black bear cubs","ツキノワグマの子供の"
"black bear man","ツキノワグマ男"
"black bear men","ツキノワグマ男"
"black bear woman","ツキノワグマ女"
"black bear women","ツキノワグマ女"
"A large person with the head of a black bear.","ツキノワグマの頭を持った人間だ. "
"giant black bear","巨大ツキノワグマ"
"giant black bears","巨大ツキノワグマ"
"giant black bear cub","巨大ツキノワグマの子供"
"giant black bear cubs","巨大ツキノワグマの子供の"
"A huge monster in the shape of a black bear.","ツキノワグマのような姿をした巨大な怪物だ. "
"A medium-sized hoofed forest creature that grows its antlers back each year.","中型の草食動物. 毎年枝角が生え変わる. "
"deer","鹿"
"deer fawn","鹿の子供"
"deer fawns","鹿の子供の"
"grace","愛嬌がある"
"deer man","鹿男"
"deer men","鹿男"
"deer woman","鹿女"
"deer women","鹿女"
"A person with the head of a deer.","鹿の頭を持つ人間だ. "
"giant deer","巨大鹿"
"giant deer fawn","巨大鹿の子供"
"giant deer fawns","巨大鹿の子供の"
"A huge monster in the form of a deer.","鹿のような姿をした巨大な怪物だ. "
"A small carnivorous animal found in temperate climates.  It has orange fur and is known for its cleverness.","温暖な気候に棲息する小型肉食獣. オレンジ色の毛皮を持ち, とても賢い. "
"fox","狐"
"foxes","狐"
"fox pup","狐の子供"
"fox pups","狐の子供の"
"cunning","狡猾"
"fox man","狐男"
"fox men","狐男"
"fox woman","狐女"
"fox women","狐女"
"A person with the head and tail of a fox.","狐の頭と尾を持つ人間だ. "
"giant fox","巨大狐"
"giant foxes","巨大狐"
"giant fox pup","巨大狐の子供"
"giant fox pups","巨大狐の子供の"
"A huge monster in the shape of a fox.","狐のような姿をした巨大な怪物だ. "
"A small omnivorous animal with a bright mask of fur.  It is nocturnal and found in temperate forests.  It is a curious animal and has been known to steal from civilized areas.","小型雑食哺乳類. 温帯の森に棲む. 好奇心旺盛で, しばしば人里から盗みを行う. "
"raccoon","アライグマ"
"raccoons","アライグマ"
"raccoon pup","アライグマの子供"
"raccoon pups","アライグマの子供の"
"mischief","いたずら"
"raccoon man","アライグマ男"
"raccoon men","アライグマ男"
"raccoon woman","アライグマ女"
"raccoon women","アライグマ女"
"A person with the mask and tail of a raccoon.","アライグマの頭と尾を持つ人間だ. "
"giant raccoon","巨大アライグマ"
"giant raccoons","巨大アライグマ"
"giant raccoon pup","巨大アライグマの子供"
"giant raccoon pups","巨大アライグマの子供の"
"A huge monster in the shape of a raccoon.","アライグマのような姿をした巨大な怪物だ. "
"A medium-sized monkey found in woods and grassland.  It usually lives on roots and insects but can become a pest in civilized areas, roaming in large groups and begging for scraps.","森や草原に棲息する中型のサル. ふつうは木の根や昆虫を食べますが, 人里では群れでごみを漁って食べ, 害獣になる. "
"rhesus macaque","アカゲザル"
"rhesus macaques","アカゲザル"
"rhesus macaque man","アカゲザル男"
"rhesus macaque men","アカゲザル男"
"rhesus macaque woman","アカゲザル女"
"rhesus macaque women","アカゲザル女"
"A person with the head and tail of a rhesus macaque.","アカゲザルの頭と尾を持つ人間だ. "
"giant rhesus macaque","巨大アカゲザル"
"giant rhesus macaques","巨大アカゲザル"
"A large monster in the form of a rhesus macaque.","アカゲザルのような姿をした巨大な怪物だ. "
