"engineering:horology:mechanical clock","inæynieria:horologia:zegar mechaniczny"
"gather [C:6:0:1]Silk[C:7:0:0], or tan [C:6:0:1]Skins[C:7:0:0] for [C:6:0:1]Leather[C:7:0:0]. ","zbieraÜ [C:6:0:1]Jedwab[C:7:0:0], lub garbowaÜ [C:6:0:1]Surow• sk¢r©[C:7:0:0] aby uzyskaÜ[C:6:0:1]Sk¢r©[C:7:0:0]. "
"After harvesting plants like the [C:6:0:1]Pigtail[C:7:0:0], first process them at the [C:6:0:0]Farmer's Workshop[C:7:0:0], then ","Po zebraniu roòlin takich jak [C:6:0:1]ówi‰skie ogony[C:7:0:0], najpierw przetw¢rz je w [C:6:0:0]Warsztacie rolniczym[C:7:0:0], potem  "
"weave [C:6:0:1]Cloth[C:7:0:0] at the [C:6:0:0]Loom[C:7:0:0], then make [C:6:0:1]Clothing[C:7:0:0] at the [C:6:0:0]Clothier[C:7:0:0]. ","utkaj [C:6:0:1]Tkanin©[C:7:0:0] na [C:6:0:0]Kroònie[C:7:0:0], a nast©pnie stw¢rz [C:6:0:1]Ubrania[C:7:0:0] u [C:6:0:0]Krawca[C:7:0:0]. "
"Gathered [C:6:0:1]Silk[C:7:0:0] can go directly to the [C:6:0:0]Loom[C:7:0:0].","Zebrany [C:6:0:1]Jedwab[C:7:0:0] moæe trafiÜ bezpoòrednio na [C:6:0:0]Krosna[C:7:0:0]."
"[C:6:0:1]Skins[C:7:0:0] can be obtained by butchering [C:2:0:0]Livestock[C:7:0:0] at the [C:6:0:0]Butcher's Shop[C:7:0:0]. ","[C:6:0:1]Surowe sk¢ry[C:7:0:0] moæna uzyskaÜ z uboju [C:2:0:0]Trzody[C:7:0:0] w [C:6:0:0]Rze´ni[C:7:0:0]. "
"[C:6:0:1]Skins[C:7:0:0] are tanned at the [C:6:0:0]Tanner's Shop[C:7:0:0], and made into [C:6:0:1]Clothing[C:7:0:0] at the [C:6:0:0]Leather Works[C:7:0:0].","[C:6:0:1]Surowe sk¢ry[C:7:0:0] s• garbowane u [C:6:0:0]Garbarza[C:7:0:0], i przetwarzane [C:6:0:1]Materiaà[C:7:0:0] w [C:6:0:0]Zakàadzie kaletniczym[C:7:0:0]."
"[C:3:0:0]Meeting Areas[C:7:0:0] are [C:3:0:0]Zones[C:7:0:0] where your citizens gather when not working or taking care of their needs. ","[C:3:0:0]Obszary spotka‰[C:7:0:0] s• [C:3:0:0]Strefami[C:7:0:0] gdzie twoi obywatele zbieraj• si© gdy nie pracuj• ani nie zaspokajaj• swoich potrzeb. "
"[C:3:0:0]Zones[C:7:0:0] can be assigned to special [C:1:0:1]Locations[C:7:0:0]. Usually one [C:3:0:0]Meeting Area[C:7:0:0] is sufficient, but [C:1:0:1]Locations[C:7:0:0] can span several [C:3:0:0]Zones[C:7:0:0]. ","[C:3:0:0]Strefy[C:7:0:0] mog• byÜ przypisane do specjalnych [C:1:0:1]Lokacji[C:7:0:0]. Zazwyczaj jeden [C:3:0:0]Obszar spotka‰[C:7:0:0] wystarcza, ale [C:1:0:1]Lokalizacje[C:7:0:0] mog• obejmowaÜ kilka [C:3:0:0]Stref[C:7:0:0]. "
"There are five types of [C:1:0:1]Locations[C:7:0:0], which we'll go over in turn.","Jest pi©Ü rodzaj¢w [C:1:0:1]Lokacji[C:7:0:0], kt¢re om¢wimy po kolei."
"[C:7:0:1]Taverns[C:7:0:0]","[C:7:0:1]Karczmy[C:7:0:0]"
"[C:1:0:1]Taverns[C:7:0:0] are where your residents gather to drink, socialize, tell stories, and dance. ","[C:1:0:1]Karczmy[C:7:0:0] to miejsca, gdzie twoi mieszka‰cy zbieraj• si©, by piÜ, rozmawiaÜ, opowiadaÜ historie i ta‰czyÜ. "
"To have a fully functioning [C:1:0:1]Tavern[C:7:0:0] you must have a [C:6:0:0]Stockpile[C:7:0:0] with [C:6:0:1]Booze[C:7:0:0] in it, preferably close by. ","By mieÜ w peàni funkcjonuj•c• [C:1:0:1]Karczm©[C:7:0:0] musisz mieÜ [C:6:0:0]Magazyn[C:7:0:0] z [C:6:0:1]Gorzaàk•[C:7:0:0, najlepiej w pobliæu. "
"The inhabitants also like to drink from [C:6:0:1]Goblets[C:7:0:0], [C:6:0:1]Cups[C:7:0:0], or [C:6:0:1]Mugs[C:7:0:0].  These must be stored in [C:6:0:0]Chests[C:7:0:0] or ","Mieszka‰cy lubi• takæe piÜ z [C:6:0:1]Kielich¢w[C:7:0:0], [C:6:0:1]Kubk¢w[C:7:0:0], i [C:6:0:1]Kufli[C:7:0:0]. Te musz• byÜ przechowywane w [C:6:0:0]Skrzyniach[C:7:0:0] lub "
"[C:6:0:0]Coffers[C:7:0:0] inside the [C:1:0:1]Tavern[C:7:0:0].  Optionally you can place [C:6:0:0]Tables[C:7:0:0] and [C:6:0:0]Chairs[C:7:0:0] where your residents can eat. ","[C:6:0:0]Kufrach[C:7:0:0] w òrodku [C:1:0:1]Karczmy[C:7:0:0].  opcjonalnie moæesz umieòcic [C:6:0:0]Stoày[C:7:0:0] i [C:6:0:0]Krzesàa[C:7:0:0], przy kt¢rych twoi mieszka‰cy b©d• mogli zjeòÜ . "
"You may also leave a cleared space your tavern-goers will use as a dance floor.  If you have any [C:6:0:1]Musical ","Moæesz zostawiÜ takæe pust• przestrze‰, kt¢r• bywalcy karczmy wykorzystaj• jako parkiet taneczny. Jeòli masz jakieò [C:6:0:1]Instrumenty "
"Instruments[C:7:0:0] these can also be used by the [C:1:0:1]Tavern[C:7:0:0]. ","Muzyczne[C:7:0:0], te r¢wnieæ mog• zostaÜ wykorzystane w [C:1:0:1]Karczmie[C:7:0:0]. "
"From the [C:5:0:1]Tavern Info Menu[C:7:0:0] you can choose to assign [C:5:0:0]Performers[C:7:0:0] or a [C:5:0:0]Tavern Keeper[C:7:0:0] who will serve the ","Z [C:5:0:1]Menu Informacji Karczmy[C:7:0:0] moæesz przypisaÜ[C:5:0:0]Wykonawc¢w[C:7:0:0] lub [C:5:0:0]Karczmarza[C:7:0:0], kt¢ry b©dzie serwowaà "
"visitors drinks. There is also an option to allow outsiders to come to your [C:1:0:1]Tavern[C:7:0:0].","goòciom napoje. Jest teæ opcja pozwolenia postronnym na przychodzenie do twojej [C:1:0:1]Karczmy[C:7:0:0]."
"[C:7:0:1]Temples[C:7:0:0]","[C:7:0:1]ówi•tynie[C:7:0:0]"
"[C:1:0:1]Temples[C:7:0:0] are places for faithful residents to commune with their chosen deity. ","[C:1:0:1]ówi•tynie[C:7:0:0] s• budowane dla peànych wiary mieszka‰c¢w do obcowania z ich wybranym b¢stwem. "
"Upon creation of the [C:1:0:1]Location[C:7:0:0] you must choose which deity to dedicate the [C:1:0:1]Temple[C:7:0:0] to, if any. ","Przed stworzeniem [C:1:0:1]Lokacji[C:7:0:0] musisz wybraÜ, kt¢remu b¢stwu, jeòli w og¢le kt¢remuò, poòwi©ciÜ [C:1:0:1]ówi•tyni©[C:7:0:0]. "
"Sometimes the adherents to a certain religion will demand that you build a [C:1:0:1]Temple[C:7:0:0] to their specific deity. ","Czasem wyznawcy niekt¢rych religii b©d• od ciebie wymagaÜ zbudowania [C:1:0:1]ówi•tyni[C:7:0:0] ich konkretnego b¢stwa. "
"You can see how many worshippers of each deity live in your fortress by scrolling over their names. ","Moæesz zobaczyÜ ilu wyznawc¢w poszczeg¢lnych b¢stw æyje w twojej twierdzy, przewijaj•c nad ich imionami. "
"In the [C:6:0:1]Temple Info Menu[C:7:0:0] you can see the value of the [C:1:0:1]Temple[C:7:0:0].  Sometimes the worshippers will demand ","W [C:6:0:1]Menu Informacji ówi•tyni[C:7:0:0] moæesz zobaczyÜ wartoòÜ [C:1:0:1]ówi•tyni[C:7:0:0]. Czasem, wyznawcy b©d• domagaÜ si© "
"that you increase the value of the temple by decorating or adding [C:6:0:0]Furniture[C:7:0:0] like [C:6:0:0]Statues[C:7:0:0]. ","od ciebie zwi©kszenia wartoòci òwi•tyni przez dekorowanie lub dodawanie [C:6:0:0]Mebli[C:7:0:0] takich jak [C:6:0:0]Figury[C:7:0:0]. "
"You can also add [C:6:0:0]Chests[C:7:0:0] or [C:6:0:0]Coffers[C:7:0:0] to hold [C:6:0:1]Musical Instruments[C:7:0:0] that the faithful will use. ","Moæesz takæe dodaÜ [C:6:0:0]Skrzynie[C:7:0:0] lub [C:6:0:0]Kufry[C:7:0:0] do przechowywania [C:6:0:1]Instrument¢w muzycznych[C:7:0:0] uæywanych przez wiernych. "
"You can also assign [C:5:0:0]Performers[C:7:0:0] to the [C:1:0:1]Temple[C:7:0:0] and even [C:5:0:0]Priests[C:7:0:0] once the [C:1:0:1]Temple[C:7:0:0] becomes more established.","Moæesz takæe przypisaÜ [C:5:0:0]Wykonawc¢w[C:7:0:0] do [C:1:0:1]ówi•tyni[C:7:0:0], a nawet [C:5:0:0]Kapàan¢w[C:7:0:0], kiedy [C:1:0:1]ówi•tynia[C:7:0:0] stanie si© bardziej rozbudowana."
"[C:7:0:1]Hospitals[C:7:0:0]","[C:7:0:1]Szpitale[C:7:0:0]"
"Your unfortunate citizens are taken to the [C:1:0:1]Hospital[C:7:0:0] when injured.  There they will rest and given water until ","W razie obraæe‰ twoi niefortunni obywatele zostan• zabrani do [C:1:0:1]Szpitala[C:7:0:0]. B©d• tutaj odpoczywaÜ i dostawaÜ wod© aæ "
"they are seen by a [C:5:0:0]Doctor[C:7:0:0]. ","zostan• ogl•dni©ci przez [C:5:0:0]Lekarza[C:7:0:0]. "
"To fully function your [C:1:0:1]Hospital[C:7:0:0] needs to have [C:6:0:0]Beds[C:7:0:0], ","Aby w peàni funkcjonowaÜ, tw¢j [C:1:0:1]Szpital[C:7:0:0] potrzebuje [C:6:0:0]ù¢æek[C:7:0:0], "
"[C:6:0:1]Buckets[C:7:0:0] (with a source of water), [C:6:0:1]Thread[C:7:0:0] for sutures, and [C:6:0:1]Cloth[C:7:0:0] for bandages. ","[C:6:0:1]Wiader[C:7:0:0] (i ´r¢dàa wody), [C:6:0:1]Nici[C:7:0:0] do szw¢w, i [C:6:0:1]Tkaniny[C:7:0:0] na bandaæe. "
"You must build [C:6:0:0]Chests[C:7:0:0] or [C:6:0:0]Coffers[C:7:0:0] inside the [C:1:0:1]Hospital[C:7:0:0] to store these items. ","Musisz zbudowaÜ [C:6:0:0]Skrzynie[C:7:0:0] lub [C:6:0:0]Kufry[C:7:0:0] w òrodku [C:1:0:1]Szpitala[C:7:0:0] aby przechowywaÜ te przedmioty. "
"Some injuries require [C:6:0:1]Splints[C:7:0:0], or [C:6:0:1]Gypsum Plaster Powder[C:7:0:0] for [C:6:0:1]Orthopedic Casts[C:7:0:0].  [C:6:0:1]Soap[C:7:0:0] is necessary to prevent infection. ","Niekt¢re obraæenia wymagaj• [C:6:0:1]Szyn[C:7:0:0], lub [C:6:0:1]Proszku gipsowego[C:7:0:0] na [C:6:0:1]Gipsy ortopedyczne[C:7:0:0]. [C:6:0:1]Mydào[C:7:0:0] jest niezb©dne do zapobiegania infekcjom. "
"Some patients will need [C:6:0:1]Crutches[C:7:0:0] after they are treated. ","Niekt¢rzy pacjenci b©d• potrzebowaÜ po opatrzeniu [C:6:0:1]Kul ortopedycznych[C:7:0:0]. "
"You will need to appoint a [C:5:0:0]","Naleæy wskazaÜ [C:5:0:0]"
"Chief Medical Dwarf","Naczelnego Lekarza"
"[C:7:0:0] from the [C:5:0:1]Nobles and administrators[C:7:0:0] menu. ","[C:7:0:0] z menu [C:5:0:1]Szlachta i Administratorzy[C:7:0:0]. "
"You will need to assign a [C:5:0:0]Doctor[C:7:0:0] to the [C:1:0:1]Hospital[C:7:0:0] from the [C:5:0:1]Hospital Info Menu[C:7:0:0]. ","B©dziesz musiaà przypisaÜ [C:5:0:0]Lekarza[C:7:0:0] do [C:1:0:1]Szpitala[C:7:0:0] z [C:5:0:1]Menu Informacji Szpitala[C:7:0:0]. "
"Later you can assign [C:5:0:0]Doctors[C:7:0:0] to specific roles such as the [C:5:0:0]Diagnostician[C:7:0:0]. ","P¢´niej b©dziesz m¢gà przypisaÜ [C:5:0:0]Lekarzy[C:7:0:0] do konkretnych r¢l, takich jak [C:5:0:0]Diagnosta[C:7:0:0]. "
"The [C:5:0:0]Doctor[C:7:0:0] will need a [C:6:0:0]Table[C:7:0:0] to perform surgeries.  Some injuries will require ","[C:5:0:0]Lekarz[C:7:0:0] potrzebuje [C:6:0:0]Stoàu[C:7:0:0] do wykonywania operacji. Niekt¢re obraæenia b©d• wymagaày "
"[C:6:0:0]Traction Benches[C:7:0:0] which can be built at the [C:6:0:0]Mechanic's Shop[C:7:0:0].","[C:6:0:0]Wyci•gu ortopedycznego[C:7:0:0], kt¢ry moæe byÜ zbudowany w [C:6:0:0]Warsztacie mechanicznym[C:7:0:0]."
"[C:7:0:1]Libraries[C:7:0:0]","[C:7:0:1]Biblioteki[C:7:0:0]"
"The thirst for knowledge some residents have can be satisfied at the [C:1:0:1]Library[C:7:0:0]. ","Gà¢d wiedzy cz©òci mieszka‰c¢w moæe byÜ zaspokojony w [C:1:0:1]Bibliotece[C:7:0:0]. "
"From the [C:5:0:1]Library Info Menu[C:7:0:0] you can assign [C:5:0:0]Scholars[C:7:0:0] who discuss their interests with the inhabitants, ","Z [C:5:0:1]Menu Informacji Biblioteki[C:7:0:0] moæesz przypisaÜ [C:5:0:0]Uczonych[C:7:0:0] kt¢rzy b©d• prowadzili dyskusje z mieszka‰cami, "
"and [C:5:0:0]Scribes[C:7:0:0] to record them. Beware!  Some knowledge is dangerous.","i [C:5:0:0]Skryb¢w[C:7:0:0] do zapisywania ich. Uwaæaj! Niekt¢re rodzaje wiedzy s• niebezpieczne."
"In order to hold [C:6:0:1]Scrolls[C:7:0:0] and [C:6:0:1]Codices[C:7:0:0] you will need [C:6:0:0]Bookcases[C:7:0:0].  You will also need ","Aby przechowywaÜ [C:6:0:1]Zwoje[C:7:0:0] i [C:6:0:1]Kodeksy[C:7:0:0] b©dziesz potrzebowaÜ [C:6:0:0]Biblioteczek[C:7:0:0].  B©dziesz takæe potrzebowaÜ "
"[C:6:0:0]Tables[C:7:0:0] for your [C:5:0:0]Scribes[C:7:0:0] to work on.  [C:6:0:0]Chests[C:7:0:0] or [C:6:0:0]Coffers[C:7:0:0] are needed to store the ","[C:6:0:0]Stoà¢w[C:7:0:0] do pracy dla twoich [C:5:0:0]Skryb¢w[C:7:0:0]. [C:6:0:0]Skrzynie[C:7:0:0] lub [C:6:0:0]Kufry[C:7:0:0] s• potrzebne do przechowywania "
"[C:6:0:1]Writing Material[C:7:0:0] for the [C:5:0:0]Scribes[C:7:0:0] to write on. ","[C:6:0:1]Materiaà¢w pisarskich[C:7:0:0] dla [C:5:0:0]Skryb¢w[C:7:0:0] do pisania na nich. "
"[C:7:0:1]Guildhalls[C:7:0:0]","[C:7:0:1]Gildie[C:7:0:0]"
"[C:1:0:1]Guildhalls[C:7:0:0] are where the workers of specific professions gather to socialize and share their knowledge. ","[C:1:0:1]Gildie[C:7:0:0] to miejsca, gdzie pracownicy poszczeg¢lnych zawod¢w zbieraj• si©, by rozmawiaÜ i dzieliÜ si© swoj• wiedz•. "
"When deciding which guild to dedicate the [C:1:0:1]Guildhall[C:7:0:0] to, you can scroll over the names of the guilds ","Podczas decydowania, kt¢rej gildii dedykowaÜ lokalizacj© [C:1:0:1]Gildii[C:7:0:0] moæesz przejechaÜ mysz• na nazwami gildii "
"and see how many workers of each profession there are and whether a guild has been established. ","i zobaczyÜ ilu jest pracownik¢w poszczeg¢lnych profesji i czy Gildia zostaàa dla nich juæ ustanowiona. "
"As the guild grows in power they may demand a [C:1:0:1]Guildhall[C:7:0:0] of greater value.  This can be increased by ","Kiedy gildia zacznie rosn•Ü w sià©, b©dzie domagaÜ si© [C:1:0:1]Gildii[C:7:0:0] o wi©kszej wartoòci.  Moæe byÜ ona zwi©kszona przez "
"decorating the hall and building [C:6:0:0]Furniture[C:7:0:0] like [C:6:0:0]Statues[C:7:0:0].","dekorowanie budynku i stawianie [C:6:0:0]Mebli[C:7:0:0] takich jak [C:6:0:0]Figury[C:7:0:0]."
"Before you can create a military, you must appoint a [C:5:0:0]Militia Commander[C:7:0:0] ","Zanim b©dziesz m¢gà stworzyÜ wojsko, musisz wskazaÜ [C:5:0:0]Dow¢dc© Wojsk[C:7:0:0] "
"from the [C:5:0:1]Nobles and administrators[C:7:0:0] menu. ","w menu [C:5:0:1]Szlachta i Administratorzy[C:7:0:0]. "
"Then from the [C:5:0:1]Squad[C:7:0:0] menu you can assign your first squad, led by the [C:5:0:0]Commander[C:7:0:0].  First you must ","Nast©pnie z poziomu menu [C:5:0:1]Oddziaàu[C:7:0:0] moæesz przypisaÜ sw¢j pierwszy oddziaà, prowadzony przez [C:5:0:0]Dow¢dc©[C:7:0:0]. Najpierw musisz "
"assign the uniform.  A new uniform can be assigned later. ","przypisaÜ mundur.  Nowy mundur moæe byÜ przypisany p¢´niej. "
"The squad can be customized and you ","Oddziaà moæe byÜ dostosowywany i moæesz "
"can select the leader from the buttons at the top of the squad screen. ","wybraÜ lidera za pomoc• przycisk¢w u g¢ry ekranu oddziaàu. "
"The most important buttons ","Najwaæniejsze przyciski "
"are the checkmark to select the squad to give orders and the [C:5:0:1]Position[C:7:0:0] button to add more soldiers to the squad. ","to znacznik wyboru, aby wybraÜ oddziaà do wydawania rozkaz¢w, oraz przycisk  [C:5:0:1]Pozycja[C:7:0:0] do dodawania wi©kszej iloòci æoànierzy do oddziaàu. "
"You can give individual orders to the soldiers by selecting them with the checkmark from the [C:5:0:1]Position[C:7:0:0] menu ","Moæesz dawaÜ indywidualne rozkazy æoànierzom, wybieraj•c ich znaczniki w menu [C:5:0:1]Pozycja[C:7:0:0] "
"or the whole squad from the [C:5:0:1]Squad[C:7:0:0] menu. ","albo caàemu oddziaàowi za pomoc• menu [C:5:0:1]Oddziaà[C:7:0:0]. "
"The orders can be found at the bottom of the [C:5:0:1]Squad[C:7:0:0] menu when somebody is selected.  You can make a [C:3:0:1]Kill[C:7:0:0] order and confirm it. ","Rozkazy znajduj• si© na dole menu [C:5:0:1]Oddziaà[C:7:0:0] kiedy ktos jest wybrany. Moæesz wydaÜ rozkaz [C:3:0:1]Zabij[C:7:0:0] i potwierdziÜ go. "
"You can make a [C:3:0:1]Station[C:7:0:0] order to have your squad stand in that position.  You can create a [C:3:0:1]Patrol Route[C:7:0:0] ","Moæesz wydaÜ rozkaz [C:3:0:1]St¢j w miejscu[C:7:0:0] aby tw¢j oddziaà staà w tej pozycji. Moæesz stworzyÜ [C:3:0:1]Tras© Patrolu[C:7:0:0] "
"and assign your squads to it.  The [C:3:0:1]Defend Burrow[C:7:0:0] order gives you a list of [C:1:0:0]Burrows[C:7:0:0] (created by pressing ","i przypisaÜ twoje oddziaày do niej. Rozkaz [C:3:0:1]Bro‰ Nory[C:7:0:0] da ci list© [C:1:0:0]Nor[C:7:0:0] (tworzon• przez przyciòni©cie "
"the [C:5:0:1]Burrow[C:7:0:0] menu) for your squad to defend.  The [C:3:0:1]Training[C:7:0:0] order allows your soldiers to train, but you must ","menu [C:5:0:1]Nory[C:7:0:0]), kt¢re tw¢j oddziaà ma broniÜ.  Rozkaz [C:3:0:1]èwicz[C:7:0:0] pozwala twoim æoànierzom trenowaÜ, ale najpierw  "
"first assign a [C:3:0:0]Barracks[C:7:0:0] created from the [C:5:0:1]Zones[C:7:0:0] menu.","musisz przypisaÜ [C:3:0:0]Koszary[C:7:0:0] tworzone z menu [C:5:0:1]Strefy[C:7:0:0]."
"The [C:5:0:1]Equipment[C:7:0:0] menu allows you to customize the uniforms of the selected squads. ","Menu [C:5:0:1]Ekwipunek[C:7:0:0] pozwala ci dostosowaÜ wyposaæenie wybranych oddziaà¢w. "
"You can assign new uniforms to your squads or add a new one to customize it and add it to the uniform list. ","Moæesz przypisaÜ nowe umundurowania do swoich oddziaà¢w albo dodaÜ zupeànie nowe umundurowania, dostosowaÜ je i dodaÜ do listy umundurowania. "
"You can also click on details to customize each individual soldier.","Moæesz takæe wejòÜ w szczeg¢ày aby dostosowaÜ kaædego pojedynczego æoànierza."
"The [C:5:0:1]Schedule menu[C:7:0:0] is a powerful tool to give automatic orders to the selected squad. "," [C:5:0:1]Menu plan¢w[C:7:0:0] jest pot©ænym narz©dziem pozwalaj•cym dawaÜ automatyczne rozkazy wybranym oddziaàom. "
"Routines are individual orders given to a squad or individual members of a squad.  From here you ","Procedury to indywidualne rozkazy wydawane oddziaàowi lub pojedynczym jego czàonkom. Z tego miejsca "
"can assign and edit the routines your soldiers will follow. ","moæesz przypisywaÜ i edytowaÜ procedury, kt¢re twoi æoànierze b©d• stosowaÜ. "
"You can also give your squads a monthly schedule.  The routines are aligned along the top of ","Moæesz takæe daÜ twojemu oddziaàowi miesi©czny harmonogram. Procedury s• wyr¢wnywane wzdàuæ g¢rnej "
"the grid and the months of the year are shown down the left side.  To assign different orders ","cz©òci siatki, a miesi•ce roku s• pokazane wzdàuæ lewej. Aby przypisaÜ r¢æne rozkazy "
"for each month, line up with your chosen routine, go down the column, and press edit on the ","dla kaædego miesi•ca, wybierz lini© z wybran• procedur•, zejd´ w d¢à kolumny i naciònij edytuj na "
"orders lining up with the month.  You can also copy an order from any cell.  Clicking on the ","rozkazach w odpowiedniej linii miesi©cy. Moæesz takæe skopiowaÜ rozkaz z dowolnej kom¢rki. Klikaj•c na "
"column itself will assign the routine to the selected squad.","caà• kolumn© przypiszesz procedur© do wybranego oddziaàu."
"The regular mining command digs a tunnel into the side of a mountain or deep underground. ","Regularne zespoày g¢rnicze kopi• tunele w zboczach g¢r lub gà©boko pod ziemi•. "
"This leaves a ""ceiling"" above and ""floor"" below the empty space you have mined. ","Zostawia to ""sufity"" powyæej i ""podàog©"" poniæej pustej przestrzeni, kt¢r• wykopaàeò. "
"A ramp is a special square that can be traversed to the level above. There must be space above a ramp ","Rampa to specjalny kwadrat, po kt¢rym moæna wejòÜ na wyæszy poziom. Aby moæna byào korzystaÜ z rampy, "
"and an adjacent wall with an open floor above for the ramp to be usable.","musi byÜ wolna przestrze‰ nad ramp• i wolna podàoga na òcianie obok (u celu). "
"Digging a ramp into a wall on the same level will create a connection to the higher level and remove the ceiling. ","Wykopanie rampy w òcianie na tym samym poziomie stworzy poà•czenie na wyæszy poziom i usunie sufit. "
"Once a ramp is present, you can start using the regular mining command on the higher level.","Od momentu powstania rampy, moæesz zacz•Ü wydawaÜ normalne polecenia g¢rnicze na poziomie powyæej. "
"Digging a channel will mine out a floor or wall at the current level and dig out a ramp at the level ","Wykopanie kanaàu usunie podàog© lub òcian©  na obecnym poziomie i utworzy ramp© na poziomie "
"below.  If there's no solid ground below the square being channeled, channeling will destroy the floor ","poniæej. Jeòli poniæej pola, na kt¢rym kopany jest kanaà, nie ma solidnego gruntu, proces ten zniszczy podàog© "
"and create a hole instead.","i zamiast tego stworzy dziur©. "
"To easily see which ramps go up or down, click the [C:5:0:1]Ramp Vision[C:7:0:0] button by the minimap.","Aby àatwo zobaczyÜ, kt¢ra rampa prowadzi na g¢r© i na d¢à, kliknij przycisk [C:5:0:1]Widok ramp[C:7:0:0] koào minimapy."
"As your dwarves live and work in your fortress they will generate [C:6:0:1]Refuse[C:7:0:0]. ","Twoje krasnoludy, æyj•c i pracuj•c w twojej fortecy, b©d• generowaày [C:6:0:1]Odpadki[C:7:0:0]. "
