"more presumptious","更加自以为是"
"the Powers","权力机构"
"is incredibly muscular and very thin","肌肉发达且非常瘦弱"
"Open the objects menu.","打开对象菜单. "
"the Temple","神庙"
"State minor feeling of pride","状态轻微的自豪感"
"commonly winks as a form of greeting","通常眨眼表示问候"
"crushed an insurrection in ","粉碎了起义 "
"I'm concentrating on something.","我专注于某些事情. "
"Through ","虽然 "
"stone ","石料 "
"is slow","是慢的"
"becomes completely helpless in stressful situations","在压力大的情况下会变得完全无能为力"
"abducting somebody","绑架某人"
"being unable to be extravagant for so long","不能长时间穷奢极侈"
"gave in to fear of death","屈服于死亡的恐惧"
" the breath."," 呼吸. "
"the former apprenticeship of","以前的学徒制"
"Construct building","构建建筑"
"Display Furniture","展示家具"
"--- Logging Plant ","--- 记录植物 "
"Doors/hatches","门/盖板"
"  Allies surrounding "," 周围的盟友 "
"another","另一个"
"repeating in each stanza","每一节都在重复"
"not a half hour ago","不到半小时前"
"Suggest talking to ","建议与 "
"Change tab or highlight selection","更改选项卡或突出显示所选内容"
"less lustful","不那么好色"
"Text mode is not supported for now","文本模式现在还不受支持"
"Second","第二"
"the volcano","火山"
"Dioptras","望筒"
"I was far away.","我离得太远了. "
"the Underground","地下"
"alarm","报警"
"slightly protruding","略带突出的"
"rough gem graphics","粗糙的宝石图形"
"You last spoke ","你上次发言 "
"Promise of Position","职位承诺"
"Autosave the game after embark","启程后自动保存"
"depravity","腐败"
":pipes:pipes",":管:管"
"Sluggish","呆滞"
"(Adventure) Awaken","(冒险)唤醒"
"Hold to hope when all else is lost.","当一切都失去了时,请抱有希望. "
" guildhall"," 行会"
"both","双"
"Enterprise","事业"
"the Caverns","洞穴"
"Checking directory structure...","检查目录结构......"
"Add new burrow","新建警戒区"
"Popup: The world","弹窗:世界"
"Wall","墙"
"What will you say about the incident?","你会怎么说这件事?"
"been found dead.","被发现死了. "
"Spread rumor of the occupation of ","散布占领 "
"I'm confused.  Did you want something?","我很困惑.  你想要什么吗?"
" suspended the construction of "," 暂停建设 "
"No Artifact/","无伪影/"
"There are no named objects here.","这里没有任何被命名的物品. "
"Cunning","狡猾"
"completely swollen","完全肿了"
" for "," 对于 "
" are plagued by bandits.  The gang"," 受到土匪的困扰.  帮派"
"owner","所有者"
"the comparison of the anatomy of creatures","比较生物的解剖学"
"folded sheet protector","折叠保护膜"
"If you want to offer your condolences, ","如果你想表示哀悼, "
"prevented from leaving","防止离开"
"State feelings of aversion","陈述厌恶感"
"War buddy","战友"
"terrific","了不起"
"Farming/Related","耕种/相关"
"Skirmishing","散兵"
"mathematics:geometry:existence of incommensurable ratios","数学:几何:无理数"
"Minecart rollers can vary in length.","矿车滚轴可长可短. "
"You were","你之前是"
"mathematics:geometry:area enclosed by line and parabola","数学:几何:由直线和抛物线围成的区域"
"They suspected the involvement of ","他们怀疑参与了 "
"build a fire","生火"
"is utterly fearless when confronted with danger, to the point of lacking common sense","在面临危险时无所畏惧,实际上缺乏基本常识"
"being near to a conflict","接近冲突"
"Left click on an alert for recentering options, and right click to dismiss an alert.","左键单击以打开警报,右键单击以关闭警报"
" STORKIS "," 斯托吉斯 "
"southeast","东南"
"[C:3:0:1]Cleaned","[C:3:0:1]已清洗"
"Unknown bar graphics material: ","未知的条锭贴图材质: "
"Unit lists: Sort by job","单元列表:按作业排序"
"Personal freedom must be tempered by other considerations.","必须通过其他考虑来缓和个人自由. "
"boiling green glass","沸腾的绿色玻璃"
"The world generator is having trouble placing forests.  ","世界生成器在放置森林时遇到了麻烦.  "
"Reputation:","声誉:"
"Standing orders","常务委员会"
"Gwargh!","哇!"
"Such a relief!","这样的解脱!"
"the Cause of Twilight","暮光的产生"
"Pillar","支柱"
"is muscular and extremely thin","身材瘦小精干"
"Cloth (Silk)","布(丝绸)"
"Quit without saving","退出且不保存"
"Not ambitious","安于现状"
"unglazed ","釉 "
"breaking away","离开了"
" was seen being passed to a thief!"," 被看到被传给了小偷!"
"Although my own insignificant beliefs lie elsewhere,","虽然我自己的微不足道的信念在别处,"
"very low","非常低"
"Jeweler","宝石匠"
"Values power","重视权利"
"Shot and killed","射杀了"
"alliteration","典故"
"Dirt road","泥土道路"
"Being traded","被交易的"
"Forbid your death items during sieges","围攻期间禁止我方尸体上的遗物"
"doesn't really value independence one way or another","并不很重视独立性"
" empty "," 空的 "
"Forbid other non-hunted dead","禁止其他非猎物的尸体"
"rumored intruder","传说中的入侵者"
" partner"," 伙伴"
"defeated","打败"
"exec crucified","执行死刑"
"The vomit falls away into the underworld.","呕吐物掉进了黑社会. "
"Seems a pleasant enough ","看起来很愉快 "
"legendary flatterer","惑言之魅"
"Beekeeper","养蜂人"
"[C:7:0:0]Vision somewhat impaired","[C:7:0:0]视力有些受损"
"This is so humiliating.","这太令人羞辱了. "
"Ignorance","无知"
"Saving interactions...","保存互动......"
"Strangle ","掐死 "
"You gain possession of the ","你拥有了 "
"[C:3:0:1].Slight numbness","[C:3:0:1].轻微麻痹"
"dining halls.","餐厅. "
"twenty thousand","二万"
"Assign a station order.  The soldiers will stand near the point selected and engage any hostile creatures that come near.","指派一个站位命令.  士兵们将站在选定的点附近,与任何靠近的敌对生物交战. "
"diagnostician","诊断医师"
"exceptionally prepared ","特别准备 "
"Thread (silk)","细线(丝绸)"
"Site government","地区政府"
" into the "," 进入 "
"are","是"
"Be with family","与家人在一起"
"surveying by triangulation","通过三角测量法进行测量"
"is dour as a rule","通常很阴沉"
"Underworld spire","地下世界的尖塔"
"the Ocean","海洋"
"Fortification carving blueprint","垛口雕刻蓝图"
" training methods."," 训练方法. "
"Retracted ","缩回 "
"Population: ~10","人口:~10"
" fairly"," 相当"
"the construction and use of the blast furnace","高炉的建造和使用"
" pairs"," 对"
"Don't travel alone at night, or the bogeyman will get you.","不要在晚上独自旅行,否则怪物会帮助你. "
"acquired favorite animal as pet","把最喜欢的动物变成了自己宠物"
"Tired","累"
"The throne room","王座厅"
"be broad","广泛的"
" (Rusty)"," (生锈)"
"the Grassland","草原"
"knocked out by cavein","被穴居人击倒"
"star catalogues","明星目录"
"Dismiss minor existential crisis","忽视轻微的生存危机"
"What will you say?","你会怎么说?"
"Conquer and occupy","征服并占领"
"A force of evil has arisen in the world.","世界上出现了邪恶势力. "
" bed"," 床"
"neither favored","既不受欢迎"
"the reliability of sources","来源的可靠性"
"Keybindings","按键绑定"
"famous treasure hunter","名声显赫的寻宝者"
"State that it is for the best","声明这是最好的"
" appears to acquiesce."," 似乎是默许的. "
"the tower","塔楼"
"Legendary","传奇的"
" ranged weapons"," 远程武器"
"Organize Combat Training","组织战斗训练"
"Preliminary cleaning...","初步清洁......"
"Rely on willpower to see you through.","依靠意志力来帮助您度过难关. "
"Your unfortunate citizens are taken to the [C:1:0:1]Hospital[C:7:0:0] when injured.  There they will rest and given water until ","你们不幸的公民在受伤后会被送到[C:1:0:1]医院[C:7:0:0].  他们将在那里休息并得到水,直到 "
" speaking with "," 说话 "
"Make sure your parameters and raw objects have adequate vegetation.  ","确保你的参数和原始对象有足够的植被.  "
"bone doctor","骨科医生"
"Thrower","投掷手"
"Vomit","呕吐"
"has a strong tendency toward privacy","有强烈的隐私意识"
" values romance"," 价值观的浪漫"
"Grab Ammunition","抓住弹药"
"Imported food market","进口食品市场"
"Generating items...","生成项目......"
"No squads available","没有可用分队"
"is broad and muscular","身材宽大,肌肉发达"
"was not afraid and refused","不害怕并拒绝了"
"is broad and fat","又宽又胖"
"the Ice","冰块"
"You can do this from the Nobles and Administrators menu.","你可以从贵族和管理员菜单中进行这项工作. "
"Gastroliths seem to have correct format but could not find proper BPs in any caste, so not added","胃石似乎有正确的形式,但在任何种姓中都找不到适当的身体部件,所以没有添加. "
"That wasn't amazing.","那并不奇怪. "
"This work order is checking its conditions for activation.","该工作订单正检查其激活条件. "
"Normal strike","正常打击"
"World name","世界名称"
"Your trap was robbed of the ","你的陷阱被抢了 "
" religion of "," 宗教 "
"astronomy:phases of the moon","天文学:月相"
"the Equinoxes","春秋分"
"the Theft","盗窃"
"Scales are constructed from ","秤由以下构成 "
"in order to be rescued","为了获救"
"Polish stones","抛光石头"
"Made","炮制的"
", position ",",位置 "
" own"," 自己"
"willing to trade","有交易意愿"
"surgeons","外科 医生"
"the infiltration of ","渗透自 "
" pitch.  "," 沥青.  "
"The rhyme","韵律"
"Grand Mausoleum","大陵"
"Save to timeline folder: ","保存到时间线目录: "
"The vomit burns away in the lava.","呕吐物在熔岩中燃烧. "
"I was cried on by an unhappy worshipper.","我被一个不高兴的崇拜者弄哭了. "
"Others were too nervous to make the journey to this miserable fortress.","其他人太紧张焦虑,无法前往这座悲惨的堡垒. "
"Terrified of you","害怕你"
"I'm ","我 "
"Be playful today.","今天就玩得开心. "
" in a rigid posture"," 处于僵硬的姿势"
"[C:4:0:1]Autumn","[C:4:0:1]秋"
"High stamina","高耐力"
"There are several kinds of [C:3:0:0]Zones[C:7:0:0], which you can see in the panel on the left.","有几种不同类型的[C:3:0:0]区域[C:7:0:0],你可以在左边的面板中找到他们. "
" Upward Track (NE)"," 上行轨道(东北方向)"
"less confident","不太自信"
"Maximum Natural Cave Size","最大天然洞穴大小"
"'s abandonment","的放弃"
" member"," 会员"
"This is ","这是 "
" is thinking about something"," 正在思考一些事情"
" by a "," 由一个 "
"State feelings of great hope","陈述充满希望的情绪"
"You are too kind.","你太好了. "
"lust","欲望"
"Subterranean Water","地下水"
"to refuse consolation","拒绝安慰"
"What?","什么?"
"value ","价值 "
" was most often depicted as a "," 最常被描述为 "
"Popup: Stocks","弹窗:库存"
"medicine:theory:prognosis","医学:理论:预后"
"was killed by a vehicle","被一辆车撞死了"
"is weak with little fat and just incredibly thin overall","身体虚弱,没有什么脂肪,整体上非常瘦. "
