"more presumptious","бўльш зухвалий"
"Economy trade trigger 1","Тригер торгўвлў економўки 1"
" unrelated"," непов'язаний"
"engineering:astronomy:dioptra","engineering:astronomy:дўоптра"
"The weather has cleared.","Погода покращуїться."
"Hunger","Голод"
"my animal training partner","мўй пўдопўчний у дресируваннў"
"Seek Vermin for Hunting","Полюї на шкўдникўв"
"Weave thread into cloth","Ткати нитки у тканину"
"Load stone trap","Заряджання кам'яно∙ пастки"
"Work animals","Робочў тварини"
" confused"," збентежений"
"Goodbye.","До побачення."
"to continue.","щоб продовжити."
"Sleep","Сон"
" jumps"," вўдпригуї"
"Counting house","Розрахункова палата"
"the ghost of my mother","привид мої∙ матерў"
"tapir","тапўр"
"Exporting!","Експортування!"
" into a family heirloom"," на сўмейну релўквўю"
"To change the camera's elevation, [C:2:0:1]roll the mouse wheel[C:7:0:0].","Щоб змўнити висоту камери, [C:2:0:1]прокрутўть колўщатко мишў[C:7:0:0]."
"burning out","догораї"
"believes ","вважаї "
"Generating entities...","Створення цивўлўзацўй..."
"Side #","Сторона #"
"Just make sure you have the correct [C:6:0:0]Furniture[C:7:0:0] placed in the rooms with [C:6:0:0]Doors[C:7:0:0] or vertical entries separating each room before you begin.","Просто переконайтеся, що перед початком ви розмўстили правильнў [C:6:0:0]Меблў[C:7:0:0] у кўмнатах з [C:6:0:0]Дверима[C:7:0:0] або вертикальними входами, що роздўляють кожну кўмнату."
" has been lost!"," був втрачений!"
" is bothered by this since "," турбуїться через це з огляду на те, що "
"alternate history","альтернативна ўсторўя"
"animal dissector","рўзник тварин"
"Level","Рўвень"
" are indistinguishable!"," нерозрўзненнў!"
"noted preacher","вўдомий проповўдник"
"weaponsmith's shop sign","вивўска зброярсько∙ майстернў"
"engineering:machine:theory of lever","engineering:machine:теорўя важеля"
"wives","дружини"
"level-headed","розсудливий"
"Stop deleting","Зупинити видалення"
"Offloading units... ","Вивантаження юнўтўв... "
"I cannot stand the world any longer...","Я бўльше не можу терпўти цей свўт..."
"Finalizing reactions...","Завершення реакцўй..."
"Respected for loyalty","Шанований за вўдданўсть"
"No official position","Немаї офўцўйно∙ посади"
"Atlas","Атлас"
"real","справжнўй"
" locks"," блокуї"
"often feels envious of others","часто заздрить ўншим"
"hedgehog","∙жак"
", setting index to zero",", скидання ўндексу до нуля"
"Weapon","Зброя"
"[C:1:0:0]Burrows[C:7:0:0] can be suspended and unsuspended freely.  When a [C:1:0:0]Burrow[C:7:0:0] is suspended, assigned citizens will ignore it.","[C:1:0:0]Нори[C:7:0:0] можна вўльно призупиняти та вўдновлювати. Коли [C:1:0:0]Нора[C:7:0:0] призупинена, призначенў громадяни ўгноруватимуть ∙∙."
