"its","øia"
", but nothing can change the facts.",", sed nenio povas þanøi la faktojn."
" are worthy of respect"," indas respekton"
" worthy of respect"," inda je respekton"
", but at what price?",", sed je kiu prezo?"
" are not fit to rule."," ne taýgas por regi."
" part of the problem."," parto de la problemo."
" an enemy fighter."," malamika batalisto."
" attacked "," atakis "
" killed "," mortigis "
" protected knowledge from being irrevocably lost"," protekti konon kontraý esti eterne foriøita"
", yet that means little now",", tamen tio nun signifas preskaý nenion"
" brought back "," reportis "
"an untitled work","netitolita verko"
" sought out and returned our treasures"," elseræis kaj reportis niajn trezorojn"
", though it doesn't much matter",", tamen øi ne tre gravas"
" a thieving scoundrel."," þtelanta kanajlo."
" stole "," þtelis "
" a protector of the defenseless"," protektanto de la sendefendaj"
", but that hardly matters now.",", sed tio nun apenaý gravas"
" challenged "," defiis "
" justly slew "," juste mortigis "
" on my side"," sur mia flanko"
", but what does that mean now?",", sed kion signifas tio nun?"
" brought battle to "," alportis batalon al "
" boldly slew "," aýdace mortigis "
"one of the most loyal soldiers to serve anybody at any time","unu el la plej lojalaj soldatoj por servi iun ajn en ajna momento"
"famous for your loyalty as a soldier","fama pro via lojaleco kiel soldato"
"such a loyal soldier","tiel lojala soldato"
"a very loyal soldier","tre lojala soldato"
".  What happened to bring us to this?",". Kio okazis, ke øi alportis nin al æi tio?"
" my neighbor."," mia najbaro."
"I don't know ","Mi ne konas "
"Society flourishes when law breakers are punished.","Socio floras kiam punitaj estas la rompintoj de leøoj."
"One should always respect the law.","Oni devas æiam respekti la leøon."
"No law can do justice to the complexity of life.","Neniu leøo povas fari justecon al la komplekseco de la vivo."
"I consider laws to be more of a suggestion than anything.","Mi opinias, ke la leøoj estas pli sugesto ol io alia."
"Rules are there to be bent, but they shouldn't be flouted thoughtlessly.","Reguloj ekzistas por esti fleksitaj, sed ili ne devus esti malobservitaj senpense."
"Some laws are just, while others were made to be broken.","Kelkaj leøoj estas justaj, dum aliaj estis faritaj por esti rompitaj."
"One must always be loyal to their cause and the ones they serve.","Oni devas æiam esti lojala al sia kaýzo kaj tiuj, kiujn oni servas."
"How can society function without loyalty?  We must be able to have faith in each other.","Kiel povas la socio funkcii sen lojaleco? Ni devas povi fidi uno al la alia."
"You must never forget true loyalty.  Repay it in full.","Vi devas neniam forgesi veran lojalecon. Repagu øin plene."
"Never lose yourself in loyalty.  You know what is best for yourself.","Neniam forgesu vin en lojaleco. Vi scias kio estas la plej bona por vi mem."
"The whole idea of loyalty is pointless.  Acting purely out of loyalty implies acting against one's own best interest.","La tuta ideo pri lojaleco estas sensenca. Agi pure el lojaleco implicas agi kontraý la propra plej bona intereso."
"Don't serve anyone blindly.  You'll only get into trouble.","Ne servu al iu ajn blinde. Vi sole renkontos malfacila¼ojn."
"Consider your loyalties carefully, adhere to them while they last, and abandon them when you must.","Konsideri viajn lojalecojn seroze, aliøu al ili dum ili daýrus, kaj forlasu ilin kiam vi devus."
"You should only maintain loyalty so long as something more important is not at stake.","Vi devus konservi lojalecon nur tiel longe, kiel io pli grava ne estas en ludo."
"Loyalty has value, but you should always keep the broader picture in mind.","Lojaleco havas valoron, sed oni æiam devus teni la plej ampleksan bildon en la menso."
"Family is the true bond that keeps society thriving.","Familio estas la vera ligilo, kiu prosperigas socion."
"You can always rely on your family when everything else falls away.","Vi æiam povas fidi al via familio kiam æio alia forfalas."
"How great it is to be surrounded by family!","Kiel bonege estas, de familio esti æirkaýata!"
"I hold the relationships I've forged myself over family ties I had no part in creating.","Mi pli estimas la rilatojn, kiujn mi forøis, ol familiajn ligojn, kiujn mi ne partoprenis en iliaj kreadoj."
"We cannot choose our families, but we can choose to avoid them.","Ni ne povas elekti niajn familiojn, sed ni povas elekti eviti ilin."
"I was always irritated by family.","Mi æiam estis æagrenita de familio."
"You can't always rely on your family, but it's good to know somebody is there.","Vi ne æiam povas fidi al via familio, sed bone estas scii, ke iu estas tie."
"Family is complicated and those ties be both a boon and a curse.  Sometimes both at once!","Familio estas kompleksa kaj tiuj ligoj povas esti beno aý malbeno. Iam ambaý samtempe!"
"When all other bonds wither, friendship will remain.","Kiam æiuj aliaj ligoj forvelkos, amikeco estos eltenita."
"Surround yourself with friends you can trust and you will be unstoppable.","Æirkauiøu vin de amikoj vi povas fidi, kaj vi estos nehaltigebla."
"There's nothing like a good friend.","Nenio similas al bona amiko."
"Building friendships is a waste.  There is no bond that can withstand distance or a change of circumstance.","Konstrui amikecojn estas malþparado. Ne ekzistas ligo, kiu povas elteni distancon aý þanøon de cirkonstancoj."
"Friends are future enemies.  I don't see the difference.  People do as they must.","Amikoj estos malamikoj. Mi ne vidas la diferencon. Homoj faras kiel ili devas."
"Be careful of your so-called friends.","Atentu viajn supozatajn amikojn."
"Friends are nice, but you should keep your priorities straight.","Amikoj estas agrablaj, sed vi devus firmigi viajn prioritatojn."
"You can be powerful or powerless.  The choice is yours, until somebody makes it for you.","Vi povas esti potenca aý senpotenca. La elekto estas via, øis iu faras øin por vi."
"Power over others is the only true measure of worth.","Potenco super aliaj estas la vera mezuro de valoro."
"Strive for power.","Strebi por potenco."
"It is abhorrent to seek power over other people.","Estas abomeninda celi potecon super aliaj homoj."
"There's nothing admirable about bullying others.","Estas nenio admirinda pri æikani aliajn."
"The struggle for power must be balanced by other considerations.","La lukto por potenco devas esti ekvilibra je aliaj konsideroj."
"Everything is so much easier when you just tell the truth.","Æio estas multe pli facila kiam vi nur diras la veron."
"There is nothing so important that it is worth telling a lie.","Ne ekzistas nenio tiel grava, ke øi indas diri mensogon."
"You should always tell the truth.","Vi æiam devas diri la veron."
"Don't think about the truth, whatever that is.  Just say what needs to be said.","Ne pensu pri la vero, kio ajn tio estas. Nur diri tion, kio bezonas diri."
"Is there ever a time when honesty by itself overrides other considerations?  Say what is right, not what is true.","Æu iam estas foje, kiam honesto memstare superregas aliajn konsiderojn? Diru kion estus øusta, ne kion estus vera."
"There is no value in telling the truth thoughtlessly.  Consider the circumstances and say what is best.","Estas senvalora diri la veron senpense. Pripensu la cirkonstancojn kaj diru kion estus la plej bona."
"Sometimes the blunt truth just does more damage.  Think about how the situation will unfold before you speak.","Kelkfoje la malakra vero nur faras pli damaøojn. Pensu pri kiel la situacio disvolvos antaý ol vi paroli."
"It is best not to complicate your life with lies, sure, but the truth also has its problems.","Estas plej bona ne kompliki vian vivon per mensogojn, kompreneble, sed la vero ankaý havas øiajn problemojn."
"There are times when it is alright not to tell the whole truth.","Estas fojoj, kiam estas bone ne diri la tutan veron."
"I do admire a clever trap.","Mi ja admiras spritan ruzon."
"There's no value in all of this scheming I see these days.","Neniu valoro estas en æiu æi intrigo, kiujn mi vidas æi tiuj tagoj."
"Be shrewd, but do not lose yourself in guile.","Estu sagaca, sed ne perdu vin en ruzecon."
"I can appreciate the right turn of phrase.","Mi aprezas la taýgan parolfiguron."
"I do admire a clever turn of phrase.","Mi jam admiras lertan parolfiguron."
"They are so full of all those big words.","Ili estas tro plena de tiuj æi grandaj vortoj."
"Who are these mealy-mouthed cowards trying to impress?","Kiujn tiuj æirkaýparolemaj malkuraøuloj provas imponi?"
"There is a time for artful speech, and a time for blunt speech as well.","Estas tempo por arta parolo, kaj ankaý tempo por malakra parolo."
"Always deal fairly.","Æiam agu juste."
"Don't be afraid to do anything to get ahead in this world.","Ne timu fari ion ajn por progresi en æi tiu mondo."
"Life isn't fair, and sometimes you have to do what you have to do, but working toward a balance isn't a bad thing.","Vivo ne estas justa, sed iafoje oni devas fari tion, kion oni devas fari, sed labori al ekvilibro ne estas malbona afero."
"Please maintain your dignity.","Bonvolu konservi vian dignon."
"What do you care how I speak or how I live?","Kial gravas al vi miaj manieroj de paroli kaj vivi?"
"I can see a place for maintaining decorum, but it's exhausting to live that way.","Mi vidas gravecon de konservi decon, sed estas lacega vivi tie."
"It's admirable when the traditions are upheld.","Estas mirinda, kiam la tradicioj estas subtenitaj."
"Some things should never change.","Iuj aferoj devas neniam þanøi."
"We need to move beyond traditions.","Ni bezonas iri preter tradicioj."
"We need to find a better way than those of before.","Ni bezonas trovi pli bonajn manierojn, ol tiuj antaýe."
"Some traditions are worth keeping, but we should consider their overall value.","Iuj tradicioj estas konservindaj. sed ni devu konsideri ilian totalan valoron."
"The creative impulse is so valuable.","La kreema impulso estas tre valora."
"Art is life.","Belarto estas vivo."
"Art?  More like wasted opportunity.","Belarto? Tio estas malþparitaj þancoj."
"What's so special about art?","Kio estas tiel speciala?"
"Art is complicated.  I know what I like, but some I can do without.","Arto estas kompleksa. Mi scias, kion mi þatas, sed sen iujn mi povas elteni."
"We should all work together.","Ni æiuj devus labori kune."
"It's better to work alone when possible, I think.  Cooperation breeds weakness.","Estas pli bona labori sole kiam eble, mi pensas. Kunlaboro naskas malforton."
"You should think carefully before embarking on a joint enterprise, though there is some value in working together.","Vi devus pripensi zorge antaý komenci kunan entreprenon, tamen kunlabori estas iom valora."
"I treasure my freedom.","Mi valoras mian liberon."
"Nobody is free, and it is pointless to act as if you are.","Neniu estas libera, kaj estas sencele agi kiel oni estus tia."
"Personal freedom must be tempered by other considerations.","Persona libero devas esti moderigita de aliaj konsideroj."
"One should not complain or betray any feeling.","Oni ne devu plendi aý perfidi iun ajn senton."
"Do not hide yourself behind an unfeeling mask.","Ne kaþu vin mem malantaý nesenta masko."
"There are times when it is best to keep your feelings to yourself, but I wouldn't want to force it.","Iufoje estas pli bone gardu viajn sentojn por vi mem, sed mi ne volu trudi tiun."
"The quest for knowledge never ends.","La seræado por scio neniam finas."
"All of that so-called knowledge doesn't mean a thing.","Æio tiel nomata scio signifas nenion."
"Knowledge can be useful, but it can also be pointless or even dangerous.","Scio povas esti utila, sed øi ankaý sencela aý eæ danøera."
"It is important to discover yourself.","Gravas malkovri sin mem."
"Why would I waste time thinking about myself?","Kial mi malþparus tempon pensante pri min mem?"
"Some time spent in reflection is admirable, but you must not forget to live your life.","Iom da tempo pasigita en pripensado estas admirinda, sed ne forgesu travivi vian vivon."
"I think self-control is key.  Master yourself.","Mi redas, ke la sinregado estas la þlosilo. Estru vin mem."
"Why deny yourself your heart's desire?","Kial rifuzi vin de la deziroj de viaj koro?"
"People should be able to control themselves, but it's fine to follow impulses that aren't too harmful.","Homoj eblu regu sin mem, sed estas bone sekvi impulsojn ne tro malutila."
"The mind thinks best when the world is at rest.","La menso pensas pli bone kiam la mondo estas en ripozo."
"Give me the bustle and noise over all that quiet!","Doni al mi tumulton kaj buron anstataý æion æi trankvilon!"
"I like a balance of tranquility and commotion myself.","Mi mem þatas ekvilibron inter trankvilo kaj tumulto."
"We should all be as one.  Why all the struggling?","Ni æiuj devu esti kiel unu. Kial æiom da lukto?"
"We grow through debate and struggle, even chaos and discord.","Ni kreskas per debato kaj lukto, eæ ¶aoso kaj diskordo."
"Some discord is a healthy part of society, but we must also try to live together.","Iom da malkonkordo estas sana parto el socio, sed ni ankaý devu provi vivi kune."
"It's great when we all get a chance to be merry together.","Estas bonega, kiam ni æiuj havas þancon por gaji kune."
"Be merry!","Gaju!"
"Merriment is worthless.","Gajeco senvaloras."
"Bah!  I hope you aren't celebrating something.","Ba! Mi esperas, ke vi ne festas ion."
"I can take or leave merrymaking myself, but I don't begrudge people their enjoyment.","Mi mem povas partopreni aý foriri de gajeco, sed mi ne æagrenas homojn por siajn øuo."
"An artisan, their materials and the tools to shape them!","Metiisto, siaj materialoj kaj la iloj por formi ilin!"
"Masterwork?  Why should I care?","Majstroverko? Kial mi zorgu?"
"A tool should get the job done, but one shouldn't obsess over the details.","Ilo devas plenumi la taskon, sed oni ne devu obsedi pri la detaloj."
"A skilled warrior is a beautiful sight to behold.","Lerta militisto estas bela vidinda¼o por teni."
"Why this obsession with weapons and battle?  I don't understand some people.","Kial obsedi pri armiloj kaj bataloj? Mi ne komprenas iujn homojn."
"The world isn't always safe.  I can see the value in martial training, the beauty even, but it shouldn't be exalted.","La mondo ne æiam estas sekura. Mi povas vidi la valoron de milita trejnado, eæ øian belecon, sed oni ne devas ekzaltiøi øin."
"The amount of practice that goes into mastering a skill is so impressive.","La kvanto de lertiøado uzata por majstri kapablon estas tiel majesta."
"We should all be so lucky as to truly master a skill.","Ni æiuj devus esti tiel bonsorta por vere majstri kapablon."
"All of that practice is misspent effort.","Æio el tiu lertiøado estas misuzita penado."
"Everyone should broaden their horizons.  Any work beyond learning the basics is just a waste.","Æiuj devu plilongigi siajn horizontojn. Æiuj ajn laboro preter lernado de la bazoj estas nur malþparado."
"There's more to life than becoming great at just one thing, but being good at several isn't bad!","Estas pli al la vivo ol majstri nur unun aferon, sed lerti multajn ne estas malbona!"
"I think people should hone their skills, but it's possible to take it too far and lose sight of the breadth of life.","Mi kredas, ke homoj devu perfektigi siajn kapablojn, sed eblas troi kaj perdi vidon de la amplekso de vivo."
"The best way to get what you want out of life is to work for it.","La plej bona maniero por akiri kion vi volas el la vivo estas labori por tio."
"Hard work is the true sign of character.","Pena laboro estas la vera signo de karaktero."
