"Seek Patient for Diagnosis","Шукаць пацыента для дыягностыкi"
"and an adjacent wall with an open floor above for the ramp to be usable.","i сумежная сцяна з адкрытай падлогай уверсе, каб пандус можна было выкарыстоўваць."
"Sing","Пець"
"Bars: other materials","Злiткi: iншыя матэрыялы"
"Converting to smoothing blueprint","Пераўтварэнне ў план згладжвання"
"Select another rectangle","Выберыце iншы прастакутнiк"
"Spring","весны"
"a market","рынак"
"Construction initiated.","Будаўнiцтва пачата."
"trust of","давер"
"a belief in the value of cooperation","вера ў каштоўнасць супрацоўнiцтва"
"Very hungry","Вельмi згаладаўся"
"Automatic","Аўтаматычна"
"Metal ores","Руды металу"
" to utilize a hospital."," каб выкарыстоўваць шпiталь."
"Economy trade trigger 1","Эканомiка ад гандлю Трыгер 1"
"Dormitory","Iнтэрнат"
"my","мой"
"Work animals","Прац. жывёлы"
" confused"," збянтэжаным"
"to continue.","каб працягнуць."
"was too vain to accept death and agreed","быў занадта фанабэрлiвым, каб прыняць смерць, i пагадзiўся"
"fellow believer ","аднаверац "
"broken promise","парушаны зарок"
"believes ","лiчыць "
"Side #","Бок #"
"Just make sure you have the correct [C:6:0:0]Furniture[C:7:0:0] placed in the rooms with [C:6:0:0]Doors[C:7:0:0] or vertical entries separating each room before you begin.","Перш чым пачаць, пераканайцеся, што [C:6:0:0]Мэбля[C:7:0:0] размешчана ў пакоях з [C:6:0:0]Дзвярмi[C:7:0:0] або вертыкальнымi спускамi, якiя падзяляюць кожны пакой."
"alternate history","альтэрнатыўная гiсторыя"
" are indistinguishable!"," неадрозны!"
"Offloading units... ","Выгрузка юнiтаў... "
"Finalizing reactions...","Завяршэнне рэакцый..."
"Respected for loyalty","Паважаны за вернасць"
"No official position","Няма афiцыйнай пасады"
"Atlas","Атлас"
" made an agreement with "," склаў пагадненне з "
"Weapon","Зброя"
"[C:1:0:0]Burrows[C:7:0:0] can be suspended and unsuspended freely.  When a [C:1:0:0]Burrow[C:7:0:0] is suspended, assigned citizens will ignore it.","[C:1:0:0]Сховiшчы[C:7:0:0] можна свабодна актываваць альбо прыпынiць. Калi [C:1:0:0]Сховiшча[C:7:0:0] прыпынена, прызначаныя грамадзяне будуць iгнараваць яго."
"civilization","цывiлiзацыя"
"Restarts if completed, checked seasonally","Перазапуск пасля завяршэння, праверка штосезон"
"wheelbarrows","тачкi"
"Grudge","Непрыяцель"
" has been appointed to the position of "," праз прызначэнне атрымлiвае пасаду "
"speech","гаворка"
"Plant Cloth","Раслiнная тканiна"
"ecstatic with the trading","у захапленнi ад гандлю"
"empathy","суперажыванне"
"Obsession","Апантанасць"
"Selected tiles are very low priority.","Вельмi нiзкi прыярытэт для выбраных клетак."
"Poor memory","Дрэнная памяць"
"Empty cages","Пустыя клеткi"
"a conspiracy to slow labor","сабатаж працы"
"You'll be an accomplished player at this point.","Да гэтага моманту вы станеце дасведчаным гульцом."
"No fog","Без туману"
"Enemy","Вораг"
"Library","Бiблiятэка"
" and become a citizen of "," i стаць грамадзянiнам "
"grumpy","сварлiвы"
"Clothes","Вопратка"
"Designate this zone as the top of a pond.  Citizens will bring buckets of water if the pond below isn't filled.","Пазначыць гэтую зону як верхнюю частку сажалкi. Жыхары прынясуць вёдры з вадой, калi сажалка ўнiзе не запоўненая."
"fearing of death","баючыся смерцi"
"Scholar","Даследчык"
"* No output","* Няма выхаду"
"Dig only ore and gems selected.","Капаць толькi выбраную руду i каштоўныя камянi."
"Water does not trigger","Вада не пераключае"
" is "," "
" seem to know how to play the "," здаецца, ведае як гуляць "
"Preparing screen...","Падрыхтоўка экрана..."
"No location assignments","Няма прызначаных месцаў"
"Exertion","Напружання"
"Change to standard dig mode.","Перайсцi у стандартны рэжым капання."
"Workers will try to limit their tasks to the confines of the [C:1:0:0]Burrow[C:7:0:0], but they will sometimes form paths which pass through other areas.","Рабочыя паспрабуюць абмежаваць свае задачы межамi [C:1:0:0]Сховiшча[C:7:0:0], але часам яны будуць утвараць шляхi, якiя праходзяць праз iншыя вобласцi."
"Last interlude: ","Апошняя iнтэрлюдыя: "
"is artfully suffused with what would otherwise be childish and immature material","па - майстэрску напоўнены тым, што выглядае дзiцячым матэрыялам"
"victory","перамога"
"A manager is required to coordinate","Для кiравання патрабуецца кiраўнiк"
"Attempted to appeal","Паспрабаваў падаць апеляцыю"
"For instance, you can create an order to [C:3:0:1]Make Wooden Bins[C:7:0:0] if you are out of empty ones, to [C:3:0:1]Brew Drinks[C:7:0:0] if you are running low, or to [C:3:0:1]Make Five Statues[C:7:0:0] every month.","Напрыклад, вы можаце замовiць [C:3:0:1]Стварыць драўляныя бочкi[C:7:0:0], калi ў вас скончылiся пустыя, [C:3:0:1]Варыць напоi[C:7:0:0] калi напояў вобмаль, або [C:3:0:1]Зрабiць пяць статуй[C:7:0:0] кожны месяц."
" and has gone without a drink for far, far too long"," i абыходзiўся без напою вельмi, занадта доўга"
"greatly respected for heroic acts","вельмi паважаны за гераiчныя ўчынкi"
"Other Objects:","Iншае:"
"Absent alcohol and in warmer weather, you can designate a [C:3:0:0]Water Source[C:7:0:0] from the [C:5:0:1]Zones[C:7:0:0] menu at a river or pond, ","Пры адсутнасцi алкаголю i ў больш цёплае надвор'е вы можаце пазначыць [C:3:0:0]Крынiцу вады[C:7:0:0] з меню [C:5:0:1]Зоны[C:7:0:0] на рэчцы або сажалцы, "
"Initial window width (if windowed)","Пачатковая шырыня акна (У акне)"
"Values truth","Цэнiць праўду"
" tell"," апавядае"
"[Laughs uproariously]  You had me ","[Рагоча] Вы мяне падлавiлi. "
"Click a tile to place the ","Нацiснiце на клетку, каб размясцiць "
"Crawling around crazed!","Поўзае як вар'ят!"
"Glass furnace","Шкловарная печ"
" plotted to frame "," здзейснiў змову каб падставiць "
"Bone meal","Касцяная мука"
"Open stockpile mode","Адкрыйце ""Склады"""
"Feet","Ступнi"
"Attempted Embezzlement","Спроба растраты"
"Music...","Музыка..."
" in the "," ва "
"Running around crazed!","Бегае шалёны!"
