"more presumptious","m†s presuntuoso"
"construction of a grotesque pillar from","construcci¢n de un pilar grotesco desde"
"Tides and the Sun","Mareas y el Sol"
"lumber limits","limite de le§"
"You have finished working on ","Has terminado tu trabajo de "
"a very poor setting","un entorno muy pobre"
" Prisoner"," Prisionero"
" raising "," levantando "
"State feelings, thrilled","Expresar sentimientos, emocionado"
"This work order is waiting for its next scheduled check.","Esta orden de trabajo est† esperando su pr¢xima revisi¢n programada."
"you will need to reclaim the fort to play","Tendr†s que reclamar el fuerte antes de jugar"
"spraying","rociar"
"Small Cut Gems","Peque§as Gemas Cortadas"
"the injured part","la parte lesionada"
"takes no pleasure in ","No obtiene placer en "
"fell into a deep chasm","cay¢ en un abismo profundo"
"Activity ongoing","Actividad en curso"
" started a fight with "," comenz¢ una lucha con "
" misses "," pierde "
" and some others"," y algunos otros"
"Unknown Age","Edad desconocida"
"Say something about the local area","Decir algo sobre el †rea local"
" catch"," captura"
"Disdains martial prowess","Desprecia la destreza marcial"
"fellow artist ","compa§ero artista "
"recuperation","recuperaci¢n"
" routed "," derrot¢ "
"Don't show again","No volver a mostrar"
"a dance competition","una competici¢n de baile"
"A Grand Guildhall for ","Una Gran Sede del gremio para "
"Selected tiles are high-medium priority.","Los cuadrados seleccionados son prioridad media-alta."
"Tropical Freshwater Swamp","Pantano Tropical de Agua Dulce"
"Journey","Viaje"
"You can right click to close [C:5:0:1]Woodcutting[C:7:0:0] mode.  Right clicking closes most menus.","Puede hacer clic derecho para cerrar el modo [C:5:0:1]Tala de madera[C:7:0:0]. Al hacer clic con el bot¢n derecho, se cierra la mayor°a de los men£s."
"This is gaiety.","Esto es alegr°a."
" contemplating"," contemplando"
"  I'm giving up on this hopeless venture."," Estoy renunciando a esta aventura sin esperanza."
" into the area around"," en el area de alrededor"
"State that this is no good","Manifestar que no est† bien"
"Why me?","®Por quÇ yo?"
"Invasion difficulty (first)","Dificultad de invasi¢n (primero)"
"[C:6:0:1]Drowsy","[C:6:0:1]Somnoliento"
"does not trust others","no conf°a en los dem†s"
"castle","castillo"
"is at a hurried pace","est† a un ritmo acelerado"
"is very concise","es muy conciso"
"Negativity","Negatividad"
"Rider","Conductor"
"Stone Blocks","Bloques de piedra"
"Moted brawler","Luchador moteado"
"after doing something exciting","despuÇs de hacer algo emocionante"
"Beware of ill-conceived plans.","Cuidado con los planes mal concebidos."
"exec drowned","ejecutivo ahogado"
"We formed ","Formamos "
"the Surgical Needle","la Aguja Quir£rgica"
"attempted murder","tentativa de asesinato"
" saves"," guarda"
"Historical figure conceptions","Concepci¢n de figura hist¢rica"
"six","seis"
"It will not be fair.","No ser† justo."
"Fail the struggle against great anguish","Fracasar en la lucha contra una gran angustia"
"Ability to throw objects.","Capacidad de lanzar objetos."
"Appealed","Apelado"
"Found the body.","Encontrado el cuerpo"
"trusted","confiado"
"I feel such empathy!","≠Siento tanta empat°a!"
" of the living and must be killed."," de la vida y debe ser matado."
"Start new game in existing world","Nuevo juego en mundo existente"
"Potter","Alfarero"
"Distrusts you","Desconf°a de ti"
"State feelings of great self-pity","Expresar sentimientos de una gran autocompasi¢n"
"No water","Sin agua"
"a great kinesthetic sense","un gran sentido cinestÇsico"
"forest","bosque"
"I have hope.","Tengo esperanza. "
" shoot"," tiro"
"a good bedroom","un buen dormitorio"
"Military Tactics","T†cticas Militares"
" assumed the identity "," asumi¢ la identidad "
"make","hacer"
"The rules of the form are applied by poets to produce individual poems which can be recited.  ","Los reglas de la figura son aplicadas por poetas para producir poemas individuales que pueden ser recitados. "
"is very short and skinny","es muy corto y flaco"
"Rejected","Rechazado"
" gains possession of the "," gana la posesi¢n de "
"Training","Entrenando"
"Not vain","No en vano"
"the Market","el mercado"
", looks to your thriving economy for its future prosperity.",", mira hacia su pr¢spera econom°a para su prosperidad futura."
"Acknowledge lack of dejection","Reconocer la ausencia de rechazo"
"Attribute range less than ","Rango de atributo menor que "
"No target","Sin objetivo"
"too proud to give in to death","Demasiado orgulloso para ceder a la muerte"
"very large-irised","Iris muy grande"
"ably led","aptamente dirigido"
"If you climb atop certain large branches, you can walk on them freely.  ","Si trepas a ciertas ramas grandes, podr†s caminar libremente sobre ellas. "
" Crafts"," Artesan°as"
"The strings are suspended from the frame down to the body and","Las cuerdas est†n suspendidas desde el marco hasta el cuerpo y"
"can attract the existing monarch of the civilization.","puede atraer al monarca existente de la civilizaci¢n."
"long patrol","larga patrulla"
"a shop","una tienda"
"Papermaker","Fabricante de Papel"
"save will be lost.","se perder† el guardado."
"less angry","menos enojado"
"Let's trade.","Comerciemos."
"They worship at ","Adoran en "
"exhaustion","agotamiento"
"A true Mountainhome must have a true throne! ","≠Un verdadero Hogar de la Monta§a debe tener un verdadero trono! "
"Modest Dining Room","Comedor Modesto"
"The tenderness I feel!","≠La ternuda que siento!"
"the weary shoulders of the people of ","Los cansados hombros del pueblo de "
" of the two themes"," de los dos temas"
"Push ","Empujar "
" unknown"," desconocido"
"pursues matters with a single-minded focus, often overlooking other matters","persigue asuntos con un enfoque £nico, a menudo pasando por alto otros asuntos"
"If you are a member of a hearth (a hearthperson), you can speak to your leader to receive an order.  Typically this will involve protecting the locals ","Si eres miembro de un hogar (un hearthperson), puedes hablar con tu l°der para recibir una orden. Normalmente, se trata de proteger a los lugare§os "
"Snatcher!  Protect the children!","Ladron! Protejan los ni§os"
"Metal Crafting Pit","Fosa de Artesan°as de Metal"
"Allow Necromancer Summons","Permitir invocaciones de nigromantes"
"slightly wide-set","ligeramente amplio"
"Set a fire","Encender un fuego"
"war leader","L°der de guerra"
"become citizen","hacerse ciudadano"
" special position"," posici¢n especial"
"These chords are named ","Estos acordes est†n nombrados "
"famous storyteller","narrador famoso"
"room with a [C:6:0:0]Door[C:7:0:0] and use the [C:5:0:1]Zones[C:7:0:0] menu to assign an official [C:3:0:0]Bedroom[C:7:0:0] for each resident.","habitaci¢n con una [C:6:0:0]Puerta[C:7:0:0] y use el men£ [C:5:0:1]Zonas[C:7:0:0] para asignar un[C:3:0:0]Dormitorio[C:7:0:0] para cada residente."
"the corrupt ","el corrupto "
"began dreaming of mastering a skill","empez¢ a so§ar con dominar una habilidad"
"shockingly fragile","sorprendentemente fr†gil"
" speaks"," habla"
"This option indicates that the location is only open to members.","Esta opci¢n indica que la ubicaci¢n solo est† abierta para miembros."
"a legendary meal","una comida legendaria"
"well-known brawler","luchador reconocido"
"Saving flow guides...","Guardando gu°as de flujo..."
"feeling empty","sentirse vac°o"
"Persuasion","Persuasi¢n"
"Page secondary selector up","Selector secundario de p†gina hacia arriba"
"Beast/","Bestia/"
"vicious","vicioso"
"State feelings of great frustration","Expresar sentimientos de gran frustraci¢n"
"third eldest son","tercer hijo"
"I talked to my mother.","HablÇ a mi madre."
"Note that you can obtain aboveground [C:6:0:1]Seeds[C:7:0:0] from trade or by eating gathered [C:6:0:1]Plants[C:7:0:0], but aboveground farming exposes your [C:2:0:0]Planters[C:7:0:0] to dangers and the elements.","Tenga en cuenta que puede obtener [C:6:0:1]Semillas[C:7:0:0] mediante el comercio o comiendo [C:6:0:1]Plantas[C:7:0:0],  pero la agricultura sobre el suelo exterior expone a tus [C:2:0:0]Jardineros[C:7:0:0] a los peligros y los elementos."
"What will you say about how you are feeling?","®QuÇ dir†s sobre esta sensaci¢n?"
" to entertain the citizenry"," para entretener a la ciudadan°a"
"taiga","bosque boreal"
"parried","rechazado"
"sired","engendrado"
"Great","Gran"
"is very muscular with a short body","es muy musculoso con un cuerpo peque§o"
"Failed to find vanilla items header.","No se pudo encontrar el encabezado de objetos vainilla."
"cooked ","cocinado "
"What can you tell me about yourself?","®QuÇ puedes decirme sobre ti?"
"Leatherworking Shop","Tienda de Peleteria"
"naturalist:observation:anatomy","naturalista:observaci¢n:anatom°a"
"Surrender","Rendici¢n"
"Slowly","Lentamente"
"] and ","] y "
"the Resettlement","el Restablecimiento"
"I really need to get away from this.","Realmente necesito alejarme de esto."
"You wish to make an offering to our leader?  ","®Deseas hacer una ofrenda a nuestro l°der? "
"I'd rather not say.","Prefiero no decir."
"I'll need to see something impressive before I consider it.","Necesitar°a ver algo impresionante antes de considerarlo."
"Basic options","Opciones b†sicas"
"Temperate Freshwater Marsh","Marisma Templada de Agua Dulce"
"Recenter on the creature (at the time of the announcement.)","Centrar en la criatura (al momento del anuncio)"
"but you can delete it while loading.","pero puede eliminarla mientras se carga."
"will ","Voluntad/ser† "
"[C:7:0:0]No health problems","[C:7:0:0]Sin problemas de salud"
"the razing of ","el arrasamiento de "
"People can be so angry, and I just don't understand it.","La gente puede estar tan enojada, y no lo puedo entender."
"The vegetation is too wet.","La vegetaci¢n est† demasiado h£meda."
"Acknowledge lack of caring","Reconocer la ausencia de interÇs"
"starts to mutter under ","comienza a murmurar bajo "
"Grab Uniform","Agarrar uniforme"
"was left out in the air","fue dejado en el aire"
"block","bloque"
"medicine:theory:convalescence","medicina:teoria:convalescencia"
"[C:1:0:1]Related Entities[C:7:0:0][B]","[C:1:0:1]Entidades Relacionadas[C:7:0:1][B]"
" pick up "," recoger "
"crime of murder","crimen de asesinato"
"an infamous killer","un asesino infame"
"All visitors welcome","Todos los visitantes son bienvenidos"
"stone... rock","piedra... roca"
"coin","moneda"
"State feelings of great flee","Expresar sentimientos de gran huida"
"places cooperation as one of the highest ideals","coloca la cooperaci¢n como uno de los ideales m†s nobles"
"Use only dyed cloth","Usa solo tela te§ida"
"diseases","enfermedades"
"Can volcanism be placed at the value 100 enough times to provide space for each of your volcanos?  ","Puede el vulcanismo colocarse en el valor 100 suficientes veces para proporcionar espacio para cada uno de sus volcanes? "
"known villain","villano conocido"
"slush","fango"
"Move to Site","Mover a"
"introduction","introducci¢n"
"Mechanism sounds","Sonidos del mecanismo"
"Invader death aversion (seven deaths)","Aversi¢n de invasores a la muerte (siete muertes)"
"spirited","enÇrgico"
"With a subterranean soil floor exposed, you can place an underground [C:6:0:0]Farmplot[C:7:0:0]. ","Con un piso de suelo subterr†neo expuesto, puede colocar una  [C:6:0:0]Tierra labrada[C:7:0:0]. "
"What will you say about the insurrection?","®QuÇ dir†s de la insurrecci¢n?"
"the Muscles","los M£sculos"
"I am honored to be in your presence.  ","Es un honor estar en tu presencia. "
"People","Gente"
"State feelings of great euphoria","Expresar sentimientos de gran euforia"
"met in room","se top¢ en la habitaci¢n"
"Track (NSW)","V°a (NSO)"
"initial discovery","descubrimiento inicial"
"the shrine to ","el santuario a "
"crafts","artesan°as"
"quite susceptible to disease","muy susceptible a la enfermedad"
"  This spirit has not been properly memorialized or buried."," Este esp°ritu no ha sido debidamente conmemorado o enterrado."
