"more presumptious","бўльш зухвалий"
" propelled away by the force of the blow!"," вўдкинутий силою удару!"
"Siege Engineering","Ўнженер облогових машин"
" splits in gore!"," розриваїться на кривавў шматки!"
" pump"," насос"
"How embarrassing!","Як непристойно!"
"Designating restricted traffic area","Позначення зони обмеженого руху"
"If you have found magma you can build a [C:6:0:0]Magma Smelter[C:7:0:0] directly over it, otherwise you need [C:6:0:1]Fuel[C:7:0:0]. ","Якщо ви знайшли магму, ви можете побудувати [C:6:0:0]Магмову плавильню[C:7:0:0] безпосередньо над нею, ўнакше вам знадобиться [C:6:0:1]Паливо[C:7:0:0]. "
"Job removed from unpowered building","Завдання видалено з будўвлў без живлення"
"Weapon Trap","Пастка зў збро∙"
"Strategems","Стратегеми"
"You can recenter on certain announcements.  Right click to close.","Ви можете перевизначити певнў сповўщення. Клацнўть правою кнопкою мишў, щоб закрити."
"wrestler","борець"
"No item to pick up","Немаї предмета, щоб пўдўбрати"
" Barrel"," Дўжка"
"died in a cage","помер у клўтцў"
"Praise listener for completing the task","Похвалити слухача за виконання завдання"
"requested that","зажадав, щоб"
"I laugh in the face of death!","Я смўюся в обличчя смертў!"
"Farming (Fields)","Фермерство (Поля)"
" tribute"," данину"
"cultural history","ўсторўя культури"
"Emotional obsessive","Емоцўйний нав'язливець"
"Increase the priority of the task in this workshop.","Пўдняти прўоритет завдання в цўй майстернў."
"It's my mess.","Це моя помилка."
"massacring ","рўзанина "
"Cultural history","Ўсторўя культури"
"Envious","Заздрўсний"
"stars","зорў"
"vengeful","мстивий"
"If you are carrying too much, you'll see an encumbrance indicator above the inventory button.  Encumbrance can cause you to move very slowly and should be avoided if possible.  ","Якщо ви несете занадто багато, ви побачите ўндикатор обтяження над кнопкою ўнвентарю. Обтяження може змусити вас рухатися дуже повўльно, ў його слўд уникати, якщо можливо. "
"Infamous brigand","Сумнозвўсний розбўйник"
" is visiting."," вўдвўдуї."
"died in a trap","загинув у пастцў"
"bed","лўжко"
"Removing stairs/ramp/constructions","Видалення сходўв/пандусу/конструкцўй"
"History length","Тривалўсть ўсторў∙"
"Walking spreads spatter","Ходьба поширюї бризки"
"[C:3:0:0]Zones[C:7:0:0] are areas you designate where your citizens will work, socialize, rest, or perform specific duties. ","[C:3:0:0]Зони[C:7:0:0] - це областў, якў ви позначаїте, де вашў громадяни будуть працювати, спўлкуватися, вўдпочивати або виконувати певнў обов'язки. "
"The easiest way to move is to left click in the play area.  Your character will path to the target tile if possible.","Найпростўший спосўб перемўщатися - це лўвий клўк в ўгровўй областў. Ваш персонаж прокладе шлях до цўльово∙ клўтинки, якщо це можливо."
" get"," заплутуїться"
"[C:5:0:1].Butchered","[C:5:0:1].Забито"
"You could not find a partner.","Ви не знайшли партнера."
"Disengaged","Вимкнено"
"That sounds just like the ","Це звучить точно як "
"The guilt is almost unbearable!","Почуття провини майже нестерпне!"
