"more presumptious","bardziej arogancki"
"degrees of the quartertone octave scale","stopnie ÜwierÜtonowej skali oktawowej"
"Considers dancer","Uwaæa za tancerza"
"Converting to chopping blueprint","Konwertowanie na schemat òcinania"
"Horizontal Axle","Oò horyzontalna"
"Wrapped around ","Owini©ty wok¢à "
"Leave ","WyjechaÜ "
" my traveling companion."," m¢j towarzysz podr¢æy."
"underground living (20,50,30)","podziemne æycie (20,50,30)"
"governor","wàadca"
"preserved ","zachowany "
"I am so proud!","Jestem taki dumny!"
"was executed by drowning","zostaà stracony przez utopienie"
"It's for the best.","Tak b©dzie lepiej."
"GRASSLAND REJECTION","ODRZUCENIE UΩYTK‡W ZIELONYCH"
" get hungry. "," zgàodniaày. "
"Go into ","Wejd´ do "
"being unable to take it easy for so long","tak dàugo nie mog•c znale´Ü wytchnienia"
"I received water.","Otrzymaàem wod©."
"(no mat3)","(brak mat3)"
", urging love be shown to ",", wzywaj•c do okazywania miàoòci "
"They accept ","Akceptuj• "
"forcible creation","Przymusowe tworzenie"
"occupation","okupacja"
"lover ","kochanek "
"Here you can see every [C:6:0:1]Item[C:7:0:0] in the fortress. ","Tutaj moæesz zobaczyÜ kaædy [C:6:0:1]Przedmiot[C:7:0:0] w twierdzy. "
"CREATE WORLD NOW = ","STW‡RZ óWIAT TERAZ = "
"large-irised","o duæych t©cz¢wkach"
" alive"," æywy"
"the Anatomy of the Eye","Anatomia oka"
"starving","gà¢d"
"Victory was spread among ","Zwyci©stwo zostaào rozàoæone mi©dzy "
"the devouring of the bodies of sapient beings","poæerania ciaà rozumnych istot"
"Set Mood Building","Budowanie nastroju"
"My optimism is unshakeable!","M¢j optymizm jest niewzruszony!"
"When unpaused, a worker should now build the [C:6:0:0]Workshop[C:7:0:0].","Kiedy wznowisz gr©, pracownik powinien budowaÜ [C:6:0:0]Warsztat[C:7:0:0]."
"a tunnel","tunel"
"Blacksmithing Workshop","Ku´nia"
"This is a bundle of","Jest to pakiet"
"isn't very tall but makes up for it with muscle and fat","nie jest zbyt wysoki, ale nadrabia to mi©òniami i tàuszczem"
"specific weapon","konkretna bro‰"
"I feel such love!","Czuj© przejmuj•c• miàoòÜ!"
"ethics as applied to interpersonal conduct","etyka w zastosowaniu do zachowa‰ interpersonalnych"
"the construction and use of the straight-beam balance","Konstrukcja i zastosowanie wagi z belk• prost•"
"[C:VAR:MEETING:ACTOR][VAR:NATIVENAME:MEETING:ACTOR]: You continue to impress!  I have come empowered to elevate this land in the eyes of our realm.","[C:VAR:MEETING:ACTOR][VAR:NATIVENAME:MEETING:ACTOR]: Nie przestajesz imponowaÜ! Przybywam upowaæniony, by wyr¢æniÜ t© ziemi© w oczach naszego kr¢lestwa."
"ship.","statek."
"undisturbed ","niezakà¢cony "
"[C:7:0:1]Motor nerve damage","[C:7:0:1]Uszkodzenie nerwu ruchowego"
" and escaped"," i uciekà"
"cones","stoæki"
"Unnamed location","Nienazwana lokacja"
", struck down ","odrzucony "
"Trade Good Hauling","Przew¢z towar¢w handlowych"
"have large hanging lobes","ma wielkie zwisaj•ce pàaty"
" into a pit of spikes"," do doàu z kolcami"
"Diagnostician","Diagnosta"
" vaguely like the intended "," prawie tak jak zamierzono "
"State minor feeling of gratitude","Stan niewielkiej wdzi©cznoòci"
"very drowsy","bardzo senny"
" briefly"," pokr¢tce"
"Raze (openly attack and destroy site)","Zr¢wnaj z ziemi• (otwarcie zaatakuj i zniszcz)"
"Wrong justice state","Zày stan sprawiedliwoòci"
"clumsy","niezdarny"
"unburied at feature layer","niepochowany w warstwie fabularnej"
"horribly mutilated","potwornie okaleczony"
"Vampire migrant fraction (more = safer)","Uàamek migrant¢w wampir¢w (wi©cej = bezpieczniej)"
"Mouse-context scrollbar page down","Pasek przewijania z mysz• w d¢à"
"be very loud","byÜ bardzo gàoòno"
" melody pipe is used by the musician to select the pitch of the instrument.]"," rura melodyczna jest uæywana przez muzyka do wyboru wysokoòci d´wi©ku instrumentu]."
"cooperation","wsp¢àprac©"
"Bone carver's shop","Zakàad rze´biarski"
"has a tendency to go it alone, without considering the advice of others","ma tendencj© do dziaàania w pojedynk©, bez brania pod uwag© rad innych os¢b"
"Composition complete","Kompozycja zako‰czona"
"I will fight no more.","Nie b©d© wi©cej walczyÜ."
"Do this by selecting the building in [C:5:0:1]Workshops[C:7:0:0] -> [C:5:0:1]Farming[C:7:0:0] -> [C:5:0:1]Butcher[C:7:0:0]. ","Zr¢b to, wybieraj•c budowl© w [C:5:0:1]Warsztaty[C:7:0:0] -> [C:5:0:1]Rolnictwo[C:7:0:0] -> [C:5:0:1]Rze´nia[C:7:0:0]. "
"active.","aktywne."
"  Beware!  It it said that only ","  Strzeæcie si©!  Jest powiedziane, æe jedynie "
"departed to","odszedà do"
"is quite cruel","jest doòÜ okrutny"
"performer","wykonawca"
"TUNDRA REJECTION","ODRZUCENIE TUNDRY"
"agreed for love of","zgodzià si© z miàoòci do"
"medicine:method:hospital lab","medycyna:metoda:laboratorium szpitalne"
" burning "," spala "
"I don't feel sorry for myself.","Nie uæalam si© nad sob•."
"talks very loudly when ","m¢wi bardzo gàoòno, gdy "
"I slept on rocks.","Spaàem na kamieniach."
"a member","czàonek"
"Looks to be snowing outside.","Zdaje si©, æe na zewn•trz pada ònieg."
"spatter","odbryzg"
"the theory of light and color","teoria òwiatàa i koloru"
"Regular beast","Zwykàa bestia"
"is wiry","jest æylasty"
"This is common knowledge where you are from.","To jest powszechna wiedza tam, sk•d pochodzisz."
"  Enjoy the hunt!","  Miàego polowania!"
"[C:6:0:1]Slight pain","[C:6:0:1]Lekki b¢l"
"Night is falling.  You'd better stay indoors, or the bogeyman will get you.","Zapada noc.  Lepiej pozosta‰ w domu, albo upi¢r ci© doadnie."
"By ","Autor: "
"happening upon","dzieje si© na"
"vermin","szkodnik"
"I had a drink, but it had gone bad.","Piàem, lecz nie sko‰czyào si© to dobrze."
"bears an enormous amount of fat for one so tiny","ma ogromne iloòci sadàa jak na kogoò tak malutkiego"
"Gathering fruit and leaves","Zbieranie owoc¢w i liòci"
"an algorithm for computing a number which has given remainders when divided by several given primes","algorytm obliczania liczby, kt¢ra ma dane reszty przy dzieleniu przez kilka podanych liczb pierwszych"
" voided all agreements with "," uniewaænià wszystkie umowy z "
"Fill Service Order","Wypeànij zlecenie serwisowe"
"Observation","Obserwacja"
"Some people are so wrapped up in themselves.","Niekt¢rzy ludzie s• tak zapatrzeni w siebie."
"Your order delivered","Twoje zam¢wienie dostarczone"
"burned up in ","spalony w "
"Received signal ","Odebrany sygnaà "
"the construction and use of the padlock","budowa i zastosowanie kà¢dki"
"Carve ramp","Rampa rze´biarska"
"engineering:optics:glass lens","inæynieria:optyka:soczewki szklane"
"Automatically weave dyed thread","Automatycznie tkaj pofarbowane nici"
"This is a cause worthy of struggle.","To jest pow¢d do zawalczenia."
"finds moderation and self-control to be very important","uwaæa, æe umiar i samokontrola s• bardzo waæne"
"starved to death.","zagàodzony na òmierÜ."
"Traction bench","Wyci•g ortopedyczny"
"I'm a little angry.","Jestem troch© zày."
"Failed to find vanilla interactions header.","Nie znaleziono nagà¢wka interakcji waniliowych."
"the recovery of ","odzyskiwanie "
"been drained of blood","zostaà opr¢æniony z krwi"
"Impossible strike","Niemoæliwe uderzenie"
"Noted treasure hunter","Znany àowca skarb¢w"
" looks"," wygl•da"
"Population: ~1000","Populacja: ~1000"
"are now expert ","s• teraz ekspertami "
"Impaled on spikes","Nabity na kolce"
"It was raining on me.","Padaào na mnie."
"slept on smooth floor","spaà na gàadkiej podàodze"
"is extremely muscular and lardy and also very long","jest ekstremalnie umi©òniony, smukày i bardzo dàugi"
"good","dobrze"
" is crushed!"," jest zmiaædæona!"
" the words evocatively."," sàowa sugestywnie."
"quite often tells pointless stories when ","doòÜ cz©sto opowiada bezsensowne historie, gdy "
"Toggle whether the squad will store squad-level equipment here, such as ammunition.","Zaznacz, czy oddziaà b©dzie tu przechowywaà tu wyposaæenie poziomu oddziaàu, takie jak amunicja."
"began dreaming of attaining rank in society","zacz•à marzyÜ o osi•gni©ciu pozycji w spoàecze‰stwie"
"This object is heavily worn.  ","Ten przedmiot jest mocno zuæyty. "
"Forgive me, but","Wybacz mi, ale"
"A secretive poltergeist.","Tajemniczy zàoòliwy duch."
"mathematics:geometry:volume of pyramid","matematyka:geometria:obj©toòÜ ostrosàupa"
"have slightly large irises","ma doòÜ duæe t©cz¢wki"
"Nothing in building","Brak w budynku"
"This item is a semi-permanent part of the building, like an item on display.","Ten przedmiot jest cz©òciowo staà• cz©òci• budowli, tak jak przedmiot w gablocie."
" nonsensical words and sounds"," bezsensowne sàowa i d´wi©ki"
"Sleep Ground","Sen na Ziemi"
"Arena: Fluids, water","Arena: Pàyny, woda"
"Confirmation window for all embarks","Okno potwierdzenia dla kaædego wyjòcia"
" (not in squad)"," (poza skàadem)"
"Hunt for small creature","Polowanie na maàe stworzenia"
"You have disturbed the sleep of the dead!","Zakà¢ciàeò sen zmaràych!"
"Disdains law","Gardzi prawem"
"Delete element","Usu‰ element"
" high"," wysoki"
"Embark preparations were not completed.","Rozpocz©te przygotowania nie zostaày uko‰czone."
" Was Not Used"," Nie Zostaàa Uæyta"
"Clear weather","Dobra pogoda"
"Shallow Sand","Pàytki piasek"
"Why should I help?","Dlaczego miaàbym pom¢c?"
"pipe section","odcinek rury"
"tranquility","spok¢j"
"You have discovered an expansive cavern deep underground.","Odkryàeò rozlegà• jaskini© gà©boko pod ziemi•."
"Animal trap","Puàapka na zwierz©ta"
"has an extremely thin frame underlying a massive lardy edifice","ma ekstremalnie cienk• sylwetk© pod masywnym gmachem z sadàa"
"uses only artful words and phrases selected with care","uæywa tylko starannie dobranych sà¢w i zwrot¢w"
"No entity definitions available","Brak dost©pnych definicji podmiotu"
" History Seed: "," Ziarno historii: "
"'s Shop"," Warsztat"
"conspiracy to slow labor","spisek w celu spowolnienia pracy"
"putting a piece on display","wystawianie dzieàa na pokaz"
"the construction and use of the crystal lens","budowa i zastosowanie soczewki krysztaàowej"
"upper floors","wyæsze pi©tra "
"No food","Brak jedzenia"
" with fabricated evidence, but nothing came of it."," ze sfabrykowanymi dowodami, ale nic z tego nie wyszào."
"Sort units by skills.","Sortuj jednostki wg umiej©tnoòci."
"I discussed my problems with an acquaintance.","Przedyskutowaàem swoje problemy z moim znajomym."
"alienated","wyalienowany"
"an algorithm for calculating prime numbers","algorytm obliczania liczb pierwszych"
"to fill a role as a performer","aby wypeàniÜ rol© wykonawcy"
"exceptional","wyj•tkowy"
"Wind Direction","Kierunek wiatru"
"Tell me about the local ruler.","Opowiedz mi o lokalnym przyw¢dcy. "
"Custom tissue shape not found: ","Nie znaleziono wybranego ksztaàtu tkanki: "
"is weak, skinny and short","jest sàaby, chudy i niski"
"The voice is confined to the ","Gàos jest ograniczony do "
"Back to squads","Wr¢Ü do druæyn"
"commander"," dow¢dca"
"You might want to adjust the parameters governing drainage.  ","Warto dostosowaÜ parametry reguluj•ce drenaæ. "
" sentenced to "," skazany na "
"has a very high-pitched voice","ma bardzo wysoki gàos"
"feeling expectant","czuje oczekiwanie"
"Affiliated","Stowarzyszony"
"a pretty decent drink","caàkiem przyzwoity nap¢j"
"is incredibly tall and skinny","jest niewiarygodnie wysoki i chudy"
"occurred.","miaào miejsce."
"A High Priest for ","Arcykapàan dla "
"Value: ","WartoòÜ: "
"after being unable to acquire something","po braku moæliwoòci zdobycia czegoò"
"unnaturally ageless","nienaturalnie wiekowy"
"State that you don't know anything about it","Stwierdzenie, æe nic o tym nie wiesz"
"Seek Animal for Chain","Szukaj Zwierz©cia do Zakucia"
"I'm returning from my patrol.","Wracam z mojego patrolu."
"the Forest","las"
"Meager Dining Room","Maàa jadalnia"
"We don't offer any specific services here.","Nie oferujemy tutaj æadnych konkretnych usàug."
" beds"," à¢æka"
"  And beware.","  I uwaæaj."
"Move keyboard cursor up and left, fast","Szybkie przesuwanie kursora klawiatury w g¢r© i w lewo"
"loathe","brzydz© si©"
"large pots/food storage","duæe garnki/naczynia"
"the Razing","zr¢wnanie z ziemi•"
"tired of drink","zm©czony piciem"
"the Fortress","Twierdza"
"begins to talk in a hushed whisper when ","zaczyna m¢wiÜ cichym szeptem, gdy "
" (opens menu)"," (otwiera menu)"
"an unknown party","nieznana partia"
"I threw something.","Rzuciàem czymò."
"This is particularly important for schemes where the witnesses might not have the full story.","Jest to szczeg¢lnie waæne w przypadku spraw, w kt¢rych òwiadkowie mog• nie znaÜ peànej historii."
"murderous ghost","morderczy duch"
" starts to talk slowly"," zaczyna m¢wiÜ powoli"
"withering away","wi©dnie"
"I will serve.","B©d© sàuæyÜ."
"Attribute range greater than ","Zakres atrybut¢w wi©kszy niæ "
"Adventurer","Poszukiwacz przyg¢d"
"State minor feeling of awe","Niewielkie uczucie podziwu"
"been killed by a flying object.","zostaà zabity przez obiekt lataj•cy."
"learned scholar flag","flaga uczonego"
"You can make a [C:3:0:1]Station[C:7:0:0] order to have your squad stand in that position.  You can create a [C:3:0:1]Patrol Route[C:7:0:0] ","Moæesz wydaÜ rozkaz [C:3:0:1]St¢j w miejscu[C:7:0:0] aby tw¢j oddziaà staà w tej pozycji. Moæesz stworzyÜ [C:3:0:1]Tras© Patrolu[C:7:0:0] "
"the stanza","zwrotka"
" was a time when "," byà czas, gdy "
"treasures independence","skarby niepodlegàoòci"
" dance is"," taniec jest"
"slightly flattened","troch© spàaszczony"
"Combat Training","Trening walki"
"doesn't particularly value loyalty","nie ceni lojalnoòci"
"Loading crimes...","ùadowanie przest©pstw..."
"The world generator couldn't find any civilization definitions.  ","Generator òwiata nie m¢gà znale´Ü æadnych definicji cywilizacji. "
"My good friend.","M¢j dobry przyjaciel."
"will only do assigned tasks","b©dzie wykonywaà tylko powierzone zadania"
"It is scorching hot!","Jest pal•cy skwar!"
"I know it will come to pass!","Wiem, æe to si© stanie!"
"Forgotten beast sensitivity (less = sooner)","WraæliwoòÜ zapomnianych bestii (mniejsza = wczeòniej)"
" revealed nothing during interrogation."," nie ujawnià niczego podczas przesàuchania."
"philosophy:specialized:politics diplomacy","filozofia:specjalistyczna:polityka dyplomacja"
"hawk","jastrz•b"
"finished good ","dobry wynik "
"being mutilated","jest okaleczony"
"a poor ability to manage or understand social relationships","sàaba zdolnoòÜ do zarz•dzania lub rozumienia relacji spoàecznych"
"I talked to somebody important to our traditions.","Rozmawiaàem z kimò waænym dla naszej tradycji."
"unnaturally contorted","nienaturalnie skr©cone"
"Classification","Klasyfikacja"
"I worship ","Wyznaj© "
"Prepared by ","Przygotowane przez "
"slimy ","oòlizgày "
"Generating reactions...","Generowanie reakcji..."
"Conditions","Warunki"
" considers altruism foolish"," uwaæa altruizm za gàupot©"
"are capable of killing unprepared opponents.  ","s• w stanie zabiÜ nieprzygotowanych przeciwnik¢w. "
"is very long and incredibly skinny","jest bardzo dàugi i niewiarygodnie chudy"
"Conversation","Rozmowa"
"somebody unknown","ktoò nieznany"
"Machinery","Maszyneria"
"attaining sufficient skill with ","osi•gni©cie wystarczaj•cych umiej©tnoòci "
