"more presumptious","mer‚szebb"
" breath out when "," kilehelni, amikor "
"Hold left button to draw.","Tartsd nyomva a bal eg‚rgombot a rajzol shoz."
"bad conversion","rossz  tv lt s"
" (out-lived "," (t£l‚lte "
"[C:3:0:1]Related Historical Figures[C:7:0:0][B]","[C:3:0:1]Kapcsol¢d¢ t”rt‚nelmi szem‚lyis‚gek[C:7:0:0][B]"
"State minor feeling of sympathy","Enyhe egytt‚rz‚s kifejez‚se"
"imprisoned","b”rt”nbe z rva"
"It's great when we all get a chance to be merry together.","Nagyszerû, amikor mindannyian egytt nnepelhetnk."
"my acquaintance","egy ismer‹s”m"
"each ","mindegyik "
"Polite","Udvarias"
"I don't care one way or another.","Engem egy ltal n nem ‚rdekel."
"or raise the [C:6:0:0]Bridge[C:7:0:0], locking you inside. ","vagy felemeli a [C:6:0:0]Bridge[C:7:0:0] hidat, ‚s bez r t‚ged odabent. "
" to be "," hogy "
"quadruplets","n‚gyes ikrek"
" takes"," vesz"
"peasant","paraszt"
"She","Š"
"is scrawny and extremely short","sov ny ‚s rendk¡vl alacsony"
"You cannot see the sky clearly from here, but the available sunlight indicates the dawn","Innen nem l tszik tiszt n az ‚g, de a beszûr‹d‹ napf‚ny arra utal, hogy hajnalodik"
"Assign new display items","éj megjelen¡t‚si elemek hozz rendel‚se"
"An artisan, their materials and the tools to shape them!","Egy k‚zmûves, az  ltala haszn lt alapanyagok ‚s az azok megmunk l s hoz szks‚ges eszk”z”k!"
"Chant","K nt l"
"Worships ","Istentiszteletek "
" breaks"," sznetek"
"Provide Position","Poz¡ci¢ megad sa"
"unfettered","korl tlan"
": end of file unexpectedly reached while trying to read essential data.",": a f jl v‚ge v ratlanul el‚rte az olvas s k”zben, mik”zben a rendszer a szks‚ges adatokat pr¢b lta beolvasni."
"plucked.  ","let‚pett.  "
"This singer","Ez az ‚nekes"
"the Primordial","az Šsi"
"the use of lamination","a lamin l s alkalmaz sa"
"punished by beating","ver‚ssel bntett‚k"
"Workshop","Mûhely"
"Minimum Number of Mid-Volcanism Squares","A k”zepes vulkanizmus£ n‚gyzetek minim lis sz ma"
"Small","Kis"
"There's nothing like a great romance!","Nincs is ann l jobb, mint egy nagyszerû szerelmi t”rt‚net!"
"You may enjoy these times of peace, but remain vigilant.","lvezhetik ezeket a b‚k‚s id‹ket, de maradjanak ‚berek."
" numb!"," zsibbad s!"
"2 lost after receiving wounds","2-en meghaltak a s‚rl‚seik k”vetkezt‚ben"
"the alliance between ","a sz”vets‚g a "
"the Summit","a cs£cstal lkoz¢"
"Finish setting plant gathering orders.","Fejezze be a n”v‚nygyûjt‚si megrendel‚sek be ll¡t s t."
"Noted thief","H¡res tolvaj"
" has even sent some troublemakers to harass people right here in town."," s‹t, m‚g n‚h ny bajkever‹t is idekld”tt, hogy itt a v rosban zaklass k az embereket."
"Mock the repeated failure of the interrogator","G£nyol¢dj a kihallgat¢ ism‚telt kudarcain"
"Wrath has not risen within me.","Nem ‚bredt bennem harag."
"Counting House","K”nyvel‹iroda"
"Sorting interactions...","K”lcs”nhat sok rendez‚se..."
"Travel","Utaz s"
"the catacombs","a katakomb k"
"any material","b rmilyen anyag"
"Exhilarated","Felvillanyozva"
"bin","kuk ba"
"Part of ","R‚sz‚t k‚pezi "
"legendary storyteller","legend s mesemond¢"
"Hard work is the true sign of character.","A kem‚ny munka a jellem igazi jele."
"the construction and use of the camshaft","a vez‚rmûtengely gy rt sa ‚s haszn lata"
" and agreed"," ‚s egyet‚rtett"
"more vulnerable","sebezhet‹bb"
"State minor feeling of resentment","Enyhe neheztel‚s"
"Throughout, when possible, performers are to ","A mûsor eg‚sz‚ben, amennyiben lehets‚ges, a fell‚p‹knek "
"Change to blueprint-only mode.","V lt s kiz r¢lagosan alaprajz zemm¢dra."
"Guild:","C‚h:"
"Keep practicing!","Gyakorolj tov bb!"
"Assume an appropriate identity first if you'd like to pretend.","Ha el akarsz j tszani valamit, el‹sz”r v lassz magadnak egy megfelel‹ szerepet."
"Acquire object","Objektum megszerz‚se"
"a ceremony held by ","egy nneps‚get rendezett "
"octameter","oktam‚ter"
"discourse on ethics as applied to war","a h bor£ra alkalmazott etik r¢l sz¢l¢ ‚rtekez‚s"
"Bar/Block","S v/Blokk"
"escaped from","megsz”k”tt"
"finds even the abstract idea of romance repellent","m‚g a romantika elvont fogalm t is visszatasz¡t¢nak tartja"
"glides","cs£sz¢k"
"scratches ","karcol sok "
"footwear","l bbeli"
"/yours or companion's","/a ti‚d vagy a t rsad‚"
"You pull out ","Kih£zod "
"Follow your desire to reconcile.","K”vess‚tek a megb‚k‚l‚s ir nti v gyatokat!"
"stabbing out","kisz£r s"
"d favored","d el‹nyben r‚szes¡tett"
"Migrants refused to journey to such a dangerous and unhappy fortress this season.","A migr nsok ebben a szezonban nem voltak hajland¢k elindulni egy ilyen vesz‚lyes ‚s nyomor£s gos er‹dbe."
"kick","r£g s"
"the Surveying Staff","a f”ldm‚r‹ szem‚lyzet"
"Ambitious","Ambici¢zus"
" constructed "," meg‚p¡tett "
"The mind thinks best when the world is at rest.","Az elme akkor gondolkodik a legjobban, amikor a vil g nyugodt."
"is weak and has a very thin body with very little fat","gyenge, ‚s nagyon v‚kony testû, alig van rajta zs¡r"
"I decided to frame ","égy d”nt”ttem, hogy bekeretezem "
"decided to become a baby-snatcher, operating","£gy d”nt”tt, hogy csecsem‹rabl¢ lesz, ‚s"
"Requires ","Szks‚ges "
"Some savegame headers failed to load. This is likely due to save corruption. The following failed:","N‚h ny ment‚si f jl fejl‚c‚nek bet”lt‚se nem sikerlt. Ez val¢sz¡nûleg a ment‚s s‚rl‚s‚nek tudhat¢ be. A k”vetkez‹k nem sikerltek:"
"Wrestle ","Birk¢z s "
"stone","k‹"
"dream about hf"," lmodni az HF-r‹l"
"Trees: ","F k: "
"sleeping in the grass","a fûben alv s"
"The rest of the vomit burns away in the lava.","A h ny s t”bbi r‚sze el‚g a l va hev‚ben."
"agile","agilis"
"Sparse ","Ritka "
"plot snatcher","cselekm‚nylop¢"
"I'm conflicted.","K‚telyek gy”t”rnek."
"Economically linked to you","Gazdas gi szempontb¢l hozz d kapcsol¢dik"
"entity","entit s"
"We should have made it there by now.","M r r‚g ott kellett volna lennnk."
"Nothing shall stand in my way!","Semmi sem  llhat az utamba!"
":keyboard:keyboards",":billentyûzet:billentyûzetek"
", push off toward ",", indulj el fel‚ "
"I can't stand poetry this serious.","Nem b¡rom elviselni az ilyen komoly k”lt‚szetet."
"Description:","Le¡r s:"
" dragon fire"," s rk nytûz"
"I am together with my ","A bar tommal vagyok "
"Mineral Remedies","µsv nyi gy¢gym¢dok"
"maternal grandmother","anyai nagymama"
"creatures","l‚nyek"
"  Remember that ice and snow can be heated by a campfire.","  Ne feledje, hogy a j‚g ‚s a h¢ t bortûzzel felmeleg¡thet‹."
"No activity","Nincs tev‚kenys‚g"
" hanging from "," amely...-r‹l l¢g "
"This legend does not end until we've chipped out the last treasures of the underworld!","Ez a legenda addig nem ‚r v‚get, am¡g ki nem b ny sztuk az alvil g utols¢ kincseit is!"
" body of the instrument vibrates with the strings, producing sound.]"," a hangszer teste a h£rokkal egytt rezeg, ‚s ¡gy keletkezik a hang.]"
"'s excited","izgatott"
"in order to flee","hogy elmeneklj”n"
"discourse on diplomacy","a diplom ci r¢l sz¢l¢ ‚rtekez‚s"
"elision","el¡zi¢"
"Caste Selection Fails: ","A kasztv laszt s sikertelen: "
"Train","Vonat"
"Affects ability to move quickly and dodge while armored.","Befoly solja a gyors mozg s ‚s a kit‚r‚s k‚pess‚g‚t p nc‚l visel‚se k”zben."
"was denied an apprenticeship under","elutas¡tott k a szakmai k‚pz‚s ir nti k‚relm‚t a k”vetkez‹ ok miatt:"
"No sadness   <->   Easily sad","Nincs szomor£s g   <->   K”nnyen elszomorodik"
"I do not have ","Nincs "
"Blocking is done with a shield and works on any attack, including fire and natural attacks.  ","A blokkol s pajzzsal t”rt‚nik, ‚s b rmilyen t mad s ellen hat‚kony, bele‚rtve a tûz- ‚s a term‚szeti t mad sokat is.  "
"specific shoes","speci lis cip‹k"
"Center on fort","K”zpont a v rban"
"believes that those who sacrifice for others should be deeply respected","£gy v‚li, hogy azokat, akik m sok‚rt  ldozatot hoznak, m‚ly tisztelet illeti"
"Some ancient horror was encased here, until now!","Valami ‹si borzalom volt itt bez rva, eg‚szen mostan ig!"
"Well, I believe...  something else.","H t, ‚n ink bb...  valami m sban hiszek."
"small tame animal","kis szel¡d  llat"
": number capped at 32",": a sz m legfeljebb 32 lehet"
"State feelings of interest","Az ‚rdekl‹d‚s kifejez‚se"
"Cannot embark entirely on water or mountains.","Nem lehet teljes eg‚sz‚ben v¡zre vagy hegyekre sz llni."
"Singing","nekl‚s"
"Inappropriate Waterlevel Biome Choice (4)","Nem megfelel‹ v¡zszintû biomav laszt s (4)"
"occasionally overindulges","id‹nk‚nt t£lz sba viszi"
"the compilation of information about stars","a csillagokkal kapcsolatos inform ci¢k ”sszegyûjt‚se"
"engineering:optics:water-filled spheres","m‚rn”ki tudom ny:optika:v¡zzel t”lt”tt g”mb”k"
"him","‹t"
"be vigorous","l‚gy lendletes"
"Say something about your profession","Mes‚lj egy kicsit a szakm dr¢l!"
"having an intellectual discussion with a child","intellektu lis besz‚lget‚st folytatni egy gyermekkel"
"is quite a bold flatterer, extremely friendly but just a little insufferable","el‚g mer‚sz h¡zelg‹, rendk¡vl bar ts gos, de egy kicsit elviselhetetlen"
"being a member for a year","egy ‚ve tag"
"shakes","r zk¢d sok"
"It concerns the lineage of ","Ez a k”vetkez‹ csal df ra vonatkozik: "
"Restore defaults","Alap‚rtelmezett be ll¡t sok vissza ll¡t sa"
"This poetry is so funny!","Ez a vers olyan vicces!"
"Cheesemaking","Sajtk‚sz¡t‚s"
" a constant pitch with the flow of air out of the instrument.]"," a hangszerb‹l kifoly¢ leveg‹  raml s val v ltozatlan hangmagass g.]"
" is ripped into loose shreds!"," sz‚tt‚p‹dik apr¢ darabokra!"
"the Creatures","a L‚nyek"
"Claim used ammunition","Haszn lt l‹szer visszak”vetel‚se"
"pike","csuka"
"the Altitude","a magass g"
"Popup: Butcher and craft","Felugr¢ ablak: Hentes ‚s k‚zmûvess‚g"
"is driven by a bouncing frenetic energy","amelyet egy pezsg‹, ‹rlt energia hajt"
"Equip/orders only","Csak felszerel‚s/megrendel‚sek"
" telling the tale quite well."," el‚g j¢l elmes‚li a t”rt‚netet."
"Desired River Start Locations (Post-Erosion)","K¡v nt foly¢indul si pontok (az er¢zi¢ ut n)"
"Conversations","Besz‚lget‚sek"
"Ice Track (SW)","J‚gp lya (SW)"
"Set on","Helysz¡n:"
"This work order has not been validated by the manager.  A manager can be employed in the nobles and administrators menu, and they must have an assigned office where they will work to validate orders.","Ezt a munkarendel‚st a vezet‹ m‚g nem hagyta j¢v . A ,,Nemesek ‚s tisztvisel‹k"" menben lehet vezet‹t kinevezni, akinek rendelkeznie kell egy kijel”lt irod val, ahol a megrendel‚sek j¢v hagy s val fog foglalkozni."
"You have authored ","Te ¡rtad "
" winners"," gy‹ztesek"
"the death of ","a hal la "
" is burdened by this tendency because "," ez a tendencia terhet jelent sz m ra, mert "
"Grant of Citizenship","µllampolg rs g megad sa"
"endurance"," ll¢k‚pess‚g"
"is weak and skinny and also very short","gyenge, sov ny ‚s emellett nagyon alacsony is"
" just before an army"," k”zvetlenl egy hadsereg el‹tt"
"Set Glass Mood Building",",,Set Glass"" hangulat‚plet"
"the loss of status of","a st tusz elveszt‚se"
"being accosted by ","azzal, hogy valaki odasz¢l "
" demand of tribute from "," ad¢ fizet‚s‚nek k”vetel‚se "
"the construction and use of the beaker","a k‚mcs‹ elk‚sz¡t‚se ‚s haszn lata"
"View engraving","A metszet megtekint‚se"
"Click an existing zone to select it.","Kattintson egy megl‚v‹ z¢n ra a kijel”l‚s‚hez."
"You are still surrounded by cackling.","M‚g mindig kacag s veszi k”rl."
"spatial sense","t‚r‚rz‚k"
"This artwork is a","Ez a mûalkot s egy"
"cooked flesh","f‹tt h£s"
" blowpipe is used by the musician to send air into the instrument.]"," A zen‚sz a f£v¢cs‹ seg¡ts‚g‚vel leveg‹t juttat a hangszerbe.]"
"You can also access information from the [C:5:0:1]Citizens[C:7:0:0] button.","Az inform ci¢khoz a [C:5:0:1]Polg rok[C:7:0:0] gombra kattintva is hozz f‚rhet."
"condolences","r‚szv‚tnyilv n¡t s"
"Education","Oktat s"
"Loading coin information...","rmeinform ci¢ bet”lt‚se..."
"Unassertive","Nem hat rozott"
"philosophy:epistemology:truth","filoz¢fia:ismeretelm‚let:igazs g"
"Non-lethal","Nem hal los"
"image set to","k‚p be ll¡tva"
"Why does it keep happening to me?  Why me?!","Mi‚rt mindig velem t”rt‚nik ez? Mi‚rt pont velem?!"
"Be practical.","L‚gy gyakorlatias."
"be strong","l‚gy er‹s"
"Citizen lost to stress","Egy polg r a stressz  ldozata lett"
"[C:6:0:0]Hungry","[C:6:0:0]hes"
"Offering tribute","Tisztelg‚s"
"to teach a moral lesson","hogy erk”lcsi tanuls got adjon"
"she","‹"
"I'm not optimistic.","Nem vagyok optimista."
"Stop action","Mûvelet le ll¡t sa"
"you needn't indulge my trivial thoughts!","nem kell foglalkoznod az apr¢ gondolataimmal!"
"Leave this menu and recenter on this object.","L‚pj ki ebb‹l a menb‹l, ‚s  ll¡tsd £jra a f¢kuszt erre az objektumra."
"Unit lists: Sort by happiness","Egys‚glist k: Boldogs g szerint rendezve"
" has no body parts and creature doesn't have [DOES_NOT_EXIST], adding [DOES_NOT_EXIST] to creature"," nincsenek testr‚szei, ‚s a l‚nynek nincs [DOES_NOT_EXIST]-je; hozz adjuk a [DOES_NOT_EXIST]-et a l‚nyhez"
"You must designate a dungeon","Ki kell jel”lnie egy dungeont"
" has ended a mandate."," mand tuma lej rt."
"is consistently slowing","folyamatosan lassul"
"was fed to beasts","a vad llatok el‚ vetett‚k"
" seems "," £gy tûnik "
"State opinion that it is sad but not unexpected","Az  llam v‚lem‚nye szerint ez szomor£, de nem v ratlan"
"is very skinny with a small build","nagyon sov ny ‚s v‚kony testalkat£"
"starts talking to ","elkezdi besz‚lni "
"oaths","eskk"
"clear glass paste"," tl tsz¢ vegpaszta"
"Perfection","T”k‚letess‚g"
"Creature bodies...","A l‚nyek teste..."
", which rises above ",", amely magasabbra emelkedik, mint "
"You refused to name yourself","Nem volt l hajland¢ megmondani a nevedet"
"Writhing in agony!","F jdalomt¢l vonagl¢!"
"Dungeon","Alag£t"
"monk","szerzetes"
" flawlessly, like someone out of a legend!"," hib tlanul, mintha egy legenda szerepl‹je lenne!"
"wobbling","ingadoz¢"
"I haven't heard anything like that.","Ilyesmir‹l m‚g nem hallottam."
"Disdains tranquility","Megveti a nyugalmat"
"somewhat violent","kiss‚ er‹szakos"
"Verbally struggle against looming existential crisis","Szavakkal kzdjnk a fenyeget‹ egzisztenci lis v ls g ellen"
"foraging behavior","t pl l‚kszerz‹ viselked‚s"
"destroying","megsemmis¡t‚se"
"deeply respects eloquent speakers","m‚ly tisztelettel viseltetik a sz¢noki tehets‚gû emberek ir nt"
"the Solution","A megold s"
"mental illnesses","pszich‚s betegs‚gek"
"Slumberous","µlmos"
" clashed with "," ”sszetûz‚sbe kerlt "
"Map Grids","T‚rk‚pr csok"
"talking with the spouse","besz‚lget‚s a h zast rssal"
"prophesize","j”vend”lni"
"the Chain Drive","a l ncmeghajt s"
"stubble","borost s arc"
"Requires:","Szks‚ges:"
"coral","koral"
"the embezzlement of","a sikkaszt s"
"Darkness","S”t‚ts‚g"
"Finalizing tissue templates...","A sz”veti sablonok v‚gleges¡t‚se..."
"in 1 day","1 nap m£lva"
"I was on an infiltration mission.","Be‚pl‚si kldet‚sen voltam."
"is an optimist","optimista"
"You can also unretire characters directly if they are still alive.  ","Ha a karakterek m‚g ‚letben vannak, akkor k”zvetlenl visszahozhatod ‹ket a nyugd¡jb¢l.  "
"Lay Egg/Nest Box","Toj srak¢/f‚szekdoboz"
" offended"," s‚rt‹d”tt"
"astronomy:daylight variation with solar year","csillag szat: a nappali f‚ny v ltoz sa a nap‚v sor n"
