"World","Mundo"
"known bully","matón conocido"
"rumored bully","matón rumoreado"
"legendary villain","villano legendario"
"infamous villain","villano infame"
"noted villain","villano renombrado"
"known villain","villano conocido"
"rumored villain","villano rumoreado"
"legendary hunter","cazador legendario"
"great hunter","gran cazador"
"talented hunter","cazador talentoso"
"skilled hunter","cazador hábil"
"rumored hunter","cazador rumoreado"
"infamous killer","asesino infame"
"noted killer","asesino renombrado"
"known killer","asesino conocido"
"rumored killer","asesino rumoreado"
"legendary murderer","homicida legendario"
"infamous murderer","homicida infame"
"noted murderer","homicida renombrado"
"known murderer","Homicida conocido"
"rumored murderer","homicida rumoreado"
"legendary enemy fighter","combatiente enemigo legendario"
"infamous enemy fighter","combatiente enemigo infame"
"noted enemy fighter","combatiente enemigo renombrado"
"known enemy fighter","combatiente enemigo conocido"
"rumored enemy fighter","combatiente enemigo rumoreado"
"legendary loyal soldier","soldado leal legendario"
"famous loyal soldier","soldado leal famoso"
"noted loyal soldier","soldado leal renombrado"
"known loyal soldier","soldado leal conocido"
"rumored loyal soldier","soldado leal rumoreado"
"legendary fighter","combatiente legendario"
"famous fighter","combatiente famoso"
"noted fighter","combatiente renombrado"
"known fighter","combatiente conocido"
"rumored fighter","combatiente rumoreado"
"legendary protector of the weak","protector de los débiles legendario"
"famous protector of the weak","protector de los débiles famoso"
"noted protector of the weak","protector de los débiles renombrado"
"known protector of the weak","conocido defensor de los débiles"
"rumored protector of the weak","protector de los débiles rumoreado"
"legendary preserver of knowledge","preservador de conocimiento legendario"
"famous preserver of knowledge","preservador de conocimiento famoso"
"noted preserver of knowledge","preservador de conocimiento renombrado"
"known preserver of knowledge","preservador de conocimiento conocido"
"rumored preserver of knowledge","preservador de conocimiento rumoreado"
"legendary treasure hunter","cazador de tesoros legendario"
"famous treasure hunter","cazador de tesoros famoso"
"noted treasure hunter","cazador de tesoros renombrado"
"known treasure hunter","cazador de tesoros conocido"
"rumored treasure hunter","cazador de tesoros rumoreado"
"legendary thief","ladrón legendario"
"infamous thief","ladrón infame"
"noted thief","ladrón renombrado"
"known thief","ladrón conocido"
"rumored thief","ladrón rumoreado"
"[C:6:0:1]Related Sites[C:7:0:0][B]","[C:6:0:1]Sitios Relacionados[C:7:0:0][B]"
"site occ","sitio occ"
"seat of power","asiento de poder"
"hangout","convivir"
"prison","prisión"
"an unknown civilization","una civilización desconocida"
"interrogator","interrogador"
"an unidentified creature","una criatura no identificada"
"an unknown site","un sitio desconocido"
"a wall","una pared"
"a bridge","un puente"
"a tunnel","un tunel"
"a road","un camino"
"an unknown construction","una construcción desconocida"
"an unknown secret","un secreto desconocido"
"an unknown building","una estructura desconocida"
"a cottage plot","una parcela de casa de campo"
"a castle wall","un muro del castillo"
"a castle tower","una torre del castillo"
"a castle courtyard","un patio del castillo"
"a shop","una tienda"
"a shrine","un santuario"
"a market square","una plaza de mercado"
"a vault","una bóveda"
"a warehouse","un almacén"
"a dormitory","un dormitorio"
"a dining hall","un comedor"
"a pasture","un pasto"
"a meadow","un prado"
"a waste","un desperdicio"
"a yard","un patio"
"a well","un pozo"
"a trenches","una trinchera"
"a fortress entrance","entrada de una fortaleza"
"a barrow","una carretilla"
"an unknown artifact","un artefacto desconocido"
"the Underworld","el Inframundo"
"the magma sea","el mar de magma"
"the depths of the world","las profundidades del mundo"
"an unknown underground region","una región subterranea desconocida"
"an unknown region","una región desconocida"
"an unknown population","una población desconocida"
"an empty population","Una población vacía"
"a peace agreement","un acuerdo de paz"
"a lumber agreement","un acuerdo de madera"
"the establishment of landed nobility","El establecimiento de la nobleza terrateniente"
"the elevation of the landed nobility","la elevación de la nobleza terrateniente"
"a trade agreement","un acuerdo comercial"
"a tribute agreement","un acuerdo de homenaje"
"a demand of unconditional surrender","una demanda de rendición incondicional"
"a vague agreement","un acuerdo ambiguo"
"finds merrymaking and partying worthwhile activities","encuentra el jolgorio y las fiestas actividades que valen la pena"
"some vague concept","algún concepto ambiguo"
"Age of Three Powers","Era de los Tres Poderes"
"Age of ","Era de "
"Two ","Dos "
"Two Powers","Dos Poderes"
"Age of One Power","Era de Un Poder"
" Age"," Era"
"Age of the ","Era de los "
"Age of Myth","Era de Mitos"
"Age of Legends","Era de Leyendas"
"Twilight Age","Era Crepuscular"
"Age of Fairy Tales","Era de las aventuras de las hadas"
"Age of Heroes","Era de Héroes"
"Golden Age","Era de Oro"
"Age of Death","Era de Muerte"
"Age of Civilization","Era de Civilización"
"Age of Emptiness","Era del Vacío"
"The world has passed into ","El mundo ha pasado a "
"Unknown Age","Edad desconocida"
" Notable Kill"," Notable muerte"
" Kill"," Matar"
"Unknown creature in ","Criatura desconocida en "
"Unknown creature[R]","Criatura desconocida[R]"
" Other Kill"," Otra muerte"
" in the wilds"," en las tierras vírgenes"
"Duel of ","Duelo de "
"Pillaging","Saqueando"
"Conquest","Conquista"
"Surrender","Rendición"
"Destruction","Destrucción"
"Overthrow of ","Derrocamiento de "
"Persecution of ","Persecución de "
"Purge in ","Purgar en "
"Insurrection in ","Insurrección en "
"Attempted ","intentó "
"Abduction","Secuestro"
" in the Wilds"," en la Selva"
"Raid of ","Ataque de "
"the Wilds","la Selva"
"Rampage","Alboroto"
"Journey","Viaje"
" Occasion of "," ocasión de "
"The Occasion","La Ocasión"
"Storytelling","Narración"
"Poetry Recital","Recital Poético"
"Musical Performance","Actuación Musical"
"Dance Performance","Espectáculo de Danza"
"Dance Competition","Competición de baile"
"Musical Competition","Competición de música"
"Poetry Competition","Competición de poesía"
"Race","Carrera"
"Air Race","Carrera aérea"
" Race"," Carrera"
" Throwing Competition"," Competición de lanzamiento"
"Gladiatory Games","Juegos de gladiadores"
"Procession","Procesión"
"Ceremony","Ceremonia"
"Opening Ceremony","Ceremonia de apertura"
"Closing Ceremony","Ceremonia de clausura"
"Main Ceremony","Ceremonia Principal"
"values independence","valora la independencia"
", once of the Underworld.  ",", venido del Inframundo. "
"I bind myself to this place.","en este lugar permaneceré."
"population gone","población ausente"
"leadership overthrown","líder derrocado"
"subdued","sometido"
"scuffle","pelea"
"surprised","sorprendido"
"ambushed","emboscado"
"happen upon","topó"
"corner","esquina"
"confront","confrontar"
"got into a brawl","se metió en una pelea"
"2 lost after receiving wounds","2 perdidos tras recibir heridas"
"2 lost after giving wounds","2 perdidos tras inflijir heridas"
"2 lost after mutual wounds","2 perdidos tras heridas mutuas"
"a strongly favored","un fuertemente favorecido"
"a favored","un favorecido"
"a slightly favored","un ligeramente favorecido"
"d strongly favored","d fuertemente favorecido"
"d favored","d favorecido"
"d slightly favored","d ligeramente favorecido"
"neither favored","ninguno favorecido"
"immortality","inmortalidad"
"stay alive","mantenerse con vida"
"maintain entity status","mantener el estado de la entidad"
"start a family","hacer una familia"
"rule the world","gobernar el mundo"
"create a great work of art","crear una obra maestra del arte"
"craft a masterwork","elaborar una obra maestra"
"bring peace to the world","traer paz al mundo"
"become a legendary warrior","convertirse en un guerrero legendario"
"master a skill","dominar una habilidad"
"fall in love","enamorarse"
"see the great natural sites","ver los grandiosos sitios naturales"
"make a great discovery","hacer un gran descubrimiento"
"attain rank in society","alcanzar rango en la sociedad"
"bathe world in chaos","bañar el mundo en el caos"
"murderous ghost","ánima asesina"
"sadistic ghost","fantasma sádico"
"violent ghost","ánima violenta"
"angry ghost","ánima enojada"
"moaning spirit","espíritu gimiendo"
"howling spirit","espíritu aullante"
"secretive poltergeist","poltergeist secreto"
