"more presumptious","domìçlivØjç¡"
"money between currency types in this fashion.","mØnu m…§eç t¡mto zp…sobem mØnit mezi r…znìmi typy."
" Prohibited"," zak z n"
"I don't feel agitated.","Nejsem rozruçenì."
" left leg lift"," zvednut¡ lev‚ nohy"
" of them)"," z nich)"
" is a jealous deity?  Why consult another?"," je § rliv‚ bo§stvo? ProŸ se pt t jin‚ho?"
"commerce","obchodem"
"State feelings, greatly thrilled","Vyj dýit velk‚ vzruçen¡"
"clothier","krejŸ¡"
"Don't repeat","Neopakovat"
"There used to be writing on the item.  ","Na pýedmØtu bìval n pis.  "
"a new romance","nov‚ romanci"
"engineering:machine:bellows","in§enìrstv¡:stroje:mØchy"
"the construction and use of the chariot odometer","stavba a pou§it¡ vozov‚ho odometru"
"Stop leading animal","Pýest v  v‚st zv¡ýe"
" has a slouching posture"," m  shrben‚ dr§en¡ tØla"
"hooked","zahnutì"
"Track/Ramp (SW)","Traœ/rampa (J-Z)"
"is tall and thin with incredible muscles","je vysokì a hubenì s neuvØýitelnìmi svaly"
" was bent toward supernatural vengeance upon "," byl naklonØn nadpýirozen‚ pomstØ v…Ÿi "
"as a scout"," jako zvØd"
"Are these gifts?  Do you wish to trade?","Jsou to dary? Nebo chceç obchodovat?"
"engineering","in§enìrstv¡"
"  Perhaps some of the people here will be worth talking to before you continue on your way."," Mo§n  by st lo za to promluvit si s nØkterìmi zdejç¡mi lidmi, ne§ budete pokraŸovat v cestØ."
"turned child away from sanctuary","odehnal d¡tØ od svatynØ"
"  Try building a butcher's shop and slaughtering some livestock.","  Zkuste postavit jatka a porazit nØjakì dobytek."
" Bridge"," most"
"is very tall and muscular","je velmi vysokì a svalnatì"
"Yes","Ano"
"in order to find a relative","aby nalezl pý¡buzn‚ho"
"engineering:construction:wood lamination","in§enìrstv¡:konstrukce:laminace dýeva"
"unburied at battlefield","nepohýben na bojiçti"
"Hematite","Hematit"
" own dead father"," vlastn¡m mrtvìm otcem"
"first assign a [C:3:0:0]Barracks[C:7:0:0] created from the [C:5:0:1]Zones[C:7:0:0] menu.","nejprve pýiýadit [C:3:0:0]Kas rna[C:7:0:0] vytvoýen  v nab¡dce [C:5:0:1]Z¢ny[C:7:0:0]."
"really poor focus","velmi çpatn  koncentrace"
"Please guide me to ","Pros¡m, veÔ mØ k "
"legendary brawler","legend rn¡ bojovn¡k"
"How will ","Jak se "
"This is the attack menu.  Here you can strike creatures with an item or body part, or you can initiate a dodge or parry movement.  ","Toto je nab¡dka £tok….  Zde m…§eç £toŸit na tvory pýedmØtem nebo Ÿ st¡ tØla, nebo zah jit £hyb Ÿi odra§en¡.  "
"chronicle","kronika"
"works with menacing fury!","pracuje s hrozivou zuýivost¡!"
"Area and Circumference","Obsah a obvod"
"strong breeze","silnì v nek"
"State feelings of great amusement","Vyj dýit velk‚ pobaven¡"
"the unsatisfactory conclusion","neuspokojiv‚ uzavýen¡"
"Toggle whether this creature will be slaughtered at a butcher's shop when the opportunity arises.","ZakliknØte, zda bude tento tvor pýi vhodn‚ pý¡le§itosti pora§en u ýezn¡ka."
"skips around a lot","hodnØ pýeskakuje"
"Detailed mode","Detailn¡ re§im"
"Leather Clothing Workshop","Ko§en  odØvn¡ d¡lna"
"Try to keep an open mind.","Zkus m¡t otevýenou mysl."
"You can make a variety of objects using three different types of glass.  You can also collect sand in bags from a task originating here, if you have a sand collection zone.  Glassmaking requires fuel.","Ze tý¡ r…znìch druh… skla m…§ete vyrobit r…zn‚ pýedmØty. Pokud m te sbØrnou z¢nu p¡sku, m…§ete tak‚ sb¡rat p¡sek do pytl… z £kolu, kterì odtud poch z¡. Vìroba skla vy§aduje palivo."
"am ","jsem "
"hf is dead","historick  postava je mrtv "
"Apologize for being otherwise occupied","Omluvit se za zanepr zdnØnost"
"Forge ","Kov rna "
"Sorting music...","Tý¡dØn¡ hudby..."
"It fills one with awe.","Napln¡ to ŸlovØka £§asem."
"an agreement was cancelled","byla zruçena dohoda"
"grating-voiced","se ský¡pavìm hlasem"
"Ask about other groups with a stake in this site","Zeptat se na dalç¡ skupiny se z jmem o toto m¡sto"
"Claim ","Po§adavek "
"I desire that ","¦ d m, aby "
"escaped from the prisons of","uprchl z vØznic "
" in prison."," ve vØzen¡."
"A battle!","Bitva!"
" counterclockwise"," proti smØru hodinovìch ruŸiŸek"
"cheesemaker","vìrobce sìru"
"Ally: ","Spojenec: "
"pillaging of ","pustoçen¡ "
"Need splint","Potýeba dlaha"
"being tormented in nightmares by a dead pet","bìt v noŸn¡ch m…r ch trìznØn mrtvìm mazl¡Ÿkem"
" into an obstacle and "," do pýek §ky a "
" will be recognized."," budou rozpozn ny."
" crumbles over the "," drolen na "
"Select ","Vybrat "
" (no archery target)"," (bez terŸe pro lukostýelbu)"
" Track (N)"," Cesta (S)"
"I slept on a pile of driftwood.","Spal jsem na hromadØ naplaven‚ho dýeva."
"less of a thrill seeker","menç¡ vyhled vaŸ vzruçen¡"
"Unnamed museum","Nepojmenovan‚ muzeum"
"being unable to petition for citizenship","neschopnost po§ dat o obŸanstv¡"
"Anguished","Zoufalì"
"Library Tree","Knihovn¡ strom"
"  You have attracted some positive interest."," Vzbudili jste pozitivn¡ z jem."
"Drop Kill out Front","Odlo§it zabit‚ zv¡ýe pýed budovu"
".  What happened to bring us to this?",".  Co se stalo, §e jsme se dostali a§ sem?"
" agreed to "," souhlasil s "
"sparkle","jiskýit"
"edible processed plants market (255,200,200)","trh se zpracovanìmi rostlinami (255,200,200)"
"It would be hard to care less.","M‚nØ by mi na tom z le§et nemohlo."
"Extract from land animal","Extrahovat ze suchozemsk‚ho zv¡ýete"
"the Sphere","Koule"
"Make sure your parameters and presets have adequate squares of this kind.  ","Ujisti se, §e parametry a pýedvolby obsahuj¡ dostatek takovìch pol¡. "
" plectra"," trs tka"
"Alternate history","Alternativn¡ historie"
"I drank water without a well.","Pil jsem vodu bez studny."
"Your death","Vaçe smrt"
"Milliseconds between macro instructions","Doba mezi instrukcemi makra (ms)"
"purulent ","hnisav‚ "
"specific armor","konkr‚tn¡ zbroj"
"non-absorbent ","neabsorpŸn¡ "
"Believe","VØýit"
"Peace","M¡r"
"Sieger Mill","Obl‚hac¡ mlìn"
" thrust a spire of slade up from the underworld, naming it "," vyrazil z podsvØt¡ vØ§ ze sladu a pojmenoval ji "
"feeling free","c¡t¡c¡ svobodu"
"next to no empathy","t‚mØý § dn  empatie"
"In this part of the poem, the end rhymes don't need to match perfectly.  ","V t‚to Ÿ sti b snØ se koncov‚ rìmy nemus¡ dokonale shodovat. "
"discourse on government","diskuze o vl dØ"
"State feelings of great irritation","Vyj dýit velk‚ podr §dØn¡"
" to the "," smØrem na "
"A spattering of ","C kance "
"became the master of","stal se mistrem "
"Certainly.  It would be terrible to leave someone to fend for themselves after sunset.","JistØ. Bylo by hrozn‚ nechat nØkoho po z padu slunce napospas osudu."
"I was not able to bring up the lack of jobs.","Nemohl jsem zm¡nit nedostatek pr ce."
"Counterstrike","Proti£der"
"Respected as a hunter","Respektovanì jako lovec"
"a foiled embezzlement conspiracy","zmaýen‚ho zpronevØýovac¡ho spiknut¡"
"An honored visitor!  What would you like?","V §enì n vçtØvn¡ku! Co bys r d?"
"heavy losses in battle","tØ§k‚ ztr ty v bitvØ"
"When a route has a steep descent, consider using powered [C:6:0:0]Rollers[C:7:0:0], extra curves, track ""stops"" between [C:6:0:0]Stops[C:7:0:0] with various friction settings, or a worker to guide the vehicle.","Pokud m  trasa strmì kles n¡, zva§te pou§it¡ poh nØnìch [C:6:0:0]v lc…[C:7:0:0], dalç¡ch oblouk…, ""zast vek"" na kolej¡ch mezi [C:6:0:0]zast vkami[C:7:0:0] s r…znìm nastaven¡m týen¡ nebo pracovn¡ka, kterì bude vozidlo v‚st."
"coffin","rakev"
"Pikemaster","Mistr p¡k"
"Assigned","Pýiýazeno"
" not be able to guide you personally.  It is the best I can do."," tØ nebude moci osobnØ nav‚st. Je to to nejlepç¡, co mohu udØlat."
"a very clumsy kinesthetic sense","velmi nemotornì kinestetickì smysl"
"House","D…m"
"I'm relieved.","Ulevilo se mi."
"I could not find the hammer.","Nenaçel jsem kladivo."
"dejected","skl¡Ÿenì"
"Models","Modely"
"Imported Wealth:","Importovan‚ bohatstv¡:"
"blacksmith's shop sign","cedule kov ýe"
"'s fire"," ohnØm "
"free rooms","voln‚ pokoje"
"Acknowledge lack of nostalgia","Konstatovat nepý¡tomnost nostalgie"
"ethics as it regards the benefit of the state","etika ve vztahu k prospØchu st tu"
"No available colony","¦ dn  dostupn  kolonie"
"pearlash paste","pot çov  pasta"
"Process plants and work with livestock here.  Milk and shear animals, make cheese, and spin thread.","Zde zpracov vej rostliny a pracuj s dobytkem.  Doj a stý¡hej zv¡ýata, vyr bØj sìr a spý dej vl kna."
"Crossbow","Kuçe"
"runs","bØhy"
"Ask for a cease to hostilities","Po§ dat o ukonŸen¡ nepý telstv¡"
"The temperature cannot be judged.","Teplotu nelze posoudit."
"flask","Ÿutora"
"Mural Instruments","N stØnn‚ n stroje"
"Acknowledge lack of confusion","Konstatovat nepý¡tomnost zmatku"
"Install colony when ready","Nainstalovat kolonii, a§ bude pýipravena"
"tends to ask others for help with difficult decisions","m  sklony § dat ostatn¡ o pomoc pýi tØ§kìch rozhodnut¡ch"
"There is no intelligence information yet.","Zat¡m nejsou § dn‚ zpravodajsk‚ informace."
"active musical form","aktivn¡ hudebn¡ forma"
"Set hauling routes for minecarts.","Nastavit pýepravn¡ trasy pro voz¡ky."
"Cloth (Desired): ","Tkanina (po§adov no): "
"calling","posl n¡"
"Toggle the forbidden status of the item.  Citizens will not use forbidden items or buildings.","Pýepni stav z kazu pýedmØtu.  Obyvatel‚ nebudou pou§¡vat zak zan‚ pýedmØty ani stavby."
"View this item's sheet.","Zobrazit kartu tohoto pýedmØtu."
"Tint thread ","Obarvit nit "
"color","barva"
"fellow scholar ","kolega uŸenec "
"Generating world using parameter set ","Generov n¡ svØta pomoc¡ sady parametr… "
"!  Best price in town","! Nejlepç¡ cena ve mØstØ"
"hiding ","skrìv n¡ "
"destroys","niŸ¡"
"Natural savagery","Pýirozen  divokost"
" and become a resident of "," a st t se obyvatelem "
"Hero","Hrdina"
"Seek Building for Ammunition","Hledat budovu pro munici"
"anesthesia","anestezie"
"after embezzling funds","po zpronevØýe prostýedk…"
"a drink in the tavern to let the people you meet know who you are.","d t si v hospodØ drink a d t lidem vØdØt, kdo jste."
"This is your lover.","Tohle je v ç milenec."
" meets with "," se setk v  s "
"office","kancel ý"
"What will you do about it?","Co s t¡m udØl ç?"
"mathematician","matematik"
"Leisurely    <->     Frenetic","Poklidnì   <->   Zbrklì"
"Upright weapons are a nasty place for intruders to fall upon.  Can also be linked to levers or pressure plates to raise them into intruders.","VztyŸen‚ zbranØ jsou nepý¡jemnìm m¡stem, kam mohou vetýelci spadnout.  Lze je tak‚ propojit s p kami nebo tlakovìmi deskami, aby se zvedaly proti vetýelc…m."
"Need empty cage","Potýeba pr zdn  klec"
"We must not abandon ","Nesm¡me opustit "
"Bake clay objects here, as well as a few other useful materials.  Clay can also be collected here if you have a clay collection zone.  All tasks require fuel aside from clay collection.","Zde vypaluj j¡lov‚ pýedmØty a nØkolik dalç¡ch u§iteŸnìch materi l….  Pokud m ç z¢nu pro sbØr j¡lu, lze jej zde tak‚ sb¡rat.  Vçechny £koly kromØ sbØru j¡lu vy§aduj¡ palivo."
" collapses!"," zhroucen¡!"
"Opening file...","Otev¡r n¡ souboru..."
"In Custody","Ve vazbØ"
"Retorts","Retorty"
"beasts","bestie"
"Entertain people with ","Bavit lidi s "
"dragonfire","draŸ¡ oheå"
"unfocused by unmet needs","nesoustýed¡ se na neuspokojen‚ potýeby"
"[C:3:0:1]Sluggish","[C:3:0:1]Loudavì"
"The geldables have been torn away!","Kastr ti byly odra§eni!"
"Bone Carver","üezb ý kost¡"
"irritation","podr §dØn¡"
"discourse on the nature of existence","dskuze o povaze existence"
"To the west","Na z pad"
" to take up my position"," abych zaujal(a) sv‚ m¡sto"
"mortified","zdrcenì"
"drop","upustit"
"frozen lye","mra§enì louh"
" embraces "," obdivuje "
"No charge attack: you are in uncontrolled flight","Nelze prov‚st vìpad: jsi v nekontrolovan‚m letu"
"splint","dlaha"
"1/2 day's travel","p…ldenn¡ cesta"
"Scale interface to fit grid height/width","Pýizp…sobit rozhran¡ vìçce/ç¡ýce mý¡§ky"
"Everybody has their own way of life.","Ka§dì m  sv…j zp…sob §ivota."
"a child was turned away from sanctuary","d¡tØ bylo odm¡tnuto v £toŸiçti"
"I feel alienated.","C¡t¡m se odcizenì."
"Frenetic","Frenetickì"
"astronomy:height of tides vs moon and sun","astronomie:vìçka pý¡livu vs. MØs¡c a Slunce"
"been slaughtered.","byli pora§eni."
"sharing a personal insight with the spouse","sd¡len¡ osobn¡ho postýehu s man§elem/man§elkou"
"Such misery!","Jak‚ utrpen¡!"
" massacring "," masakruje "
"Routine #","Rutina Ÿ."
"I bow to no one.","Neklon¡m se nikomu."
"dance","tanec"
"Seek Hunting Target","Hledat lovnì c¡l"
" tribute from "," tribut od "
"being forced to endure the decay of a sibling","bìt donucen sn çet rozklad sourozence"
"Blowgun","Foukac¡ zbraå"
"This doesn't scare me.","Tohle mØ nedØs¡."
"Preaching","K z n¡"
"is somewhat weak and has a body that is incredibly broad","je ponØkud slabì a m  neuvØýitelnØ çirok‚ tØlo"
"good idea to keep your fortress clean.","dobrì n pad, aby vaçe pevnost z…stala Ÿist ."
"Wind Patterns","VØtrn‚ vzorce"
"Nobody could be punished for failing to obey my commands.","Nikdo nemohl bìt potrest n za neuposlechnut¡ mìch pý¡kaz…."
"medicine:method:fracture treatment","medic¡na:metoda:l‚Ÿba zlomenin"
"mouse","myç"
" has imposed a ban on certain exports."," zak zal urŸit‚ vìvozy."
"Exposed ","Odhalen  "
"a cloth shop","obchodØ s l tkami"
":bellows:bellows",":mØchy:mØchy"
"There is writing on this item which you have not read.","Na tomto pýedmØtu je n pis, kterì jste neŸetli."
"At all pitches, the","Ve vçech t¢nech m "
"flying object","let¡c¡ pýedmØt"
" shattering"," tý¡çtivì"
"Restarts if completed, checked monthly","Restartuje se po dokonŸen¡, kontrolov no mØs¡ŸnØ"
"Vanished","Zmizel"
"Capture Small Pet","Chytit mal‚ zv¡ýe"
" breached "," prolomil "
" and others"," a dalç¡"
"Its nature is still an intriguing puzzle to the learned.  ","Jeho povaha je pro uŸence st le fascinuj¡c¡ h dankou.  "
"had ambitions for which death is only a small obstacle","mØl ambice, pro kter‚ je smrt jen malou pýek §kou"
"The hate burns within me.","Nen vist ve mnØ hoý¡."
"eight thousand","osm tis¡c"
"specify your attack more precisly. ","pýesnØjç¡mu urŸen¡ £toku. "
"Magma Kiln","Magmatick  HrnŸ¡ýsk  pec"
"A criminal could not be properly punished.","ZloŸinec nemohl bìt ý dnØ potrest n."
" via "," skrze "
"the enslavement","zotroŸen¡"
" is the only other settlement to utilize the market there."," je jedinou dalç¡ osadou, kter  vyu§¡v  tamn¡ trh."
"less disdainful of advice","m‚nØ pohrdaj¡c¡ radami"
"I feel such shame.","C¡t¡m takovou hanbu."
"This isn't distressing.","Tohle nen¡ znepokojiv‚."
"[C:6:0:0].Heavy bruising","[C:6:0:0].Siln‚ pohmo§dØn¡"
"Think abstractly","Myslet abstraktnØ"
"Nearby site linked economically","Bl¡zk‚ m¡sto ekonomicky propojeno"
"Go to Cage","Jde do Klece"
"Ashery","Popel rna"
"Mechanical Compasses","Mechanick‚ kompasy"
"Enemy moved out of range","Nepý¡tel mimo dosah"
"(Combat) Stunned","(Boj) Ohromen"
"If you dig down enough layers you will find a near infinite amount of [C:6:0:1]Boulders[C:7:0:0] of various ","Kdy§ se prokopeç dostateŸnØ hluboko, najdeç t‚mØý nekoneŸn‚ mno§stv¡ [C:6:0:1]Balvan…[C:7:0:0] r…znìch "
"swayable","houpavì"
"population of one hundred thousand","populac¡ sta tis¡c"
" own appearance and talents"," vlastn¡m vzhledem a talenty"
" plotted to steal "," zosnoval(a) kr de§ "
"Custom Detail","Vlastn¡ detail"
"Seek Gelding Building","Hledat kastraŸn¡ budovu"
"Your ","Tv…j "
"bull","bìk"
"a friend","pý¡telem"
"audacious creation","drz‚ vytvoýen¡"
"Everything just so in its proper place!","Vçechno pýesnØ tam, kde m  bìt!"
"Succumbed to infection","Podlehl infekci"
" in becoming a permanent part of the living world"," st t se trvalou souŸ st¡ §ivouc¡ho svØta"
" item"," polo§ka"
"the construction and use of the ampoule","stavba a pou§it¡ ampule"
"began dreaming of crafting a masterwork","zaŸal sn¡t o vytvoýen¡ mistrovsk‚ho d¡la"
"Wounds","ZranØn¡"
"Plants...","Rostliny..."
"bring death to the world","pýin çet svØtu smrt"
