"its","suo"
"Sheet ","Strato "
"Stockpile #","Scorta #"
" have hatched."," si sono schiuse."
"You've caught a ","Hai preso un "
"Your trap was robbed of the ","La tua trappola ä stata derubata del "
", but you can't talk your way out of this.",", ma non puoi cavartela con le parole."
" closes."," chiude."
"You hear ","Senti "
"distant ","distante "
"nearby ","vicino "
"grinding.","stridore."
" close."," chiuso."
" opens."," apre."
" open."," aperto."
" has constructed a masterpiece!"," ha costruito un capolavoro!"
"preparetomb() HAS LIVE owner","preparatomba() HA proprietario VIVO"
"A masterwork of ","Un capolavoro di "
" has been lost!"," ä stato perso!"
"map accuracy","precisione della mappa"
"after a performance in ","dopo uno spettacolo in "
"Home","Casa"
"Plot","Appezzamento"
"Mead Hall","Sala dell'idromele"
"Throneroom","Sala del trono"
"Entrance","Entrata"
"Treasury","Tesoreria"
"Mechanism Room","Sala dei meccanismi"
"Guard post","Posto di guardia"
"Noble quarters","Alloggi nobiliari"
"Captive Room","Stanza di prigionia"
"Tower Top","Cima della Torre"
"Courtyard","Cortile"
"Secret Library","Biblioteca segreta"
"Counting House Offices","Uffici della Casa di conteggio"
"Counting House Storage","Deposito della Casa di conteggio"
"Guildhall Offices","Uffici della Casa della gilda"
"Guildhall Storage","Deposito della Casa della gilda"
"Market Stall","Bancarella"
"Campground","Accampamento"
"Command Tent","Tenda di comando"
"Tent","Tenda"
"Command Tent (Bld)","Tenda di comando (Bld)"
"Tent (Bld)","Tenda (Bld)"
"Dungeon Cell","Cella delle segrete"
"Animal Pit","Fossa degli Animali"
"Cloth Pit","Fossa per Stoffa"
"Tanning Pit","Fossa per Conciatura"
"Cloth Clothing Pit","Fossa d'Abbigliamento in stoffa"
"Leather Clothing Pit","Fossa d'Abbigliamento in cuoio"
"Bone Carving Pit","Fossa d'intaglio d'ossa"
"Gem Cutting Pit","Fossa d'intaglio di gemme"
"Weaponsmithing Pit","Fossa per Fabbricazione d'armi"
"Bowmaking Pit","Fossa per Fabbricazione d'archi"
"Blacksmithing Pit","Fossa per Forgiatura d'arnesi"
"Armorsmithing Pit","Fossa per Forgiatura d'armature"
"Metal Crafting Pit","Fossa per Lavorazione del metallo"
"Leatherworking Pit","Fossa per Pelletteria"
"Carpentry Pit","Fossa per Carpenteria"
"Stoneworking Pit","Fossa per Lavorazione della pietra"
"Forging Pit","Fossa per Forgiatura"
"Fighting Pit","Fossa per la Lotta"
"Animal Workshop","Bottega di animali"
"Cloth Workshop","Bottega della stoffa"
"Tanning Workshop","Bottega di conciatura"
"Cloth Clothing Workshop","Bottega d'Abbigliamento in Stoffa"
"Leather Clothing Workshop","Bottega d'Abbigliamento in Cuoio"
"Bone Carving Workshop","Bottega dell'Intagliatore di Ossa"
"Gem Cutting Workshop","Bottega dell'Intagliatore di Gemme"
"Weaponsmithing Workshop","Bottega dell'Armaiolo"
"Bowmaking Workshop","Bottega del Fabbricante d'archi"
"Blacksmithing Workshop","Bottega del Forgiatore d'arnesi"
"Armorsmithing Workshop","Bottega dell'Armoraro"
"Metal Crafting Workshop","Bottega di Lavorazione del metallo"
"Leatherworking Shop","Negozio di pelletteria"
"Carpentry Workshop","Bottega di Carpenteria"
"Stoneworking Workshop","Bottega dello scalpellino"
"Forging Workshop","Bottega di Forgiatura"
"Depot","Deposito"
"Tower Entrance","Ingresso della torre"
"Tower Feasthall","Torre Salone dei Banchetti"
"Tower Bedroom","Camera da letto della Torre"
"Tower Treasury","Tesoreria della Torre"
"Tower Dungeon","Segrete della Torre"
"Tower Attic","Soffitta della torre"
"Dump","Discarica"
"Sand Collection","Raccolta di Sabbia"
"Fishing Area","Area di pesca"
"Pond","Stagno"
"Meeting Hall","Sala di ritrovo"
"Pen","Recinto"
"Clay Collection","Collezione d'Argilla"
"Plant Gathering","Raccolta di Piante"
"Invalid Type","Tipo non valido"
" Or "," O "
", Etc.",", Ecc."
"Furniture Hauling","Trasporto mobili"
"This is the ","Questo ä il "
" currency of "," valuta di "
" from the year "," dall'anno "
" from an unknown year"," da un anno sconosciuto"
" under an obscure ruler"," sotto un oscuro sovrano"
" under "," sotto "
" from a period of no rule"," da un periodo privo di regole"
"administrator","amministratore"
"administrators","amministratori"
"governor","governatore"
"governors","governatori"
"agent","agente"
"agents","agenti"
"factor","fattore"
"factors","fattori"
"head","capo"
"heads","capi"
"master","maestro"
"masters","maestri"
"Failed to find vanilla environment header.","Impossibile trovare l'intestazione ambiente vanilla."
"pressed ash","cenere pressata"
"Use Seed","Usa Seme"
"Minimum Number of High-Volcanism Squares","Numero minimo di caselle di vulcanismo alto"
"Slayer.","Uccisore."
"Making cave pops...","Popolando caverne..."
"The beat is stressed as follows:","Il battito ä accentato come segue:"
"representative","rappresentante"
"representatives","rappresentanti"
"There are foul goings-on ","Ci sono cose turpi "
"lieutenant","tenente"
"lieutenants","tenenti"
"a great dining room","una grande sala da pranzo"
"a horribly substandard","un orribilmente scadente"
"defeating somebody","sconfiggere qualcuno"
"have similar grammatical structures","hanno strutture grammaticali simili"
"tears","lacrime"
"wispy cloth","stoffa sottile"
"synchysis","sincronia"
"Ice Track (NW)","Binario di Ghiaccio (NO)"
"chunky ","massiccio "
"decapod","decapode"
"'s corpse","suo cadavere"
":plectrum:plectra:STANDARD]",":plettro:plettri:STANDARD]"
"Stability","StabilitÖ"
"the Steps","i Passi"
"the Furnace","la Fornace"
" pull"," tiri"
" pulls"," tira"
" on the embedded "," sull'incorporato "
" try"," provi"
" tries"," prova"
" lock"," chiudi"
" locks"," chiude"
" place"," piazzi"
" places"," piazza"
" a chokehold on "," una morsa su "
" take"," prendi"
" takes"," prende"
" down by the "," lungo il "
" throw"," tiri"
" throws"," tira"
" pinch"," pizzichi"
" pinches"," pizzica"
" gouge"," scavi"
" gouges"," scava"
" adjust"," regoli"
" adjusts"," regola"
" the grip of "," la morsa di "
" on "," su "
" bend"," pieghi"
" bends"," piega"
" struggle"," sforzare"
" struggles"," sforza"
" in vain against the grip of "," invano contro la morsa di "
" release"," rilascio"
" releases"," rilascia"
" loosen"," allentare"
" loosens"," allentato"
" the choke hold of "," la stretta di "
" the joint lock of "," il blocco congiunto di "
" break"," rompere"
" breaks"," rompe"
" shake"," scuotere"
" shakes"," scuote"
" around by the "," in giro per il "
" is ripped away and remains in "," viene strappato via e rimane in "
" mouth"," bocca"
" grip"," morsa"
" lose"," perdi"
" loses"," perde"
" hold of the "," della presa del "
"strangle","strangolare"
" pass"," svieni"
" passes"," sviene"
" out.","."
"grab","afferri"
"grabs","afferra"
" miss "," manchi "
" misses "," manca "
" has moved out of range!"," si ä spostato fuori portata!"
"strikes","colpisce"
"strike","colpo"
"cry on boss","piangi su boss"
"admire building","ammira l'edificio"
"push","spingi"
"pushes","spinge"
" let"," lasci"
" lets"," lascia"
" drop away as "," cadere come "
"attack","attacchi"
"attacks","attacca"
" catch"," catturi"
" catches"," cattura"
" attack "," attacca "
" attacks "," attacca "
" but "," ma "
" scramble"," mescoli"
" strike at "," colpisci il "
" strikes at "," colpisce il "
" but the shot is blocked!"," ma il tiro viene bloccato!"
" scrambles"," mescola"
" roll"," rotola"
" rolls"," rotola"
" jump"," salta"
" jumps"," salta"
" away"," viaa"
" but the shot is "," ma il colpo ä "
"deftly ","abilmente "
"just barely ","appena appena "
"easily ","facilmente "
"parried","parato"
" away from "," via da "
" but the shot is blocked"," ma il tiro viene bloccato"
" block "," blocchi "
" blocks "," blocca "
"effortlessly ","senza sforzo "
"narrowly ","strettamente "
"deflected","deviato"
" bat "," batti "
" bats "," batte "
" aside"," da parte"
" out of the air"," dall'aria"
"silently ","silenziosamente "
"The force bends the ","La forza piega il "
"The force twists the ","La forza torce la "
"The force pulls the ","La forza tira il "
"Some","alcuni"
" leap at "," balzi verso "
" leaps at "," balza verso "
" charge at "," carichi verso "
" charges at "," carica verso "
" looks "," guarda "
"surprised by the ferocity of ","sorpreso dalla ferocia di "
" onslaught!"," carica!"
" collide"," scontri"
" collides"," scontra"
" knocked over"," rovesciato"
" and tumble"," e ruzzoli"
" and tumbles"," e ruzzola"
" backward"," indietro"
" bounce"," rimbalzi"
" bounces"," rimbalza"
"You tangle together and tumble forward!","Vi aggrovigliate e ruzzolate in avanti!"
"They tangle together and tumble forward!","Si aggrovigliano e ruzzolano in avanti!"
"You tangle together and fall over!","Vi aggrovigliate e cadete!"
"They tangle together and fall over!","Si aggrovigliano e cadono!"
"specks","granelli"
"dusting","spolverata"
"spatter","schizzi"
"smear","striscio"
"coating","rivestimento"
"covering","copertura"
"myself","me stesso"
"my","mio"
"yourself","te stesso"
"were ","erano "
"will be ","sarÖ "
"am ","sono "
"are ","sono "
"will ","sarÖ "
"appearing","apparendo"
"appeared","apparso"
"appears","appare"
"appear","appari"
"destroying","distruggendo"
"destroyed","distrutto"
"destroys","distrugge"
"destroy","distruggi"
"speaking","parlando"
"spoke","parlato"
"speaks","parla"
"speak","parli"
"burned","bruciato"
"burns","brucia"
"burn","bruci"
"flooding","bruciando"
"flooded","allagato"
"floods","allaga"
"flood","allaga"
"rewarding","gratificante"
"rewarded","premiato"
"rewards","premia"
"reward","premio"
"to ","a "
"feeling fond","si affeziona"
"feeling grim satisfaction","prova cupa soddisfazione"
"in grief","nel dolore"
"feeling triumphant","si sente trionfante"
"enraged","infuriato"
"feeling gaiety","prova gaiezza"
"joyful","festoso"
"feeling love","prova amore"
"in acceptance","in approvazione"
"feeling admiration","prova ammirazione"
"in adoration","in adorazione"
"feeling affection","prova affetto"
"in agony","in agonia"
"feeling alienated","si sente alienato"
"feeling ambivalent","sensazione d'incertezza"
"anguished","angosciato"
"feeling apathetic","sentirsi apatici"
"feeling aversion","sentirsi avversi"
"awed","stupito"
"feeling caring","sentirsi premuroso"
"in despair","disperato"
"feeling dislike","prova antipatia"
"displeased","dispiaciuto"
"empathetic","empatico"
"feeling empty","sentirsi vuoto"
"feeling enjoyment","sentirsi appagato"
"feeling ferocious","sentirsi feroce"
"feeling free","sentirsi libero"
"feeling gratitude","sentirsi grati"
"feeling guilty","sentirsi colpevoli"
"taking hope","avere speranza"
"feeling hopeless","sentirsi senza speranza"
"feeling loathing","provare disgusto"
"pleased","compiaciuto"
"feeling rejected","sentirsi rifiutato"
"feeling self-pity","provare autocommiserazione"
"feeling servile","sentirsi servile"
"sympathetic","comprensivo"
"feeling tenderness","provare tenerezza"
"in wonder","in ammirazione"
"in existential crisis","in crisi esistenziale"
"feeling defeated","sentirsi sconfitto"
"feeling expectant","sentirsi in attesa"
"in doubt","in dubbio"
"emotionless","senza emozioni"
"I desire that ","Desidero che "
" be returned to me."," mi venga restituito."
" be returned to my family."," sia restituito alla mia famiglia."
"Speaking as a representative of ","Parlando come rappresentante di "
", it is important that ",", ä importante che "
" be returned."," sia restituito."
"  I require it as a symbol of the ","  Lo richiedo come simbolo della "
" requires it to be a proper "," richiede che sia un vero e proprio "
"  It is the symbol of the "," ‘ il simbolo di "
"  It is a valuable treasure to us.","  ‘ un tesoro prezioso per noi."
"  It should be brought to ","  Dovrebbe essere portato a "
"It would be wonderful if ","Sarebbe meraviglioso se "
" found a lasting home within "," ha trovato una casa duratura all'interno "
" wants "," vuole "
" returned"," ritornato"
" returned to "," ritornato a "
"Last I remember, I had it.","L'ultima volta che ricordo ä che ce l'avevo io."
"Last I heard, I had it.","L'ultima volta che ne ho sentito ce l'avevo io."
"Last I heard, you held it.","L'ultima volta che ne ho sentito, lo tenevi tu."
"Last I saw, it was held by ","L'ultima volta che l'ho visto era tenuto da "
"Last I heard, it was held by ","Da quel che so, lo stava tenendo "
"Last I saw, it was in ","L'ultima volta che l'ho visto era in "
"Last I heard, it was in ","L'ultima volta che ne ho sentito era in "
"I have no idea where it is.","Non ho idea di dove sia."
"  Knowing no mercy, ","  Non conosce pietÖ, "
"devoured ","divorato "
"stole ","ha rubato "
"stole our treasures","ha rubato i nostri tesori"
"destroyed ","ha distrutto "
"a counting house","una Casa di conteggio"
"a hospital","un ospedale"
"a mead hall","una sala dell'idromele"
"a keep","un dongione"
"a library","una biblioteca"
"a tavern","una locanda"
"a market","un mercato"
"a tomb","un sepolcro"
"the catacombs","le catacombe"
"the sewers","le fognature"
"a dungeon","un labirinto di segrete"
"a tower","una torre"
"destroyed our homes","ha distrutto le nostre case"
"prayed inside","pregato all'interno"
"disturbed","disturbato"
"profaned","profanato"
"profaned our homes","ha profanato le nostre case"
"  This vile fiend ","  Questo vile demonio "
"  This bloodsucking fiend ","  Questo demonio succhiasangue "
"even ","anche "
