"more presumptious","aanmatigender"
"Finalizing items...","Voorwerpen afronden..."
"slaying ","doden "
"A troublesome poltergeist.","Een lastige klopgeest."
"optimistic","optimistisch"
"State feelings of hope","Hoop uiten"
"being unafraid","niet bang zijn"
"is very tall with a hanging apron of lard","is erg lang met een hangend schort van vet"
"'s sitting down","s gaan zitten"
"Drink ","Drank "
"has great respect for fairness","heeft veel respect voor rechtvaardigheid"
"Loathing","Afkeer"
" cannot climb."," kan niet klimmen."
".  The musician uses a ",". De muzikant gebruikt een "
"outcast ","verstotene "
"There aren't any crafted artifacts here.","Er zijn hier geen vervaardigde artefacten."
"noted bard","bekende bard"
"Vertical bars","Verticale spijlen"
"Worker","Werker"
"the Point","het Punt"
" values friendship"," waardeert vriendschap"
" constantly"," voortdurend"
"Click to contact/raid this site (creates new mission)","Klik om contact op te nemen met/deze locatie te overvallen (maakt nieuwe missie)"
"Command Tent (Bld)","Commandotent (geb.)"
"[C:1:0:1]Guildhalls[C:7:0:0] are where the workers of specific professions gather to socialize and share their knowledge. ","[C:1:0:1]Gildehallen[C:7:0:0] zijn plaatsen waar werkers van specifieke beroepen samenkomen om te socializen en hun kennis te delen. "
"the Attack","de Aanval"
"Seek Chain for Animal","Ketting zoeken voor Dier"
"social","sociaal"
", it is important that ",", het is belangrijk dat "
"having an intellectual discussion with a lover","een intellectueel gesprek hebben met een geliefde"
" has shared a few rumors."," heeft een paar geruchten gedeeld."
"rhinoceros","neushoorn"
"Be creative","Wees creatief"
"the tooth","de tand"
"Unusable ","Onbruikbaar "
"Servant's Burial Chamber","Grafkamer voor bediende"
"Color","Kleur"
"less greedy","minder hebzuchtig"
"Not enough partial edge oceans","Niet genoeg gedeeltelijke randzee‰n"
"Biographies","Biografie‰n"
"Undyed","Ongeverfd"
"State feelings of great repentance","Sterke repentance uiten"
"extend","uitbreiden"
"Trapping","Vallen zetten"
", depicted as a "," afgebeeld als een "
"Sites","Locaties"
"the Triangle","de Driehoek"
"Write","Schrijven"
"caring","zorgzaam"
"Assassination Plot","Moordcomplot"
"Unnamed recenter location","Naamloze recenterlocatie"
"In site finder","In locatiezoeker"
"a lumber agreement","een houtovereenkomst"
"the positive","het positieve"
"more industrious","ijveriger"
"Underground Fortress","Ondergronds fort"
"Prophet","Profeet"
"lye/milk-free ","vrij van loog/melk "
"Repentant","Berouwvol"
"a work","een werk"
"Furnaces","Ovens"
"Do not tempt me!  My beasts of burden cannot possibly haul such a load.","Breng me niet in verleiding! Mijn lastdieren kunnen zo'n last onmogelijk vervoeren."
"the meaning of individual happiness","de betekenis van individueel geluk"
"aborted ","afgebroken "
"Despite some minor reservations...  ","Ondanks enkele kleine bedenkingen...  "
"You can always rely on your family when everything else falls away.","Je kunt altijd op je familie rekenen wanneer al het andere wegvalt."
"Lava/Magma at this location","Lava/magma op deze locatie"
", one loss",", ‚‚n verlies"
"having an intellectual discussion with father","een intellectueel gesprek hebben met vader"
"We have arrived at our destination.","We zijn op onze bestemming aangekomen."
"* Output restricted","* Uitvoer beperkt"
"Prisoner","Gevangene"
"Heirloom of ","Erfstuk van "
"It is cool.","Het is koel."
"ripping","scheuren"
"spearman","speerdrager"
"the Survival of Animals","het Overleven van Dieren"
" to save a macro to a file."," om een macro naar een bestand op te slaan."
"Very Small Profile","Zeer klein profiel"
"Do not alter actions","Acties niet wijzigen"
"is very muscular with a broad body","is zeer gespierd met a breed body"
"has a square chin","heeft een vierkante kin"
"Number of Regional Interaction Types","Aantal regionale interactietypen"
" adjacent "," aangrenzend "
"Add stockpile links for this workshop.","Voeg voorraadkoppelingen toe voor deze werkplaats."
"does not easily hate or develop negative feelings","haat niet snel en ontwikkelt niet gemakkelijk negatieve gevoelens"
"is gigantic with incredible muscles","is gigantisch met ongelooflijke spieren"
"medicine:theory:comparative anatomy","geneeskunde:theorie:vergelijkende anatomie"
" for war"," voor oorlog"
"Everywhere","Overal"
"sheet roller","plaatwals"
"metal furniture shop (255,0,64)","metalen-meubelwinkel (255,0,64)"
" here.  "," hier.  "
"Independence","Onafhankelijkheid"
"leather clothing shop (255,128,64)","leren-kledingwinkel (255,128,64)"
"bowmen","boogschutters"
"Need crutch","kruk nodig"
"the spouse","de echtgenoot"
"the computation of the area of a triangle from its three side lengths alone","de berekening van de oppervlakte van een driehoek alleen op basis van de drie zijden"
"bookbinder","boekbinder"
"invoke","aanroepen"
"your ","jouw "
"engineering:fluid:archimedes principle","ingenieurskunde:vloeistoffen:principe van Archimedes"
"population of a thousand","bevolking van duizend"
"Dismiss minor feeling of sadness","Licht gevoel van verdriet negeren"
"Despairing","Wanhopig"
"How will you respond to the request for information?","Hoe reageer je op het verzoek om informatie?"
"[C:4:0:1].Broken open","[C:4:0:1].Opengebroken"
"Go to Individual Combat Drill","Ga naar individuele gevechtsoefening"
", but that hardly matters now."," maar dat doet er nu nauwelijks toe."
"I do not resent this.","Ik koester hierover geen wrok."
"Attachment to item","Gehechtheid aan voorwerp"
"Ore of ","Erts van "
"Add magma to the arena.","Magma aan de arena toevoegen."
"Valid Pond Dump","Geldige vijverdump"
"Know","Weten"
"more resilient","veerkrachtiger"
"Recenter on this burrow.","Hercentreer op deze burrow."
"Use History Seed","Geschiedenis-seed gebruiken"
"constable","constabel"
"Object of worship","Object van aanbidding"
"zeal","ijver"
"Offloading art...","Kunst ontladen..."
"Shearing","Scheren"
"confrontation of","confrontatie van"
"Getting married","Trouwen"
"have","hebben"
"Values commerce","Waardeert handel"
"cruelty","wreedheid"
"crime of treason","misdaad van verraad"
"engineering:optics:camera obscura","ingenieurskunde:optica:camera obscura"
"size","grootte"
"naturalist:theory:food chain","natuurkunde:theorie:voedselketen"
"feeling guilty","schuldgevoel"
"Cursed by deity","Vervloekt door godheid"
"Surgical Instruments","Chirurgische instrumenten"
": select ",": selecteren "
"Assassinate","Vermoorden"
"Died ","Stierf "
"is weak and skinny but very tall overall","is zwak en mager but zeer lang overall"
"astronomy:summer winter sun","astronomie:zomer- en winterzon"
"rebuilding","herbouwen"
"guttural-voiced","met keelstem"
"nest box","nestkast"
"Who will you attack?","Wie wil je aanvallen?"
"has an extremely broad body but is weak","heeft een extreem breed lichaam but is zwak"
"Advancing sites","Locaties voortzetten"
"an act of theft","een diefstal"
"Animal ","Dier "
"State minor feeling of remorse","Licht gevoel van berouw uiten"
"speaking","spreken"
"The Future","De toekomst"
"the Vial","het Flesje"
"casket","grafkist"
"Pen/pasture small animal","Klein dier in hok/weide plaatsen"
" a protector of the defenseless"," een beschermer van de weerlozen"
"famous ally","beroemde bondgenoot"
"Dismiss minor feeling of distress","Licht gevoel van nood wegwuiven"
"a natural ability with music","een natuurlijke aanleg voor muziek"
"Making projectiles","projectielen maken"
"State feelings of guilt","Guilt uiten"
"fight","vechten"
" considerations"," overwegingen"
"somewhat tall","enigszins lang"
"Affects wrestling and charging.","Be‹nvloedt worstelen en stormaanvallen."
"Poem","Gedicht"
"speaker","spreker"
"joviality","jovialiteit"
"I drank gooey water.","Ik dronk kleverig water."
"noted training partner","bekende trainingspartner"
"potash slush","potasslurrie"
"specific pants","specifieke broek"
", but it glances away!",", maar het ketst af!"
"Overall, the choreography is just terrible","Al met al is de choreografie gewoon verschrikkelijk"
"It's so thrilling!","Het is zo opwindend!"
"Release small creature","Klein wezen loslaten"
"[C:6:0:1]Over-exerted","[C:6:0:1]Overbelast"
"How will you respond to the demand to yield?","Hoe reageer je op de eis om je over te geven?"
" master"," meester"
"Make sure your woodcutter can walk to the designated location.","Zorg dat je houthakker naar de aangewezen locatie kan lopen."
" (fort mode)"," (fortmodus)"
"I'm sorry, but I can't join the troupe.","Het spijt me, maar ik kan me niet bij het gezelschap aansluiten."
"Animal Dissector","Dierenontleder"
"the Mead Hall","de Medehal"
"I feel only contempt.","Ik voel alleen minachting."
"the Year","het Jaar"
"Refuse the interrogation","Weiger het verhoor"
"excision","uitsnijding"
"Workers save skins","Werkers bewaren huiden"
"rabbit","konijn"
"Shrine of ","Schrijn van "
"remorseful","berouwvol"
"respect of","respect voor"
"My patience is as the still waters.","Mijn geduld is als het stille water."
"disregards tradition","negeert traditie"
"State minor feeling of triumph","Licht gevoel van triumph uiten"
" and more"," en meer"
"clear-voiced","helder van stem"
"Target too injured","Doelwit is te gewond"
"pleasure","plezier"
" from maternal grandmother"," van grootmoeder van moederskant"
"Specify color","Kleur opgeven"
"ocean","oceaan"
"State minor feeling of interest","Licht gevoel van interest uiten"
"ancient ","oud "
"passion","passie"
"the Outcasts","de Verstotenen"
"Adventurer's log","Avonturierslogboek"
"wandering","zwerven"
"Finish establishing burrows.","Ronden van holen instellen af."
"It is good to finally meet you!  ","Goed je eindelijk te ontmoeten!  "
"I practiced at the archery target.","Ik oefende bij het boogschietdoel."
"fisherman","visser"
"economic policy, its forms and recommendations","economisch beleid, vormen en aanbevelingen"
"the Rescue","de Redding"
"Caught in web","Gevangen in web"
"kicking","schoppen"
"Disliked","Niet geliefd"
"Move goods to/from depot","Goederen naar/van depot verplaatsen"
" (cannot leave site)"," (kan locatie niet verlaten)"
"distrust of","wantrouwen tegenover"
"Need soil or mud at location","Bodem of modder nodig op locatie"
"brilliantly led","briljant geleid"
"Bolts loaded: ","Bouten geladen: "
"less hate-prone","minder geneigd tot haat"
"mathematics:numbers:root 2 irrational","wiskunde:getallen:wortel 2 irrationaal"
" slab"," plaat"
"Meat","Vlees"
"Age of One Power","Tijdperk van E‚n Macht"
"Carpenter","Timmerman"
"Vengeful","Wraakzuchtig"
"tradition","traditie"
"with the music","met de muziek"
"What do you want to butcher?","Wat wil je slachten?"
"a moving performance stage","een bewegend podium"
"I'm returning to my home in ","Ik keer terug naar mijn thuis in "
"State feelings of great remorse","Sterke berouw uiten"
"[Completed]","[Voltooid]"
"What will you say about the conflict?","Wat wil je zeggen over het conflict?"
"Mill Anywhere","Overal malen"
"a month ago","een maand geleden"
"a major artery","een grote slagader"
"  You have been favorably noticed.","  Je bent gunstig opgevallen."
".[C:3:0:1]Needs cleaning",".[C:3:0:1]Moet gereinigd worden"
"is a frail, extremely skinny thing","is a kwetsbaar, extreem mager thing"
"Conquered","Veroverd"
"Wild Animal (Small)","Wild dier (klein)"
"Alternatively, you can reduce the number of mountain squares and regions required by the parameters.","Als alternatief kun je het aantal bergvakken en -regio's dat door de parameters wordt vereist verlagen."
"drinking nasty water","smerig water drinken"
"diplomacy","diplomatie"
"Make sure your parameters and presets can support mid-elevation, very high drainage, freezing areas.  ","Zorg dat je parameters en presets gebieden met middelhoge ligging, zeer hoge drainage en vorst kunnen ondersteunen.  "
"Allow trap cleaning","Vallen schoonmaken toestaan"
"Focused","Gefocust"
"chemistry:chemicals:adhesives","scheikunde:chemicali‰n:lijmen"
"weaponsmith","wapensmid"
"You continue the poem.","Je vervolgt het gedicht."
"(Combat) Propelling blow","(Gevecht) Voortstuwende slag"
"Remove this item.","Dit voorwerp verwijderen."
"I am very confused.","Ik ben erg verward."
"[C:6:0:1].Strained tendon","[C:6:0:1].Verrekte pees"
"Name: ""","Naam: """
"aboveground","bovengronds"
