"more presumptious","pli bravaæa"
"the Origin of Rainbows","la Origino de Æielarkoj"
"There's some value in leisure, but one also has to engage with other aspects of life.","Ekzistas iom da valoro en distro, sed oni ankaý devas sin okupi pri aliaj partoj de la vivo."
"exacerbation","pliseverigo"
"Adept","Adepto"
"government","regadistaro"
"history:form:cultural comparison","historio:formo:kultura komparado"
"short-short","mallonga-mallonga"
"being unable to advance the study of ","ne povi antaýenigi la studo de "
"decaplets","dekøemelojn"
"discuss research topic","diserti esplortemon"
"Eloquence","Elokventeco"
"Granite","Granito"
"You have discovered a deep pit.","Vi eltrovis profundan fosa¼on."
"Horizontal Axle","Horizontala Akso"
" my traveling companion."," mia vijaøa kunulo."
"governor","reganto"
"preserved ","konservata "
"I am so proud!","Mi estas tiel fiera!"
"was executed by drowning","estis ekzekutita per dronigado"
"It's for the best.","Estas por la plej granda bono."
"GRASSLAND REJECTION","MALAKCEPTO HERBEJON"
"being unable to take it easy for so long","tiel longe ne povi malstreæiøi"
"[CATEGORY_DESCRIPTION:Make instrument pieces which can be used to assemble complete musical instruments.]","[CATEGORY_DESCRIPTION:Fari pecojn de instrumentoj, kiujn povas esti uzataj por munti kompletajn muzikajn instrumentojn.]"
"I received water.","Mi ricevis akvon."
"occupation","okupo"
"lover ","amanto "
"CREATE WORLD NOW = ","KREI MONDON NUN = "
"large-irised","grandirisa"
" alive"," viva"
"the Anatomy of the Eye","la Anatomio de la Okulo"
"starving","malsatmortonta"
"the devouring of the bodies of sapient beings","la glutado de la korpoj de konscia estuloj"
"My optimism is unshakeable!","Mia optimismo estas neþancelebla!"
"Blacksmithing Workshop","Metiejo de Øenerala Forøado"
"specific weapon","specifa armilo"
"I feel such love!","Mi sentas tian amon!"
"ethics as applied to interpersonal conduct","etiko aplikata al la interpersona konduto"
"the construction and use of the straight-beam balance","la produktado kaj la uzado de la vektopesilo"
"ship.","þipo."
"undisturbed ","paca "
"Generate Divine Materials","Generu Diajn Materialojn"
"Trade Good Hauling","Alportado de Komerca¼oj"
" into a pit of spikes"," en pikilplenan fosa¼on"
"Diagnostician","Diagnozisto"
" vaguely like the intended "," pigre kiel la celita "
"very drowsy","tre dormema"
" briefly"," mallonge"
"clumsy","mallerta"
"Vampire migrant fraction (more = safer)","Migranta frakcio de vampiroj (pli = pli sekura)"
"Mouse-context scrollbar page down","Paø-rulumi rulumskalo malsupren per muso"
"chemistry:chemicals:aqua regia","¶emio:¶emia¼oj:reøakvo"
" melody pipe is used by the musician to select the pitch of the instrument.]"," n melodian þalmon uzas la muzikisto elekti la tonalto de la instrumento.]"
"cooperation","kunlaboron"
"Bone carver's shop","Ostotajlista butiko"
"has a tendency to go it alone, without considering the advice of others","emas fari aferojn sole, sen konsideri la konsilojn de aliaj"
"I will fight no more.","Mi ne batalos plu."
"  Beware!  It it said that only "," Atentu! Oni diras ke nur "
"performer","interpretisto"
"TUNDRA REJECTION","MALAKCEPTO TUNDRON"
"medicine:method:hospital lab","medicino:metodo:laboratio de malsanulejo"
" burning "," brula "
"I don't feel sorry for myself.","Mi min ne bedaýras."
"I slept on rocks.","Mi dormis sur rokoj."
"a member","membro"
"Looks to be snowing outside.","Aspektas, ke neøas ekstere."
"spatter","aspergas"
"the theory of light and color","la teorio de lumo kaj koloro"
"  Enjoy the hunt!"," Øuu la æason!"
":bells:bells",":sonoriloj:sonoriloj"
"being away from people for too long","tro longe esti for de personoj"
"I had a drink, but it had gone bad.","Mi trinkis drinka¼on, sed øi estis malboniøita."
"an algorithm for computing a number which has given remainders when divided by several given primes","algoritmo komputi nombron, kiu havas restojn kiam dividita per pluraj donataj primoj"
"Observation","Observado"
"Some people are so wrapped up in themselves.","Iuj estas tiel absorbitaj de si mem."
"the construction and use of the padlock","la produktado kaj la uzado de la pendseruro"
"engineering:optics:glass lens","inøenierarto:optiko:vitraj lensoj"
"revels in chaos and discord, and ","øojas pri ¶aoso kaj malakordo, kaj "
"starved to death.","malsatmortis."
"I'm a little angry.","Mi estas malmulte kolera."
"Trip Hammers","Martelmaþinoj"
"been drained of blood","estas forfluita je sango"
"Impossible strike","Neebla frapo"
" looks"," þajnas"
"Impaled on spikes","Trapikita per pikiloj"
"It was raining on me.","Estis pluvinta sur mi."
"slept on smooth floor","dormis sur glata planko"
"is extremely muscular and lardy and also very long","estas ege dikmuskola kaj larda, kaj ankaý tre longa"
"good","bone"
" is crushed!"," estas disbatita!"
" the words evocatively."," la vortojn elvokive."
"Forgive me, but","Pardonu min, sed"
"A secretive poltergeist.","Sektretema fantomo."
"mathematics:geometry:volume of pyramid","matematiko:geometrio:volumeno de piramido"
"have slightly large irises","havas iomete grandajn irisojn"
"Nothing in building","Nenio en konstrua¼o"
"Loosen joint lock of ","Malstriktigi fiksitan artikolon de "
"Acknowledge lack of a thrill","Agnoski mankon de eksciteco"
"Confirmation window for all embarks","Konfirma fenestro por æiuj ekloøoj"
"You have disturbed the sleep of the dead!","Vi perturbis la dormon de la mortulo!"
"Disdains law","Malestimas leøon"
"Delete element","Eksigi elementon"
" high"," alta"
"Shallow Sand","Malprofunda Sablo"
"Why should I help?","Kial helpus mi?"
"pipe section","duktosekcio"
"tranquility","trankvilecon"
"You have discovered an expansive cavern deep underground.","Vi eltrovis vastan kavernon profunde subtere."
"has an extremely thin frame underlying a massive lardy edifice","havas ege mallarøan ostaron suba masiva larda monto"
"less vulnerable","malpli vundebla"
"No entity definitions available","Neniuj difinoj pri entoj disponeblaj"
" History Seed: "," Histor St-semo: "
"conspiracy to slow labor","konspiro malrapidigi laboron"
"putting a piece on display","meti a¼on montri"
"the construction and use of the crystal lens","la produktado kaj la uzado de la kristala lenso"
"upper floors","supraj etaøoj"
"I discussed my problems with an acquaintance.","Mi priparolis mian malfacila¼ojn al unu konato."
"alienated","fremdiøita"
"an algorithm for calculating prime numbers","algoritmo kalkuli primajn nombrojn"
"to fill a role as a performer","ludi rolon kiel interpretisto"
"exceptional","escepta"
"Wind Direction","Venta Direkto"
"Tell me about the local ruler.","Diru al mi pri la loka reganto."
"Custom tissue shape not found: ","Agordita hista formo ne trovita: "
"Ice Downward Track (NSE)","Glaca Malsupren Trako (No-Su-Or)"
"commander","komandanto"
"You might want to adjust the parameters governing drainage.  ","Vi eble volas aløustigi la parametrojn por difini drenadon. "
"Affiliated","Agregatigita"
"a pretty decent drink","tre decan drinka¼on"
"occurred.","okazis."
"Value: ","Valoro: "
"after being unable to acquire something","post ne povi akiri ion"
"history:form:genealogy","historio:formo:genealogio"
"I'm returning from my patrol.","Mi revenas de mia patrolo."
"Meager Dining Room","Magra Manøoæambro"
"We don't offer any specific services here.","Ni ne ofertas ajn specifan servojn æi tie."
" beds"," litoj"
"Move keyboard cursor up and left, fast","Movi klavar-kursoron supren kaj maldekstren, rapide"
"loathe","abomenas"
"large pots/food storage","grandaj potoj/manøa¼a tenejo"
"I threw something.","Mi ¼etis ion."
"withering away","forvelkante"
"I will serve.","Mi servos."
"Adventurer","Aventuristo"
"the stanza","la stanco"
" dance is"," danco estas"
"slightly flattened","iomete flatita"
"Combat Training","Ekzercado Batala"
"Loading crimes...","Þargante krimojn..."
"The world generator couldn't find any civilization definitions.  ","La mondogenerilo ne povis trovi iujn ajn civilizaciajn difinojn. "
"My good friend.","Mia bona amiko."
"It is scorching hot!","Estas brule varmega!"
"I know it will come to pass!","Mi scias, ke øi forpasos!"
"Forgotten beast sensitivity (less = sooner)","Iritiøemo de forgesit-bestoj (malpli = pli frue)"
"philosophy:specialized:politics diplomacy","filozofio:faka:politiko diplomatio"
"hawk","falko"
"being mutilated","estante mutilita"
"a poor ability to manage or understand social relationships","malbonan kapablon trakti aý kompreni sociajn rilatojn"
"I talked to somebody important to our traditions.","Mi alparolis iun, kiu gravas al niaj tradicioj."
"unnaturally contorted","nenature tordita"
"Classification","Klasifiko"
"I worship ","Mi adoras "
"Generating reactions...","Generante reakciojn..."
"Conditions","Kondiæoj"
"Conversation","Konversaciado"
"Machinery","Maþina¼o"
"I preached ","Mi predikis "
"delight","ravo"
"Grab Goblet","Preni Pokalon"
" melting"," fandado"
" is throwing a tantrum, possessed by "," ¼etas koleratakon, posedata de "
"nervous","nervozan"
"Histories of ","Historioj pri "
" and really wants a drink"," kaj vere volas drinka¼on"
"Elite Bowman","Elita Pafarkisto"
"I suppose I should be feel adoration.","Mi supozas, ke mi devus senti adoron."
"being pestered by ","esti koleretigita de "
"Dutiful","Obeema"
"sixty","sesdek"
"the Lock","la Seruro"
"making a submissive gesture","Farante submetitan geston"
"It is terrifying.","Øi estas timinda."
"burial","tombo-"
"Former master","Eksmastro"
"Gem Cutting Pit","Fosa¼o por Gemfacetado"
"Pottery","Ceramikfarado"
"is given to flights of fancy to the point of distraction","emas al revoj øis la punkto de distrado"
"engineering:machine:water wheel","inøenierarto:maþino:akvorado"
"very agile","tre lerta"
"making a friend","fari amikon"
") has been completed.",") estas finita."
"discussing a lover's problems","diskuti pri la problemoj de unu amanto"
"There's no room for mercy in this world.","Ne estas loko por mizerikordo en æi tiu mondo."
"engineering:astronomy:spherical astrolabe","inøenierarto:astronomio:sfera asrolabo"
"Intimidation","Minacado"
"That's annoying.","Tio æagrenas."
"the construction and use of the water-powered sawmill","la produktado kaj la uzado de la akvosegejo"
"spouse ","(ge)edzo "
"tavern sign","pendoþildo de drinkejo"
"repentance","pento"
"Default restricted traffic path cost","Defaýlta kosto por restrikto-trafika vojo"
"Use of ","Uzo de "
"Executed","Faris"
"contentment","kontento"
"Make sure your parameters and presets can support mid-elevation, high rainfall, high drainage, non-freezing areas.  ","Certiøu, æu viaj parametroj kaj antaýagordoj povas apogi areojn nefrostajn, de mezaltaj altitudoj, de altaj precipita¼oj, kaj de altaj drenadoj. "
"is a vulgar being who does not care a lick for even the most basic rules of civilized living","estas vulgara esta¼o, kiu ne zorgas pir eæ la plej bazaj reguloj de civiliziteca vivo"
"exceptionally ","escepte "
"resting","mallaciøo"
"Grab Pants","Preni Pantalonon"
" was the place to admire fine architecture."," estis la loko admiri fajnan ar¶itekturon."
"cookable ","kuirebla "
"likes to keep things practical, without delving too deeply into the abstract","þatas konservi aferojn praktikaj, sen tro profundigi en la abstrakton"
"Loading activities...","Þargante aktiva¼ojn..."
"Open mining mode","Malfermu minadan reøimon"
"Cheeses","Fromaøoj"
"Epidemic Diseases","Epidemiaj Malsanoj"
"bully","æikano"
"This is a true masterpiece.","Æi tio estas vera majstra¼o."
"Some migrants have arrived.","Kelkaj migrantoj alvenis."
"I don't feel guilty about it.","Mi ne sentas kulpo pri øi."
"coyote","kojoto"
"Building site submerged","Konstruejo submergita"
"seventh eldest daughter","sepa plej aøa filino"
"The anguish is overwhelming...","La dolorego estas prema ..."
"Cull Unimportant Historical Figures","Forigu Negravajn Histori-Figurojn"
"Opulent Throne Room","Grandioza Tronæambro"
"I have unmet needs.","Mi havas neplenigitajn bezonojn."
"the relationship between the lengths of the hypotenuse of a right triangle and the other two sides","la rilato inter la longecoj de la hipotenuzo de orta triangulo kaj la du aliaj lateroj"
"strongly prefers discussions of ideas and abstract concepts over handling specific practical issues","forte preferas diskutoj pri ideoj kaj abstraktaj konceptoj ol pritrakti specifajn praktikajn aferojn"
"Some soil","Iom da Grundo"
"sleeping on a pile of driftwood","dormi sur amaso el driva ligno"
"a village nearby","vilaøo proksime"
"poems","poemoj"
"Can your parameters achieve elevations between 300 and 400?  ","Æu viajn parametrojn povus atingi altitudojn inter 300 kaj 400? "
"antelope","antilopo"
"rough","malglata"
" toppled the government of "," faligis la regado de "
"insufficient justice buildings","nesufiæaj justicaj konstrua¼oj"
"euphoric","eýforion"
"Fellow scholar","Kolega klerulo"
"[C:7:0:0]Winded","[C:7:0:0]Lacegega"
"over","super"
"apprentice ","lernanto "
"writing of a masterpiece","verkis majstra¼on"
"Stone shape not found: ","Formo de þtono ne trovita: "
"LACK OF VOLCANOS","MANKO VULKANOJN"
"Sewn into ","Kunkudrita al "
" Desired grid width for scaling (default = 170)"," Dezirita krada larøo por skalado (defaýlto = 170)"
"FOREST REJECTION","MALAKCEPTO DE ARBARO"
"be forceful","esti potenca"
"competition","konkuradon"
" were "," estis "
"I have no shame.","Mi havas neniom da honto."
"Placing civilizations... (","Lokante civilizaciojn... ("
"chemistry:classification:scratch test","¶emio:klasifiko:testo per skrapado"
"Ice Downward Track (NSEW)","Glaca Malsupren Trako (No-Su-Or-Ok)"
"visit of merchants","vizito de komercistoj"
" Cavern Floor"," Kaverna Planko"
"Pearl","perlo"
"shockingly slow to heal","þoke malrapida por resaniøi"
"Sheet","Folio"
"The merchants need a trade depot to unload their goods.","La komercistoj bezonas komercan stacidomon por malþarøi iliajn varojn."
"I am very proud.","Mi estas tre fiera."
"'s Workshop","Metiejo"
"Discipline","Disciplino"
"having disappointed a noble","malkontentigi nobelon"
"No ammunition","Neniom da municio"
"southwest","sudokcidente"
"Plant","Planto"
"Wagon","Kaleþo"
"I do admire a clever turn of phrase.","Mi jam admiras lertan parolfiguron."
"being tortured","esti turmentita"
"shadowed","ombra"
"Name: ","Nomo: "
"died of an illness","mortis de malsano"
"We must go back.","Ni devas reiri."
"Tuning is accomplished by adjusting the tension of the head.  ","Agordado estas plenumita per øustigado de la tensio kapa. "
