"more presumptious","ngÕo mÕn h½n"
"Digging a channel will mine out a floor or wall at the current level and dig out a ramp at the level ","Ğào mµt kênh s¨ khai thác mµt sàn ho£c tß¶ng · c¤p ğµ hi®n tÕi và ğào mµt d¯c · c¤p ğµ "
"Weapon skill.","KÛ nång vû khí."
"Poor","Kém"
"I feel fond.","Tôi cäm th¤y yêu mªn."
"[C:6:0:1]Minecarts[C:7:0:0] that move too quickly around corners will spill their contents. ","[C:6:0:1]Minecarts[C:7:0:0] di chuy¬n quá nhanh quanh các khúc cua s¨ làm ğ± v§t ph¦m bên trong. "
"ended.","ğã kªt thúc."
"the Siphon","ng siphon"
"No Children","Không có con cái"
"I had a drink.","Tôi ğã u¯ng mµt thÑ gì ğó."
" truly respects sacrifice"," thñc sñ tôn tr÷ng sñ hy sinh"
"See to your legacy.","Hãy lo li®u di sän cüa ngß½i."
":case:cases",":vö:các vö"
"Verbally struggle against doubt","V§t lµn b¢ng l¶i l¨ ch¯ng lÕi sñ nghi ng¶"
"Age of the ","KÖ nguyên cüa "
"State minor feeling of glumness","Bµc lµ cäm giác ü rû thoáng qua"
"the Flames","Ng÷n lØa"
"is extremely fast","cñc kÏ nhanh"
"Civilizations use available plants in their surroundings as their initial crops.  ","Các n«n vån minh sØ døng thñc v§t có sÇn trong môi trß¶ng xung quanh làm cây tr°ng ban ğ¥u cüa h÷. "
"drums ","gõ ngón tay "
"You're so perceptive!","BÕn th§t tinh tß¶ng!"
"Animal Trap","Bçy Ğµng V§t"
"aunt","dì/cô"
"Werebeast Attack Created Wealth Rating","Xªp hÕng cüa cäi tÕo ra b¸ Ngß¶i thú t¤n công"
"Robbery","Cß¾p bóc"
"Charge attack: move toward your opponent","T¤n công xông t¾i: di chuy¬n v« phía ğ¯i thü"
"These _are_ fine items, aren't they?  Now, what do offer for them?","Ğây _là_ nhæng món ğ° t¯t, phäi không? V§y, ngß½i ğ« ngh¸ gì cho chúng?"
"No one else even considered making the journey to this miserable hellhole.","Không mµt ai khác th§m chí còn cân nh¡c thñc hi®n chuyªn ği ğªn ğ¸a ngøc thê lß½ng này."
"youngest son","con trai út"
"had a dungeon constructed within","ğã có mµt ngøc th¤t ğßşc xây dñng bên trong"
"The trouble started because of ","R¡c r¯i b¡t ğ¥u vì "
"leaving a performance troupe","R¶i mµt ğoàn k¸ch"
"You have no idea what's lurking out there.","BÕn không th¬ biªt nhæng gì ğang ¦n n¤p bên ngoài ğâu."
" bag, itself supplied by a "," túi khí, bän thân nó ğßşc cung c¤p b·i mµt "
"stole ","ğánh c¡p "
"will frequently ramble on with stories that don't have any point or even conclusion","s¨ thß¶ng xuyên lan man k¬ nhæng câu chuy®n không có møc ğích hay th§m chí không có kªt thúc"
"burning to death","ğang chªt cháy"
"Dismiss minor feeling of dismay","GÕt bö cäm giác hoäng h¯t thoáng qua"
"flooded","b¸ ng§p løt"
" Autumn"," Mùa thu"
"ambushed","b¸ phøc kích"
"A Priest for ","Mµt Tu sî cho "
"Enable testing arena (on next title)","B§t ğ¤u trß¶ng thØ nghi®m (khi vào trò ch½i l¥n t¾i)"
"Empty animal traps","Bçy ğµng v§t tr¯ng"
"read written content","ğ÷c nµi dung viªt"
"small live animal","ğµng v§t s¯ng nhö"
"Use leather tanned at the tanner's shop here to make clothing and tools, such as bags and waterskins.","Dùng da thuµc ğã ğßşc thuµc tÕi cØa hàng thuµc da ğ¬ làm qu¥n áo và công cø, nhß túi và bình nß¾c."
"gems","ng÷c"
"You can't travel until you emerge from underground or enter a tunnel.","Ngß½i không th¬ di chuy¬n cho ğªn khi thoát khöi lòng ğ¤t ho£c vào mµt ğß¶ng h¥m."
"sees family as one of the most important things in life","coi gia ğình là mµt trong nhæng ği«u quan tr÷ng nh¤t cuµc ğ¶i"
"My clothes are in tatters.","Qu¥n áo cüa tôi tä t½i."
"caught in rain","M¡c k©t trong mßa"
"Studying","H÷c t§p"
" are worthy of respect"," xÑng ğáng ğßşc kính tr÷ng"
"Musical form","Th¬ nhÕc"
"totemable ","có th¬ làm v§t t± "
"Surgical Tools","Døng Cø Phçu Thu§t"
" found a lasting home within "," tìm th¤y mµt mái nhà vînh cØu trong "
"Thrill-seeker","Thích mÕo hi¬m"
"Little soil","Ít ğ¤t"
"Somebody refused to name themself","Mµt ngß¶i nào ğó ğã t× ch¯i nêu tên mình"
"Diplomat","Nhà ngoÕi giao"
"Ambush (incapacitated creature)","Phøc kích (sinh v§t b¸ vô hi®u hóa)"
"finds helping others very emotionally rewarding","th¤y vi®c giúp ğŞ ngß¶i khác r¤t b± ích v« m£t cäm xúc"
" modestly and frowns on any flashy accoutrements"," mµt cách khiêm t¯n và nhíu mày trß¾c b¤t kÏ phø ki®n lòe lo©t nào"
"Prepare Equipment Manifests","Chu¦n b¸ Bäng kê khai Trang b¸"
"the Treaty","Hi®p ß¾c"
"a talented preacher","mµt nhà thuyªt giáo tài nång"
"the Improvements","Các cäi tiªn"
"is weak","Yªu ¾t."
"coiled","xo¡n ¯c"
"solid ","r¡n "
"Grassy Downward Slope","D¯c ği xu¯ng phü cö"
"Guide ","Dçn d¡t "
"Spring has arrived!","Mùa xuân ğã ğªn!"
"You eat the ","BÕn ån "
"sun irritated","Khó ch¸u vì n¡ng"
"It is cold.","Tr¶i lÕnh."
"a very poor","mµt [ch¤t lßşng] r¤t t®"
"Items...","V§t ph¦m..."
"Ask listener to come to the market later","Yêu c¥u ngß¶i nghe ğªn chş sau"
"counselors","Các c¯ v¤n"
"froze to death","chªt cóng"
"Tower Dungeon","H¥m ngøc Tháp"
"Must set colors","Phäi ğ£t màu s¡c"
"a rescue mission","mµt nhi®m vø giäi cÑu"
"Bleeding","Chäy máu"
"Bow","Cung"
"Considers murderer","Coi là kë giªt ngß¶i"
"shallow ","nông "
"Creature caste outside of creature caste bounds: ","LoÕi sinh v§t n¢m ngoài gi¾i hÕn loÕi sinh v§t: "
"forms strong emotional bonds with others, at times to ","hình thành m¯i quan h® tình cäm b«n ch£t v¾i ngß¶i khác, ğôi khi ğªn mÑc "
"astronomy:method path models","Thiên vån h÷c:Phß½ng pháp:Mô hình ğß¶ng ği"
"Child is not present","Con cái không có m£t"
"less than","nhö h½n"
"Set a normal traffic area, the default state.","Ğ£t mµt khu vñc lßu thông bình thß¶ng, ğây là trÕng thái m£c ğ¸nh."
"Animals and the Climate","Loài V§t và Khí H§u"
"Affects the quality of poetry.","Änh hß·ng ğªn ch¤t lßşng th½ ca."
"Store Item","C¤t Træ V§t Ph¦m"
"Object","V§t th¬"
"the creation and use of the orthopedic cast","Vi®c chª tÕo và sØ døng bó bµt chïnh hình."
"I had an intellectual discussion with my mother.","Tôi ğã có mµt cuµc thäo lu§n trí tu® v¾i m© cüa tôi."
" is rising"," ğang m÷c"
" after an attack"," sau mµt cuµc t¤n công"
"Disdains friendship","Khinh thß¶ng tình bÕn"
"Do your duty.","Hãy làm tròn b±n ph§n cüa ngß½i."
"rebuilt","ğßşc xây dñng lÕi"
"engineering:machine:mechanical compass","KÛ thu§t: Máy móc: La bàn c½ khí"
"Ambush (injured creature)","Phøc kích (sinh v§t b¸ thß½ng)"
"committing a depraved act","thñc hi®n hành vi ğ°i bÕi"
"door","cØa"
"Trap Occupied:","Bçy ğã b¸ chiªm:"
"would have the world operate in complete harmony without the least bit of strife or disorder","Mong mu¯n thª gi¾i v§n hành trong sñ hòa hşp hoàn toàn mà không có chút tranh ch¤p hay h²n loÕn nào."
"Citizens and long-term residents only","Chï dân thß¶ng và cß dân dài hÕn"
"extract-bearing small creature ","sinh v§t nhö chÑa chiªt xu¤t "
"[C:4:0:1]Serious fever","[C:4:0:1]S¯t nghiêm tr÷ng"
"a known flatterer","ğßşc biªt là kë n¸nh hót"
"Your room is ","Phòng cüa ngài · "
" Offending mods are "," Các bän mod gây l²i là "
"It ","Nó "
"[C:VAR:MEETING:ACTOR][VAR:NATIVENAME:MEETING:ACTOR]: Remember, trade agreements strengthen bonds.  Please consider an import agreement next year.","[C:VAR:MEETING:ACTOR][VAR:NATIVENAME:MEETING:ACTOR]: Hãy nh¾ r¢ng, các thöa thu§n thß½ng mÕi s¨ cüng c¯ m¯i quan h®. Xin hãy cân nh¡c mµt thöa thu§n nh§p kh¦u vào nåm t¾i."
" was the place for long-term scholarship."," là n½i dành cho nghiên cÑu h÷c thu§t lâu dài."
"You must think you're really frightening.","Ngß½i hÆn nghî mình th§t sñ ğáng sş."
"Calm","Yên Ä"
"improving ","cäi thi®n "
"State feelings of fondness","Bày tö cäm xúc quı mªn"
"The gaiety I'm feeling!","Ni«m vui hân hoan mà ta ğang cäm th¤y!"
"Customize the squad's name.","Tùy chïnh tên cüa ğµi hình."
"intemperance","Vô ğµ"
"Alarmed","Hoäng h¯t"
"has an extremely thin body packed with huge muscles","s· hæu thân hình cñc kÏ g¥y guµc, ch¤t ğ¥y c½ b¡p ğ° sµ."
"Automatically weave all thread","Tñ ğµng d®t t¤t cä sşi"
" interrogator"," ngß¶i th¦m v¤n"
"Processing inorganics...","Ğang xØ lı vô c½..."
"is completely wrapped up in ","hoàn toàn chìm ğ¡m trong "
" (engrave memorial)"," (kh¡c bia tß·ng ni®m)"
"Titan Number","S¯ Titan"
"after being unable to fight","Sau khi không th¬ chiªn ğ¤u"
"Cheesemaker","Thş làm phô mai"
"I can take or leave merrymaking myself, but I don't begrudge people their enjoyment.","Bän thân tôi thì vui ch½i cûng ğßşc, không vui cûng chÆng sao, nhßng tôi không h« t¸ nÕnh ni«m vui cüa ngß¶i khác."
"Hover over an alert icon to see the information. ","Di chuµt qua bi¬u tßşng cänh báo ğ¬ xem thông tin. "
"Tranquility","Sñ tînh l£ng"
"pressed green glass","Thüy tinh xanh ép"
"ceramic","b¢ng g¯m"
"the nature of existence","bän ch¤t cüa sñ t°n tÕi"
"Prepare lavish meal","Chu¦n b¸ bæa ån th¸nh soÕn"
"sleeping in ","Ngü trong "
"The counting house","Kª toán s·"
"the use of a laboratory for preparation of remedies in a hospital","Vi®c sØ døng phòng thí nghi®m ğ¬ ği«u chª thu¯c trong b®nh vi®n."
"I hate self-absorbed poetry.","Tôi ghét th½ ca tñ mãn."
"the compilation of family lineages and methods of displaying them artfully","vi®c biên soÕn phä h® gia ğình và các phß½ng pháp trình bày chúng mµt cách ngh® thu§t"
"Very thirsty","R¤t khát"
"frozen filth powder","Bµt rác b¦n ğông lÕnh"
"drown","b¸ chªt ğu¯i"
"disdain ","khinh thß¶ng "
"to cry on a priest","ğ¬ than vãn v¾i mµt linh møc"
"edged ","có cÕnh s¡c "
"splayed","xòe rµng"
"Pull the lever","Kéo c¥n gÕt"
"keep","tháp canh"
"discourse on the nature of causation","lu§n vån v« bän ch¤t cüa nhân quä"
"isn't particularly curious about the world","không ğ£c bi®t tò mò v« thª gi¾i"
"Playable Civilization Required","Yêu c¥u n«n vån minh có th¬ ch½i ğßşc"
"Unnamed archery range","Trß¶ng b¡n cung không tên"
"Multiple copies of the timeline found.","Tìm th¤y nhi«u bän sao cüa dòng th¶i gian."
"permission","Sñ cho phép"
"Go to Reading Place","Ğªn N½i ğ÷c sách"
"As a rule throughout the poem, the end rhymes don't generally match perfectly.  ","Theo nguyên t¡c chung xuyên su¯t bài th½, các v¥n cu¯i thß¶ng không c¥n kh¾p hoàn häo. "
"feeling no avarice","không có lòng tham"
"Remove this worker from this occupation.","LoÕi bö công nhân này khöi ngh« nghi®p này."
"there was a procession","ğã có mµt cuµc rß¾c"
"You are hungry.","BÕn ğang ğói."
" it"," nó"
" striking a menacing pose"," tÕo dáng ğe d÷a"
"No fear of you","Không sş bÕn"
"You can't ","BÕn không th¬ "
" have hatched."," ğã n·."
" laughs very loudly"," cß¶i r¤t l¾n"
"  There will be no rest for the enemy."," Kë thù s¨ không có mµt phút giây yên ±n."
", belong with my followers, ",", thuµc v« nhæng tín ğ° cüa ta, "
"Alternatively, you can reduce the number of high, medium or low drainage squares required.","Ho£c, bÕn có th¬ giäm s¯ lßşng ô ğ¸a hình có ğµ thoát nß¾c cao, trung bình ho£c th¤p ğßşc yêu c¥u."
"potential employer","Chü nhân ti«m nång"
"sometimes","ğôi khi"
"Here you'll see a list of party members, companions, and pets, along with their general location if you know it.","TÕi ğây, bÕn s¨ th¤y danh sách các thành viên t± ğµi, bÕn ğ°ng hành và thú cßng, cùng v¾i v¸ trí chung cüa h÷ nªu bÕn biªt."
"have been cursed","ğã b¸ nguy«n rüa"
"Loading agreements...","Ğang täi thöa thu§n..."
"has a habit of drumming ","có thói quen gõ ngón tay "
"Sort units by how involved they are in the crime.","S¡p xªp ğ½n v¸ theo mÑc ğµ liên quan ğªn tµi ác."
"cut open","b¸ c¡t toác"
" really "," th§t sñ "
"philosophy:logic:inductive reasoning","triªt h÷c:logic:suy lu§n quy nÕp"
" (7 of 8)"," (7 trên 8)"
" yoke and a "," ách ğàn và mµt "
"Create new world","TÕo thª gi¾i m¾i"
"Pure hate","H§n thù thu¥n túy"
"somewhat long","h½i dài"
"Sunk into depression...","Ğã chìm sâu vào tr¥m cäm..."
" quintain"," kh± th½ nåm dòng"
"the relationship between the lunar and solar year","m¯i quan h® giæa nåm âm l¸ch và nåm dß½ng l¸ch"
"a legendary villain","mµt tên ác nhân huy«n thoÕi"
"rumored brawler","Ğ¤u sî b¸ ğ°n ğÕi"
"child that has been kidnapped.","ğÑa trë ğã b¸ b¡t cóc."
"Search for bugs.","Tìm kiªm l²i."
"Burned alive","B¸ thiêu s¯ng"
"underground merchants (100,100,20)","Khu thß½ng nhân ng¥m (100,100,20)"
"is frail and very skinny yet with an overall broad body","yªu ¾t và r¤t g¥y gò, nhßng lÕi s· hæu t±ng th¬ thân hình b« thª."
"I'm excited.","Tôi r¤t ph¤n khích."
"gigantic","cñc l¾n"
"You truly despise life, don't you?  ","Ngß½i thñc sñ coi thß¶ng mÕng s¯ng, phäi không? "
"Greetings","Kính chào."
"With ","V¾i "
"stabbing","ğâm"
"You should always tell the truth.","BÕn phäi luôn nói sñ th§t."
"Spar","Ğ¤u t§p"
"I feel jovial.","Tôi cäm th¤y vui tß½i."
"round chin","c¢m tròn"
"minerals","khoáng sän"
"Developed empathy","Khä nång ğ°ng cäm cao"
" destroyed"," ğã b¸ phá hüy"
"Left click for recenter and expand options.  Right click to dismiss.","Nh¤p chuµt trái ğ¬ cån giæa lÕi và m· rµng tùy ch÷n. Nh¤p chuµt phäi ğ¬ ğóng."
"W... worried?  Do I look worried?","L... lo l¡ng? Trông tôi có vë lo l¡ng à?"
"Caring","Quan tâm"
"Tent","L«u"
"second eldest son","con trai thÑ hai"
"Select [C:5:0:1]Farmplot[C:7:0:0] from the [C:5:0:1]Build[C:7:0:0] menu.  It's in [C:5:0:1]Workshops[C:7:0:0] -> [C:5:0:1]Farming[C:7:0:0] -> [C:5:0:1]Farmplot[C:7:0:0].  Place the [C:6:0:0]Farmplot[C:7:0:0] on the subterranean soil.","Ch÷n [C:5:0:1]Farmplot[C:7:0:0] t× trình ğ½n [C:5:0:1]Build[C:7:0:0]. Nó n¢m trong [C:5:0:1]Workshops[C:7:0:0] -> [C:5:0:1]Farming[C:7:0:0] -> [C:5:0:1]Farmplot[C:7:0:0]. Ğ£t [C:6:0:0]Farmplot[C:7:0:0] trên ğ¤t ng¥m."
" and another small creature."," và mµt sinh v§t nhö khác."
"[C:7:0:1]Received ","[C:7:0:1]Ğã nh§n "
"'s trying to remember something","ğang c¯ g¡ng nh¾ ği«u gì ğó"
"These lyrics are simply unacceptable.","Nhæng l¶i ca này ğ½n giän là không th¬ ch¤p nh§n ğßşc."
"Trained","Ğã hu¤n luy®n"
"cottage plot","lô ğ¤t nhà tranh"
"Mineral occurrence","Sñ xu¤t hi®n khoáng sän"
"Sorting languages...","Ğang s¡p xªp ngôn ngæ..."
"pity","sñ thß½ng hÕi"
"State minor feeling of freedom","Bµc lµ thoáng chút tñ do"
"There is no need for celebration.","Không c¥n thiªt phäi ån m×ng."
"being able to rest and recuperate","Có th¬ nghï ng½i và h°i phøc"
"Say something about your schemes","Nói ğôi ği«u v« mßu ğ° cüa ngß½i"
"Report crime","Báo cáo tµi phÕm"
"Overcautious","Quá th§n tr÷ng"
"Such gaiety!","Th§t là mµt ni«m vui khôn xiªt!"
" to view your log.  Your character generally starts with a variety of local knowledge, including a few places to have an adventure.  "," ğ¬ xem nh§t kı cüa bÕn. Nhân v§t cüa bÕn thß¶ng b¡t ğ¥u v¾i nhi«u kiªn thÑc ğ¸a phß½ng, bao g°m mµt vài ğ¸a ği¬m ğ¬ phiêu lßu. "
"the Joining","Sñ Hşp Nh¤t"
"Beware those that lack passion.","Hãy ğ« phòng nhæng kë thiªu nhi®t huyªt."
"grumpiness","sñ cáu kïnh"
"Wait for Combat Training","Ch¶ ğşi Hu¤n luy®n Chiªn ğ¤u"
"You have discovered a cave entrance.","BÕn ğã khám phá ra mµt l¯i vào hang ğµng."
"You read ","Ngß½i ğ÷c "
"the tactical contest between ","cuµc ğ¤u chiªn thu§t giæa "
"Clear","Xóa"
"hatch cover","n¡p h¥m"
"They are terrific.","Chúng th§t tuy®t v¶i."
" mind to agree with somebody else"," ı kiªn ğ¬ ğ°ng tình v¾i ngß¶i khác"
"Forge weapons and armor here, as well as most other metal objects from furniture to trap components.  These tasks require fuel.","Rèn vû khí và áo giáp tÕi ğây, cûng nhß h¥u hªt các v§t ph¦m kim loÕi khác t× ğ° nµi th¤t ğªn các bµ ph§n bçy. Các tác vø này yêu c¥u nhiên li®u."
"Recenter on yourself.","Ğ¸nh tâm lÕi vào bän thân."
"State minor feeling of anxiety","Bµc lµ cäm giác lo âu thoáng qua"
"I am confused.","Ta b¯i r¯i."
"source of illegal funds","Ngu°n quÛ b¤t hşp pháp"
"just now","v×a m¾i ğây"
"on fire","ğang b¯c cháy"
" a dangerous animal."," mµt con v§t nguy hi¬m."
", *** Original Line",", *** Dòng G¯c"
"the object I can't remember","v§t mà ta không th¬ nh¾ tên"
" devoted to worship"," dành riêng cho vi®c th¶ cúng"
"I see your low race still revels in death.  ","Ta th¤y chüng tµc th¤p kém cüa ngß½i vçn còn say mê cái chªt. "
"Magma Pipe","ng Dung Nham"
"Wilderness irritation minimum (less = sooner)","NgßŞng kích ğµng t¯i thi¬u cüa vùng hoang dã (th¤p h½n = s¾m h½n)"
" Outpost:[C:7:0:0]  You have arrived.  After a journey from the Mountainhomes into the forbidding wilderness beyond, your harsh trek has finally ended.  Your party of seven is to make an outpost for the glory of all of "," Outpost:[C:7:0:0] BÕn ğã ğªn. Sau cuµc hành trình t× Mountainhomes vào vùng hoang dã c¤m ğ¸a xa xôi, chuyªn ği kh¡c nghi®t cüa bÕn cu¯i cùng ğã kªt thúc. Ğoàn bäy ngß¶i cüa bÕn s¨ xây dñng mµt ti«n ğ°n vì vinh quang cüa t¤t cä "
